longest reception, name, receiving conversions, receiving touchdowns, receiving yards, receptions, targets
43,Ernie Conwell,0,0,50,3,
8,Ricky Proehl,0,0,15,2,
4,Yo Murphy,0,0,4,1,
2,Trung Canidate,0,0,2,1,
2,Chris Hetherington,0,0,2,1,
18,Donald Driver,0,0,78,7,
42,Terry Glenn,0,0,60,2,
18,Javon Walker,0,1,56,4,
19,Ahman Green,0,0,42,6,
17,William Henderson,0,0,23,2,
11,Rondell Mealey,0,0,11,1,
7,Bubba Franks,0,0,7,1,
4,David Martin,0,1,7,2,
29,Willie Jackson,0,0,73,4,
55,Bob Christian,0,0,55,1,
28,Shawn Jefferson,0,0,28,1,
12,Brian Finneran,0,0,20,2,
14,Warrick Dunn,0,0,19,4,
12,Alge Crumpler,0,1,14,2,
0,TJ Duckett,0,0,0,1,
23,Jimmy Smith,1,0,104,8,
23,Bobby Shaw,0,0,48,5,
13,Fred Taylor,0,0,35,4,
8,Pete Mitchell,0,1,22,3,
18,Pat Johnson,0,1,18,1,
1,Kyle Brady,0,0,1,1,
26,Qadry Ismail,0,2,84,6,
28,Reggie Wayne,0,0,35,2,
16,Marvin Harrison,0,1,34,4,
23,Marcus Pollard,0,0,34,3,
9,Edgerrin James,0,0,11,2,
9,Jermaine Wiggins,0,0,9,1,
4,Troy Walters,0,0,4,1,
24,Randy McMichael,0,1,73,4,
14,Robert Edwards,0,1,38,4,
20,Chris Chambers,0,1,36,3,
19,Rob Konrad,0,0,35,4,
10,Oronde Gadsden,0,0,18,2,
7,Dedric Ward,0,0,7,1,
21,Az Zahir Hakim,0,0,97,9,
49,Mikhael Ricks,0,0,68,3,
19,Aveion Cason,0,0,37,2,
13,Lamont Warren,0,1,13,1,
4,Larry Foster,0,0,4,1,
1,Cory Schlesinger,0,0,1,1,
26,Charlie Garner,0,1,64,5,
20,Tim Brown,0,1,46,4,
13,Jerry Rice,0,0,25,2,
18,Jerry Porter,0,0,18,1,
9,Tyrone Wheatley,0,0,18,3,
16,Roland Williams,0,0,16,1,
15,Randy Jordan,0,0,15,1,
7,Jon Ritchie,0,0,12,2,
11,Koren Robinson,0,0,39,5,
11,Shaun Alexander,0,1,36,6,
16,Bobby Engram,0,0,25,2,
14,Itula Mili,0,1,23,3,
11,Jerramy Stevens,0,0,18,3,
7,Darrell Jackson,0,0,7,3,
7,Mack Strong,0,0,7,1,
38,Keyshawn Johnson,0,0,76,5,
16,Keenan McCardell,0,1,63,6,
15,Mike Alstott,0,0,48,4,
13,Joe Jurevicius,0,1,37,4,
13,Michael Pittman,0,0,31,5,
10,Todd Yoder,0,0,10,1,
5,Ken Dilger,0,0,7,2,
6,Travis Stephens,0,0,6,1,
26,Joe Horn,0,0,108,8,
41,Donte Stallworth,0,1,63,4,
32,Boo Williams,0,1,32,1,
13,Jerome Pathon,0,0,15,2,
12,JaReed,0,0,12,1,
7,Deuce McAllister,0,0,12,4,
12,David Sloan,0,0,12,1,
3,Terrelle Smith,0,0,6,3,
39,Derrick Mason,0,0,109,7,
18,Frank Wycheck,0,0,47,3,
14,Eddie George,0,1,38,4,
25,Erron Kinney,0,0,25,1,
17,Robert Holcombe,0,0,17,2,
8,Drew Bennett,0,0,13,2,
6,Kevin Dyson,0,0,10,2,
6,John Simon,0,0,6,1,
2,Greg Comella,0,0,2,1,
2,Justin McCareins,0,1,2,1,
31,Antonio Freeman,0,0,54,3,
16,Duce Staley,0,1,47,5,
17,Todd Pinkston,0,0,37,3,
18,James Thrash,0,1,32,2,
18,Chad Lewis,0,1,28,3,
16,Dorsey Levens,0,0,14,2,
65,Corey Bradford,0,1,99,4,
19,Billy Miller,0,1,19,1,
10,James Allen,0,0,16,2,
8,Jermaine Lewis,0,0,8,1,
6,Jonathan Wells,0,0,6,1,
-3,Jabar Gaffney,0,0,-3,1,
31,Joey Galloway,0,0,69,6,
21,Antonio Bryant,0,0,47,4,
9,Emmitt Smith,0,0,12,2,
3,Troy Hambrick,0,0,3,1,
43,Rod Gardner,0,1,131,7,
9,Stephen Davis,0,0,46,7,
17,Derrius Thompson,0,1,45,4,
26,Kevin Lockett,0,1,34,3,
11,Kenny Watson,0,0,22,3,
19,Zeron Flemister,0,0,19,1,
13,Bryan Johnson,0,0,17,2,
13,Chris Doering,0,0,13,1,
34,David Boston,0,1,138,7,
18,MarTay Jenkins,0,0,18,1,
9,Joel Makovicka,0,0,14,2,
10,Freddie Jones,0,0,10,1,
10,Thomas Jones,0,0,7,3,
22,Deion Branch,0,1,83,6,
37,David Patten,0,0,70,4,
40,Donald Hayes,0,1,54,3,
10,Cameron Cleeland,0,0,40,6,
19,Troy Brown,0,0,22,6,
11,Marc Edwards,0,0,11,1,
7,Christian Fauria,0,1,11,2,
3,JR Redmond,0,0,3,1,
17,Hines Ward,0,1,90,8,
27,Antwaan Randle El,0,0,87,6,
8,Mark Bruener,0,0,25,4,
10,Amos Zereoue,0,0,15,3,
11,Plaxico Burress,0,0,11,1,
9,Dan Kreider,0,0,9,1,
6,Chris Fuamatu Maafala,0,0,6,1,
4,Terance Mathis,0,0,4,1,
21,Brian Finneran,0,0,76,6,
10,Warrick Dunn,0,1,30,4,
12,Alge Crumpler,0,0,28,3,
14,Shawn Jefferson,0,0,14,1,
9,Bob Christian,0,0,9,1,
5,Willie Jackson,0,0,9,2,
17,Marty Booker,0,0,48,5,
37,John Davis,0,0,37,1,
19,Anthony Thomas,0,0,26,2,
14,David Terrell,0,1,14,1,
7,Fred Baxter,0,0,7,1,
7,Stanley Pritchett,0,0,7,1,
4,Dez White,0,0,4,1,
25,Brandon Stokley,0,0,57,4,
10,Jamal Lewis,0,0,38,5,
11,Todd Heap,0,0,20,3,
9,Travis Taylor,0,0,18,2,
7,John Jones,0,0,7,1,
1,Alan Ricard,0,0,1,1,
24,Michael Pittman,0,0,58,6,
22,Keyshawn Johnson,0,0,47,3,
16,Keenan McCardell,0,0,38,4,
16,Mike Alstott,0,0,25,5,
14,Joe Jurevicius,0,0,18,2,
14,Jameel Cook,0,0,14,1,
8,Aaron Stecker,0,0,11,3,
32,Muhsin Muhammad,0,1,107,8,
58,Lamar Smith,0,0,77,3,
44,Steve Smith,0,0,71,4,
20,Wesley Walls,0,0,20,1,
12,Brad Hoover,0,0,12,1,
9,Isaac Byrd,0,0,9,1,
8,Nick Goings,0,0,7,2,
7,Kris Mangum,0,0,7,1,
21,Scotty Anderson,0,0,31,2,
12,Mikhael Ricks,0,0,28,3,
14,Aveion Cason,0,0,24,2,
15,Az Zahir Hakim,0,0,15,1,
5,James Stewart,0,0,5,3,
3,Cory Schlesinger,0,0,3,1,
23,Kevin Johnson,0,1,50,4,
31,Quincy Morgan,0,0,42,2,
27,Jamel White,0,0,42,3,
15,Andre Davis,0,1,37,4,
12,Mark Campbell,0,0,19,2,
8,Steve Heiden,0,0,8,1,
0,Darnell Sanders,0,0,0,1,
14,Corey Dillon,0,0,67,8,
16,TJ Houshmandzadeh,0,0,58,5,
22,Chad Johnson,0,1,58,4,
16,Michael Westbrook,0,0,21,2,
14,Rudi Johnson,0,0,16,3,
6,Ron Dugans,0,0,9,2,
7,Lorenzo Neal,0,0,7,1,
3,Peter Warrick,0,0,3,1,
38,Joey Galloway,0,1,88,5,
44,Antonio Bryant,0,0,87,3,
17,Ken Yon Rambo,0,0,37,3,
17,Tony McGee,0,1,17,1,
7,Robert Thomas,0,0,7,1,
4,Emmitt Smith,0,0,4,1,
40,Derrick Mason,0,0,118,7,
18,Kevin Dyson,0,0,43,4,
15,Frank Wycheck,0,1,24,4,
9,Eddie George,0,0,21,3,
17,Greg Comella,0,0,19,2,
15,Justin McCareins,0,0,15,1,
12,Mike Green,0,0,12,1,
7,Drew Bennett,0,0,7,1,
33,Marvin Harrison,0,1,144,11,
20,Edgerrin James,0,0,82,8,
26,Troy Walters,0,0,25,2,
9,Qadry Ismail,0,0,21,3,
14,Reggie Wayne,0,0,17,2,
52,Ricky Williams,0,1,62,2,
26,Chris Chambers,0,0,57,4,
24,Randy McMichael,0,0,34,2,
11,Oronde Gadsden,0,0,14,2,
9,Rob Konrad,0,1,9,1,
6,Dedric Ward,0,0,6,1,
5,Robert Edwards,0,0,5,1,
51,Marc Boerigter,0,0,51,1,
17,Tony Gonzalez,0,1,34,3,
11,Priest Holmes,0,0,32,5,
17,Eddie Kennison,0,0,30,2,
18,Johnnie Morton,0,0,23,2,
12,Tony Richardson,0,0,12,1,
11,Jason Dunn,0,0,11,1,
6,Dante Hall,0,0,6,1,
79,Pat Johnson,0,1,97,4,
37,Jimmy Smith,0,1,83,5,
14,Kyle Brady,0,0,60,5,
14,Fred Taylor,0,0,45,6,
8,Pete Mitchell,0,0,15,2,
12,Stacey Mack,0,0,12,1,
4,Bobby Shaw,0,0,8,2,
31,Randy Moss,0,1,111,11,
29,D Wayne Bates,0,1,68,3,
11,Jimmy Kleinsasser,0,0,56,6,
17,Derrick Alexander,0,1,25,3,
16,Chris Walsh,0,0,21,2,
48,Peerless Price,0,2,185,13,
28,Josh Reed,0,1,110,8,
23,Eric Moulds,0,0,86,8,
14,Larry Centers,0,0,44,4,
28,Jay Riemersma,0,0,38,2,
40,Joe Horn,0,0,120,6,
34,Donte Stallworth,0,1,59,4,
20,David Sloan,0,0,20,1,
7,Jerome Pathon,0,1,12,2,
4,Deuce McAllister,0,0,4,1,
3,Terrelle Smith,0,0,2,2,
14,Terry Glenn,0,1,81,9,
18,Ahman Green,0,0,53,6,
26,Donald Driver,0,1,51,4,
27,Javon Walker,0,0,27,1,
13,Bubba Franks,0,0,13,1,
12,Robert Ferguson,0,0,12,1,
12,William Henderson,0,0,12,1,
9,Rondell Mealey,0,0,10,3,
7,Mike Wahle,0,0,7,1,
5,David Martin,0,0,4,2,
35,Santana Moss,0,0,35,1,
11,Anthony Becht,0,1,33,4,
33,Wayne Chrebet,0,0,33,1,
11,Richie Anderson,0,0,28,5,
21,Kevin Swayne,0,0,21,1,
11,LaMont Jordan,0,0,17,2,
12,Curtis Martin,0,0,15,3,
7,Jerald Sowell,0,0,7,1,
26,Troy Brown,0,0,94,9,
49,Deion Branch,0,1,65,3,
39,David Patten,0,0,65,4,
11,Kevin Faulk,0,0,14,2,
14,Donald Hayes,0,0,14,1,
6,Cameron Cleeland,0,1,11,3,
9,Marc Edwards,0,0,9,1,
3,Antowain Smith,0,0,3,1,
-6,Daniel Graham,0,0,-6,1,
34,Hines Ward,0,2,92,7,
15,Terance Mathis,0,0,38,3,
17,Antwaan Randle El,0,0,23,2,
11,Amos Zereoue,0,0,23,3,
10,Mark Bruener,0,0,10,1,
10,Plaxico Burress,0,0,10,1,
5,Jerome Bettis,0,0,5,1,
18,Jerry Rice,0,0,94,11,
14,Tim Brown,0,0,64,7,
21,Jerry Porter,0,1,62,6,
34,Charlie Garner,0,0,55,5,
14,Roland Williams,0,0,55,7,
24,Terry Kirby,0,0,41,4,
15,Doug Jolley,0,0,15,1,
12,Marcus Knight,0,0,12,1,
5,Jon Ritchie,0,0,5,1,
35,Curtis Conway,0,1,113,5,
9,Terrell Fletcher,0,0,19,3,
18,Josh Norman,0,0,18,2,
6,LaDainian Tomlinson,0,0,6,1,
4,Fred McCrary,0,0,4,1,
7,Stephen Alexander,0,0,3,3,
25,Jabar Gaffney,0,0,37,2,
24,Corey Bradford,0,0,24,1,
14,JaJuan Dawson,0,0,14,1,
7,Avion Black,0,0,7,1,
5,James Allen,0,0,5,1,
48,Darrell Jackson,0,0,174,10,
27,Koren Robinson,0,0,82,5,
11,Shaun Alexander,0,0,46,6,
11,Itula Mili,0,1,18,4,
11,Jerramy Stevens,0,0,16,2,
10,Mack Strong,0,0,10,1,
6,Maurice Morris,0,0,6,1,
20,David Boston,0,0,49,4,
11,Thomas Jones,0,0,18,2,
17,MarTay Jenkins,0,0,17,1,
10,Freddie Jones,0,0,10,1,
9,Steve Bush,0,0,9,1,
4,Frank Sanders,0,1,4,1,
15,Eric Johnson,0,0,69,7,
9,Terrell Owens,0,1,38,5,
11,Garrison Hearst,0,0,30,6,
11,JJ Stokes,0,0,28,4,
12,Fred Beasley,0,0,18,3,
13,Tai Streets,0,0,13,1,
9,Kevan Barlow,0,0,9,1,
16,Shannon Sharpe,0,0,52,5,
12,Rod Smith,0,0,22,3,
11,Olandis Gary,0,0,11,1,
11,Ashley Lelie,0,0,11,1,
6,Ed McCaffrey,0,0,11,2,
11,Scottie Montgomery,0,1,11,1,
1,Mike Anderson,0,1,1,1,
34,Torry Holt,0,0,88,6,
14,Isaac Bruce,0,0,79,8,
14,Marshall Faulk,0,0,36,7,
25,Ricky Proehl,0,1,31,2,
20,Ernie Conwell,0,0,20,1,
7,Brandon Manumaleuna,0,0,7,1,
5,Yo Murphy,0,0,5,1,
38,Ike Hilliard,0,0,97,4,
32,Amani Toomer,0,0,92,4,
28,Jeremy Shockey,0,1,50,4,
7,Tiki Barber,0,0,30,6,
23,Ron Dixon,0,0,23,1,
10,Sean Bennett,0,0,10,1,
5,Dan Campbell,0,0,5,2,
21,Rod Gardner,0,0,63,4,
7,Stephen Davis,0,0,23,6,
8,Bryan Johnson,0,0,14,2,
9,Derrius Thompson,0,0,9,1,
5,Kevin Lockett,0,0,5,1,
6,Kenny Watson,0,0,5,2,
39,James Thrash,0,1,107,6,
22,Duce Staley,0,0,57,7,
26,Todd Pinkston,0,0,36,3,
15,Antonio Freeman,0,0,35,3,
20,Brian Westbrook,0,0,20,1,
16,Jeff Thomason,0,1,18,2,
14,Chad Lewis,0,0,14,1,
6,Freddie Mitchell,0,0,6,1,
1,Cecil Martin,0,0,1,1,
-2,Dorsey Levens,0,0,-2,1,
65,MarTay Jenkins,0,1,70,2,
24,David Boston,0,0,57,3,
12,Freddie Jones,0,0,39,5,
31,Marcel Shipp,0,1,31,1,
13,Steve Bush,0,0,13,1,
6,Frank Sanders,1,0,11,2,
6,Thomas Jones,0,0,6,1,
2,Joel Makovicka,0,0,2,1,
21,Curtis Conway,0,0,92,7,
19,Stephen Alexander,0,0,44,3,
9,LaDainian Tomlinson,0,0,25,5,
16,Tim Dwight,0,0,16,1,
4,Terrell Fletcher,0,0,4,1,
20,Brian Finneran,0,2,77,6,
19,Willie Jackson,0,0,50,4,
16,Bob Christian,0,0,28,3,
15,Alge Crumpler,0,0,15,1,
3,Warrick Dunn,0,0,3,1,
1,Reggie Kelly,0,0,1,1,
15,TJ Houshmandzadeh,0,0,36,3,
16,Peter Warrick,0,0,34,4,
20,Chad Johnson,0,0,20,1,
7,Ron Dugans,0,0,18,4,
9,Corey Dillon,0,0,15,3,
6,Lorenzo Neal,0,0,7,2,
6,Matt Schobel,0,0,6,1,
22,Marty Booker,0,1,97,8,
20,Dez White,0,1,41,3,
14,John Davis,0,0,34,4,
9,Anthony Thomas,0,0,27,4,
9,Stanley Pritchett,0,0,16,2,
5,Marcus Robinson,0,0,7,2,
6,Dustin Lyman,0,0,6,1,
4,Fred Baxter,0,0,4,1,
4,David Terrell,0,0,4,1,
24,Jerome Pathon,0,1,71,5,
29,Donte Stallworth,0,1,43,4,
11,Joe Horn,0,1,42,6,
30,Deuce McAllister,0,0,42,4,
29,David Sloan,0,0,33,2,
2,Lamont Hall,0,0,2,1,
26,Rod Smith,0,1,94,7,
20,Ashley Lelie,0,0,36,2,
24,Ed McCaffrey,0,0,35,3,
22,Mike Anderson,0,0,26,2,
8,Scottie Montgomery,0,0,8,1,
4,Dwayne Carswell,0,1,5,2,
4,Clinton Portis,0,0,4,1,
3,Patrick Hape,0,0,3,1,
44,Eric Moulds,0,1,96,9,
42,Peerless Price,0,0,87,5,
24,Jay Riemersma,0,0,44,4,
16,Travis Henry,0,0,33,4,
8,Josh Reed,0,1,12,2,
10,Larry Centers,0,0,11,3,
52,James Stewart,0,1,56,2,
39,Lamont Warren,0,1,43,3,
12,Az Zahir Hakim,0,0,41,5,
14,Scotty Anderson,0,0,21,2,
9,Cory Schlesinger,0,0,14,2,
7,Mikhael Ricks,0,0,7,1,
25,Donald Driver,0,1,94,5,
19,Bubba Franks,0,1,62,9,
24,Terry Glenn,0,0,55,4,
37,Robert Ferguson,0,1,45,2,
13,Najeh Davenport,0,0,31,4,
11,Rondell Mealey,0,0,24,3,
20,Javon Walker,0,0,20,1,
11,Tony Fisher,0,0,11,1,
10,Karsten Bailey,0,0,10,1,
5,David Martin,0,0,5,1,
36,Randy McMichael,0,1,79,5,
17,Chris Chambers,0,0,33,4,
23,Oronde Gadsden,0,0,23,1,
13,Ricky Williams,0,0,23,2,
12,Dedric Ward,0,0,17,2,
6,Rob Konrad,0,0,6,1,
4,Robert Edwards,0,0,4,1,
18,Wayne Chrebet,0,0,64,5,
8,Richie Anderson,0,0,28,4,
21,Anthony Becht,0,0,21,1,
13,Curtis Martin,0,0,20,2,
9,Laveranues Coles,0,0,14,2,
11,LaMont Jordan,0,0,10,2,
36,Moe Williams,0,0,66,4,
19,D Wayne Bates,0,0,50,4,
24,Michael Bennett,0,0,33,3,
6,Randy Moss,0,0,16,4,
12,Derrick Alexander,0,0,12,1,
5,Hunter Goodwin,0,0,10,2,
4,Chris Walsh,0,1,4,1,
32,Steve Smith,0,1,81,5,
25,Muhsin Muhammad,0,0,63,6,
20,Wesley Walls,0,0,36,4,
19,Isaac Byrd,0,0,19,1,
7,Lamar Smith,0,0,12,2,
6,Brad Hoover,0,0,10,2,
38,Troy Brown,0,1,176,16,
38,David Patten,0,1,108,7,
11,Deion Branch,0,0,33,6,
13,Marc Edwards,0,0,29,4,
23,Kevin Faulk,0,1,23,1,
18,Daniel Graham,0,1,18,1,
8,Donald Hayes,0,0,10,2,
8,Christian Fauria,0,0,8,1,
5,Cameron Cleeland,0,0,5,1,
30,Johnnie Morton,0,0,44,2,
15,Eddie Kennison,0,2,41,4,
9,Priest Holmes,0,1,18,5,
17,Tony Gonzalez,0,0,17,1,
12,Dante Hall,0,0,12,1,
5,Tony Richardson,0,0,10,2,
7,Billy Baber,0,0,7,1,
49,Amani Toomer,0,0,100,4,
33,Tiki Barber,0,0,59,7,
18,Ike Hilliard,0,0,54,4,
21,Jeremy Shockey,0,0,48,4,
11,Charles Stackhouse,0,0,11,1,
8,Ron Dayne,0,0,8,1,
6,Sean Bennett,0,0,6,1,
-4,Ron Dixon,0,0,-4,1,
14,Darrell Jackson,0,0,54,7,
17,Bobby Engram,0,0,39,3,
8,Shaun Alexander,0,0,8,2,
7,Koren Robinson,0,0,7,1,
5,Jerramy Stevens,0,0,5,1,
3,Mack Strong,0,0,5,2,
59,Antonio Freeman,0,1,118,6,
35,James Thrash,0,1,80,6,
25,Todd Pinkston,0,2,48,5,
9,Duce Staley,0,0,24,3,
8,Chad Lewis,0,0,21,3,
13,Brian Westbrook,0,0,13,1,
8,Mike Bartrum,0,0,8,1,
-3,Dorsey Levens,0,0,-3,1,
19,Joey Galloway,0,0,70,7,
15,Antonio Bryant,0,0,35,4,
17,Emmitt Smith,0,0,31,2,
19,Tony McGee,0,0,27,2,
11,Darnay Scott,0,0,23,3,
9,Reggie Swinton,0,0,15,3,
17,Terrell Owens,0,0,33,2,
11,Tai Streets,0,0,27,3,
11,Garrison Hearst,0,0,25,3,
7,Eric Johnson,0,0,20,3,
9,JJ Stokes,0,0,20,4,
25,Zeron Flemister,0,1,57,3,
18,Rock Cartwright,0,0,29,2,
10,Stephen Davis,0,0,26,4,
15,Derrius Thompson,0,0,21,2,
14,Ladell Betts,0,0,19,2,
16,Rod Gardner,0,0,16,1,
9,Jacquez Green,0,0,11,2,
8,Bryan Johnson,0,0,4,2,
14,Eddie George,0,0,35,5,
16,Derrick Mason,0,0,31,3,
12,John Simon,0,1,15,2,
7,Greg Comella,0,0,13,2,
7,Kevin Dyson,0,1,7,1,
6,Frank Wycheck,0,0,6,2,
31,Andre Davis,0,2,99,5,
28,Kevin Johnson,0,0,90,9,
17,Quincy Morgan,0,0,40,5,
9,Jamel White,0,0,38,9,
11,Dennis Northcutt,0,1,24,3,
6,Mark Campbell,0,0,11,2,
11,Steve Heiden,0,0,11,1,
8,Aaron Shea,0,0,8,1,
5,William Green,0,0,5,1,
12,JaJuan Dawson,0,0,32,3,
11,James Allen,0,0,25,3,
14,Avion Black,0,0,14,1,
9,Jonathan Wells,0,0,14,2,
6,Jabar Gaffney,0,0,8,2,
6,Corey Bradford,0,0,6,1,
26,Marvin Harrison,0,0,110,8,
43,Reggie Wayne,0,1,53,3,
42,Qadry Ismail,0,1,39,2,
9,Edgerrin James,0,0,29,4,
19,Marcus Pollard,0,0,25,2,
8,Joe Dean Davenport,0,0,8,1,
8,Jermaine Wiggins,0,0,8,1,
21,Keyshawn Johnson,0,0,59,4,
9,Ken Dilger,0,0,38,5,
17,Keenan McCardell,0,0,28,3,
10,Michael Pittman,0,0,28,6,
16,Todd Yoder,0,0,16,1,
9,Rickey Dudley,0,1,15,2,
10,Mike Alstott,0,0,10,1,
5,Karl Williams,0,0,5,1,
25,Torry Holt,0,0,139,12,
22,Isaac Bruce,0,0,43,4,
13,Ricky Proehl,0,0,31,4,
23,Marshall Faulk,0,0,27,2,
14,Ernie Conwell,0,0,20,2,
8,Lamar Gordon,0,0,15,2,
8,Yo Murphy,0,0,11,2,
10,Terrence Wilkins,0,0,10,1,
5,Trung Canidate,0,0,5,1,
12,Marcel Shipp,0,1,39,5,
23,Freddie Jones,0,0,34,5,
8,MarTay Jenkins,0,0,33,6,
16,Frank Sanders,0,0,28,3,
14,David Boston,0,0,18,2,
14,Bryan Gilmore,0,0,14,1,
2,Jake Plummer,0,0,2,1,
22,Ike Hilliard,0,0,56,4,
23,Jeremy Shockey,0,0,56,4,
12,Tiki Barber,0,0,48,6,
12,Amani Toomer,0,0,32,4,
7,Sean Bennett,0,0,7,1,
35,Eric Moulds,0,1,124,8,
29,Jay Riemersma,0,0,46,4,
26,Travis Henry,0,1,41,3,
17,Larry Centers,0,0,39,4,
19,Dave Moore,0,1,38,3,
14,Josh Reed,0,0,16,2,
8,Peerless Price,0,1,15,3,
9,Shawn Bryson,0,0,9,1,
33,Marty Booker,0,0,82,4,
12,Marcus Robinson,0,0,30,5,
23,Dez White,0,0,28,2,
12,David Terrell,0,1,23,3,
6,John Davis,0,1,14,3,
6,Anthony Thomas,0,0,11,2,
24,Peter Warrick,0,0,51,4,
10,Brandon Bennett,0,0,27,4,
10,TJ Houshmandzadeh,0,0,20,2,
15,Nicolas Luchey,0,0,15,1,
4,Matt Schobel,0,0,4,1,
65,Keenan McCardell,0,1,108,4,
15,Keyshawn Johnson,0,0,56,5,
35,Rickey Dudley,0,1,35,1,
22,Ken Dilger,0,1,33,2,
17,Michael Pittman,0,0,27,5,
12,Joe Jurevicius,0,0,12,1,
6,Mike Alstott,0,0,6,1,
52,Az Zahir Hakim,0,0,98,3,
38,Bill Schroeder,0,1,78,7,
15,Larry Foster,0,0,37,3,
34,Mikhael Ricks,0,0,34,1,
12,Cory Schlesinger,0,0,25,3,
5,James Stewart,0,0,-5,3,
28,Joe Horn,0,0,87,6,
17,Deuce McAllister,0,0,67,8,
16,Jerome Pathon,0,1,55,6,
24,JaReed,0,0,40,2,
9,Donte Stallworth,0,1,14,3,
6,David Sloan,0,0,6,1,
0,Terrelle Smith,0,0,0,1,
31,Donald Driver,0,2,97,5,
20,Robert Ferguson,0,0,58,5,
15,Bubba Franks,0,0,33,4,
17,Terry Glenn,0,0,17,1,
10,Karsten Bailey,0,0,16,2,
8,Ahman Green,0,0,8,1,
2,Najeh Davenport,0,0,2,1,
61,Steve Smith,0,0,116,5,
31,Karl Hankton,0,0,31,1,
31,Brad Hoover,0,0,31,1,
11,Kris Mangum,0,0,17,2,
7,Lamar Smith,0,0,7,1,
72,Fred Taylor,0,0,95,3,
16,Bobby Shaw,0,0,28,2,
19,Kyle Brady,0,0,19,1,
10,Jimmy Smith,0,0,10,1,
8,Stacey Mack,0,0,8,1,
8,Pete Mitchell,0,0,8,1,
5,Chris Luzar,0,0,5,1,
22,Laveranues Coles,0,0,97,8,
24,Wayne Chrebet,0,0,42,2,
27,LaMont Jordan,0,0,42,3,
31,Jerald Sowell,0,0,31,1,
13,Anthony Becht,0,0,25,2,
18,Kevin Swayne,0,0,25,2,
13,Tory Woodbury,0,0,13,1,
3,Richie Anderson,0,0,6,2,
