longest punt, name, punt yards, punts
57,Stefan Demos,135,3
52,Eric Maust,263,6
58,Zoltan Mesko,211,4
50,Matt Schulte,211,5
41,Brett Hartmann,218,7
62,Matt Fodge,141,3
46,Johnny Hekker,82,2
52,Tim Grasso,277,7
59,Chris Summers,311,7
38,Carson Wiggs,38,1
39,Josh Syria,182,5
51,Spencer Lanning,208,5
77,Brian Mimbs,260,5
38,Drew Butler,38,1
37,Philip Zavala,153,5
65,Brian Stahovich,412,9
70,Robert Long,359,7
44,Jeremy Boone,120,3
58,Anson Kelton,299,7
35,Andy Dalton,35,1
49,David Green,325,8
38,Chad Cunningham,69,2
42,Swayze Waters,228,6
58,Ross Thevenot,233,5
60,Matt Dodge,186,4
44,Will Goggans,126,3
45,Jonathan LaCour,81,2
59,Thomas Morstead,237,5
43,Greg Woidneck,176,5
50,AJ Trapasso,293,7
45,Brett Upson,153,4
47,Kyle Martens,157,4
51,Brent Bowden,233,6
53,Scott Blair,95,2
49,Jared Ballman,165,4
60,Mike Knall,147,3
63,Austin McCoy,266,7
50,Corey Goettsche,178,5
45,George Pierson,147,4
48,DJ Fulhage,91,2
54,Matt DiLallo,333,7
53,Pat McAfee,310,7
55,Desi Cullen,132,3
45,Derek Epperson,197,5
51,Ryan Harrison,180,5
48,Louie Sakoda,96,2
42,Brett Shrable,167,5
51,David DeFatta,181,4
56,Jeremy Davis,304,7
56,PJ Fitzgerald,226,5
52,Andrew Rinehart,163,5
47,John Stec,121,3
51,Ryan Shoemaker,248,7
59,Brady Dalfrey,290,6
47,Thomas Weber,210,5
41,Brian Mimbs,116,3
29,Drew Butler,29,1
47,Ryan Quigley,123,4
45,Daren Daly,229,6
61,CJ Santiago,327,7
58,Austin McCoy,384,9
55,Jacob Richardson,196,4
46,Jimmy Maners,81,2
35,Anthony Hartz,69,2
54,Chase Turner,101,2
60,Carlos Munera,293,7
34,Dustin Rivest,34,1
55,Delbert Alvarado,178,4
56,Shawn Powell,190,4
42,Alphonso Smith,151,4
38,Scott Blair,59,2
46,Ben Anderson,46,1
44,Blake McAdams,77,2
22,Adam Carlson,22,1
52,Chris Hagerup,150,3
53,Chris Miller,53,1
38,Alonso Rojas,75,2
55,Spencer Ortego,221,6
46,Matt Rinehart,350,9
49,Chris Keagle,125,3
44,Travis Baltz,44,1
37,Patrick Treppa,70,2
52,Aaron Bates,226,5
46,Eric Maust,204,5
55,Brent Sutherland,102,2
48,Will Hudgens,48,1
54,Justin Kucek,54,1
46,Keegan Peterson,163,4
41,Rob Park,101,3
53,Brett Upson,309,7
37,Jake Harry,37,1
51,Peter Fardon,213,6
52,Kyle Delahooke,96,2
56,Teddy Dellanganna,162,4
47,Terrence Brown,221,5
43,Brent Bowden,204,6
57,Bradley Pierson,273,6
70,Matt Dodge,269,6
47,Andy Dittbenner,47,1
41,Stefan Demos,177,5
48,Matt Schulte,191,5
60,AJ Trapasso,326,7
51,Will Goggans,310,8
46,Josh Syria,119,4
44,Kyle Brotzman,196,5
60,Dave Brytus,382,8
59,Ryan Donahue,291,7
53,Jeremy Boone,159,4
57,Jeff Wathne,457,11
40,Chris Summers,151,4
48,Brett Hartmann,158,4
56,Britt Barefoot,218,5
52,Kae Whitehead,160,4
52,Thomas Morstead,194,5
43,Anson Kelton,125,3
47,David Green,143,4
41,Philip Zavala,158,5
0,Robert Long,55,1
44,Barry Cunningham,150,4
57,Chas Henry,57,1
42,Kyle Martens,117,3
45,Chase Clement,45,1
58,Ross Thevenot,77,2
46,Scott Love,286,7
45,Adam Miller,158,4
49,Bill Claus,165,5
56,Robert Malone,194,4
60,Justin Brantly,186,4
53,Matt Bosher,173,4
35,Jonathan LaCour,66,2
49,Swayze Waters,49,1
48,Trey Ragland,48,1
59,Aaron Perez,496,11
61,Keenyn Crier,282,6
0,Dack Ishii,227,5
47,Kyle Watson,47,1
49,Mike Brandtner,345,8
55,Kyle Peterson,160,4
46,Kyle Hughes,160,4
40,Peter Caldwell,40,1
74,Nick Conley,259,5
30,Reid Forrest,30,1
46,Jeremy Moore,127,3
46,Ben Armer,46,1
49,Johnny Hekker,230,6
50,Greg Woidneck,235,6
71,Ross Thevenot,168,3
51,Thomas Morstead,169,4
41,Corey Goettsche,106,3
52,Desi Cullen,220,5
49,John Stec,217,5
51,Kevin Huber,136,3
51,Clinton Durst,393,9
57,Chad Cunningham,399,10
34,Chris Miller,34,1
50,Matt Rinehart,94,2
51,Ryan Quigley,154,4
32,Billy Flutie,32,1
49,Bryan Anger,172,4
60,Anthony Hartz,276,6
44,Jimmy Maners,190,5
53,Travis Baltz,308,7
45,Brett Hartmann,89,2
53,Peter Fardon,164,4
39,Matt DiLallo,146,4
43,Shawn Powell,151,4
57,Kevin Jones,349,8
54,Jimmy Howell,229,6
60,Matt Dodge,388,8
60,Chase Turner,119,2
35,Zach Johnson,59,2
54,Andy Dittbenner,189,4
53,Chas Henry,138,4
53,Rob Park,284,7
43,Brian Mimbs,121,4
47,PJ Fitzgerald,89,2
50,Tim Grasso,153,4
55,Philip Zavala,288,7
67,Chris Hagerup,309,6
32,Kellen Lewis,32,1
48,Aaron Bates,206,5
55,Ryan Donahue,129,3
43,Stefan Demos,187,5
46,DJ Fulhage,74,2
42,Spencer Ortego,146,4
48,Tim Masthay,86,2
29,Ryan Tydlacka,49,2
55,Jeremy Moore,294,8
52,Brady Dalfrey,91,2
49,Blake McAdams,217,5
28,Adam Carlson,28,1
41,Brent Sutherland,151,4
38,Will Hudgens,38,1
52,Brett Shrable,313,7
45,Matt Bosher,151,4
41,Terrence Brown,146,4
53,Zoltan Mesko,348,8
46,Brad Nortman,239,6
48,Bradley Pierson,83,2
52,Delbert Alvarado,128,3
41,Dan Titchener,147,4
47,Brent Bowden,173,5
48,Kyle Hughes,198,5
52,Adam Miller,173,4
54,Eric Maust,93,2
50,Chris Summers,156,4
57,AJ Trapasso,109,2
51,Justin Kucek,170,4
47,Matt Schulte,116,3
46,Mike Knall,308,9
52,Anson Kelton,259,6
37,Matt Fodge,68,2
68,Will Goggans,68,1
33,Kevin Kelly,64,2
0,Jeremy Boone,37,1
47,Anthony Santella,118,3
43,Kyle Martens,195,5
53,Truman Spencer,186,4
51,Teddy Dellanganna,170,4
50,Spencer Lanning,88,2
65,Swayze Waters,270,6
34,Brian Stahovich,118,4
49,Nick Conley,278,7
57,Robert Long,165,4
37,Dave Brytus,72,2
51,Jeff Wathne,297,8
0,Ben Armer,319,8
0,Tim Balice,25,1
54,John Gold,141,3
51,Trevor Gerland,51,1
54,Jeremy Davis,226,5
44,Bill Claus,113,3
43,Carlos Munera,305,5
55,Justin Brantly,222,5
56,Andrew Rinehart,189,4
45,Aaron Perez,153,4
53,Robert Malone,163,4
49,Dack Ishii,214,5
77,Brad Langley,150,3
39,Louie Sakoda,66,2
48,Kyle Peterson,293,7
59,Blake Clingan,297,7
40,Sam Swank,147,4
48,Kyle Delahooke,298,6
48,Jared Ballman,158,4
38,David Green,100,3
60,Reid Forrest,287,7
61,Josh Syria,199,4
39,Tim Taylor,39,1
65,Pat McAfee,113,2
48,Kae Whitehead,138,3
41,Austin McCoy,147,4
47,Cody Bousema,47,1
53,Nick Iovinelli,158,4
45,David DeFatta,285,8
45,Keegan Peterson,168,5
72,Kyle Brotzman,207,4
34,Brad Elkin,34,1
57,Chris Keagle,304,7
47,Delbert Alvarado,222,5
49,Dave Brytus,119,3
59,Swayze Waters,163,3
52,Joseph Webb,89,2
58,Brent Sutherland,261,6
58,Louie Sakoda,267,6
56,Johnny Hekker,230,6
47,Kae Whitehead,224,6
47,Kevin Huber,261,6
51,Peter Caldwell,181,4
44,CJ Santiago,84,2
48,Ryan Harrison,48,1
49,Kyle Delahooke,123,3
48,PJ Fitzgerald,259,6
57,Tim Masthay,348,8
43,Ryan Tydlacka,84,2
48,Jeremy Davis,175,4
56,Chas Henry,138,3
45,Keenyn Crier,111,3
60,Jared Ballman,287,8
51,Derek Epperson,277,7
39,Mike Knall,99,3
49,Nick Iovinelli,181,5
47,Zach Johnson,168,5
72,Bryan Anger,332,7
59,Thomas Weber,303,7
51,Blake Clingan,296,7
62,Thomas Morstead,320,7
47,Matt DiLallo,189,5
47,Thomas Suazo,47,1
49,John Gold,117,3
38,Trevor Gerland,38,1
57,Anthony Hartz,151,3
59,Dack Ishii,182,4
49,Tim Grasso,152,4
56,Chandler Anderson,115,3
60,Kevin Jones,314,8
61,TJ Conley,205,4
48,Brad Langley,88,2
51,Mike Brandtner,219,6
50,Alonso Rojas,168,4
55,DJ Fulhage,135,4
46,Matt Rinehart,156,4
38,Julian Edelman,38,1
49,John Stec,234,6
49,Scott Love,366,9
50,Spencer Ortego,181,5
49,Aaron Bates,200,5
56,Ryan Donahue,159,3
53,Matt Bosher,181,4
54,Jacob Richardson,283,7
63,Jeff Wathne,367,9
55,Zoltan Mesko,375,8
48,Anthony Santella,234,6
48,Justin Kucek,235,6
51,Chris Hagerup,276,7
19,Kellen Lewis,19,1
50,Rob Park,128,3
9,Spencer Lanning,9,1
43,Carter Brown,151,4
54,Desi Cullen,110,3
51,Bradley Pierson,198,5
44,Ryan Quigley,87,2
37,Dan Titchener,70,3
40,Jake Wesch,40,1
42,Adam Miller,178,5
54,Austin McCoy,346,9
51,Eric Maust,208,5
48,David Green,127,3
50,Truman Spencer,183,5
57,Carlos Munera,305,7
52,Matt Fodge,99,2
61,Justin Brantly,216,4
43,Chris Summers,153,4
44,Jeremy Boone,146,4
39,Kyle Peterson,58,2
48,Anson Kelton,160,4
47,Brian Stahovich,361,10
53,Barry Cunningham,136,3
46,Andy Dittbenner,198,5
131,Ross Thevenot,131,3
101,Andrew Rinehart,179,4
40,Michael Such,40,1
17,Damaris Johnson,17,1
52,Kyle Martens,138,4
52,Bill Claus,236,6
52,Chris Miller,129,3
53,Aaron Perez,290,7
46,Reid Forrest,316,9
0,Greg Woidneck,27,1
56,Josh Syria,317,7
55,Brett Upson,313,8
49,Clinton Durst,365,9
43,Jimmy Howell,98,3
42,Travis Baltz,179,5
44,Brent Bowden,159,4
47,Jeremy Moore,222,6
55,Brad Nortman,252,6
67,AJ Trapasso,195,4
54,Ben Armer,104,2
52,Matt Schulte,201,5
46,Pat McAfee,210,5
53,Teddy Dellanganna,301,7
42,Keegan Peterson,107,3
46,Will Goggans,168,4
62,Chase Turner,309,6
67,Swayze Waters,405,8
37,Joseph Webb,37,1
42,Shane Popham,173,5
54,Dawson Zimmerman,192,5
47,Jimmy Maners,92,2
54,Brent Sutherland,208,5
51,Corey Goettsche,255,7
47,John Stec,126,3
47,Nick Iovinelli,122,3
47,Brett Shrable,250,6
56,Scott Love,233,5
46,Andrew Rinehart,154,4
58,Zach Johnson,217,5
53,Clinton Durst,243,5
58,Jeremy Davis,208,4
47,Derek Epperson,130,3
60,Mike Brandtner,298,7
49,Peter Fardon,271,7
57,Ben Armer,167,4
46,CJ Santiago,216,5
53,Adam Miller,140,3
64,Kevin Huber,418,9
61,Teddy Dellanganna,466,10
62,Brett Hartmann,291,6
42,Dan LeFevour,42,1
51,Jeff Wathne,187,5
50,Anthony Hartz,287,7
47,Anson Kelton,298,7
19,Marcus Jackson,19,1
