longest reception, name, receiving touchdowns, receiving yards, receptions
9,K Campbell,0,29,4
14,M Bertrand,0,21,2
6,J Rector,0,11,2
8,A Whitlock,1,10,2
25,P Rodriguez,0,72,7
19,R Bagg,0,45,3
17,W Dressler,0,45,4
17,C Getzlaf,0,31,2
7,A Fantuz,0,10,2
8,W Cates,0,8,1
27,J Richardson,0,109,9
15,K Watkins,0,38,4
11,S Green,2,33,4
15,B Cahoon,0,22,2
15,B Bratton,0,18,2
4,B Whitaker,0,4,1
5,A Cobourne,0,4,3
39,P Jackson,0,94,3
38,G Simon,1,75,3
20,E Arceneaux,0,56,4
18,J Robertson,0,36,3
16,J Lee,0,16,1
7,Y Davis,0,7,1
5,S Black,1,5,1
25,W Dressler,0,77,5
33,A Fantuz,0,64,4
26,C Getzlaf,0,54,4
18,R Bagg,0,44,4
16,W Cates,0,37,3
17,P Rodriguez,0,25,3
63,A Bowman,1,127,7
18,T Edwards,0,53,6
16,C Davis,0,37,4
27,B Stewart,0,27,1
12,B Ralph,0,24,3
14,A Hargreaves,0,21,2
18,F Reid,0,15,2
9,A Sadeghian,0,9,1
23,D Stala,1,90,7
36,M McDaniel,0,61,3
20,A Bruce,0,50,5
16,M Mann,0,47,4
14,M Thigpen,0,26,3
12,D Cobb,0,20,3
13,D Brown,0,19,2
25,C Lucas,0,86,7
17,C Owens,0,82,7
34,J Robinson,0,59,4
19,C Boyd,0,51,7
28,B Rideau,0,50,3
10,C Van Zeyl,0,10,1
7,A Durie,0,7,1
4,J Johnson,0,4,1
1,C Rempel,0,1,1
46,K Rambo,1,84,4
30,R Bryant,2,80,5
18,N Lewis,0,48,4
32,J Forzani,0,32,1
12,D Murphy,1,20,2
20,J Arthur,0,20,1
13,A Franklin,0,13,1
12,J Cornish,0,12,1
7,R Cote,0,7,1
6,J Reynolds,0,6,1
31,K Campbell,0,80,4
49,A Nowacki,0,49,1
11,J Rector,0,22,2
11,J Barnes,0,21,2
14,P Fils,0,18,2
3,T Kirkland,0,3,1
69,M Mitchell,1,69,1
15,K Campbell,0,58,5
28,J Barnes,0,41,3
9,A Talbot,0,16,2
13,C McCarty,0,13,1
10,M Bertrand,0,10,1
9,A Nowacki,0,9,1
26,K Rambo,0,102,6
31,N Lewis,1,70,5
14,R Bryant,0,61,5
37,J Cornish,0,58,3
37,A Franklin,0,54,2
11,D Murphy,0,27,4
8,R Cote,1,16,2
12,J Reynolds,0,16,2
57,A Bruce,0,81,4
23,M McDaniel,0,48,3
10,D Stala,0,31,4
10,M Mann,0,10,1
4,D Cobb,0,4,1
30,K Watkins,1,68,4
19,B Cahoon,0,48,4
22,J Richardson,0,45,5
15,A Cobourne,0,27,3
17,K Carter,0,23,2
17,A Hawkins,0,17,2
10,S Green,0,10,1
51,G Simon,0,133,7
14,S Black,1,40,5
20,J Messam,0,34,2
14,E Arceneaux,0,31,3
19,P Jackson,0,29,3
17,Y Davis,1,19,3
11,O Wilson,0,16,2
41,J Robinson,2,97,3
57,A Durie,0,95,5
13,M Bradwell,0,27,3
7,S Watt,0,21,4
8,J Johnson,0,17,3
12,B Rideau,0,12,1
8,C Boyd,0,8,1
40,C Davis,1,88,6
8,T Edwards,0,41,6
11,A Bowman,0,21,3
7,F Reid,0,10,3
9,B Ralph,0,9,1
16,A Fantuz,0,61,5
15,C Getzlaf,0,35,4
14,W Dressler,0,25,2
10,P Rodriguez,0,20,3
10,R Bagg,0,14,2
10,W Cates,0,13,3
60,A Fantuz,1,255,10
77,W Dressler,1,104,3
35,J Clermont,0,66,3
28,R Bagg,0,28,1
11,W Cates,0,23,3
10,C Koch,0,15,2
9,C Getzlaf,0,9,1
43,K Rambo,0,115,6
14,N Lewis,0,84,9
27,R Bryant,0,40,4
12,A Franklin,0,32,3
30,J Cornish,1,30,1
10,J Reynolds,0,20,4
20,D Murphy,0,20,1
7,J Arthur,0,7,1
37,P Jackson,1,109,8
40,S Black,1,91,4
23,E Arceneaux,0,34,2
14,G Simon,1,25,2
12,O Wilson,0,23,2
12,J Messam,0,23,3
7,Y Davis,0,7,1
51,M Mann,1,113,5
24,D Stala,0,49,4
18,A Bruce,1,42,3
12,M McDaniel,0,35,5
26,C Bauman,1,31,2
13,R Fish,0,13,2
9,D Cobb,0,9,1
15,J Copeland,1,43,4
10,J Robinson,0,19,3
15,B Crawford,0,15,1
8,A Durie,0,13,3
1,J Johnson,0,1,1
0,C Owens,0,0,1
81,T Edwards,1,140,4
16,A Bowman,0,41,6
15,B Ralph,0,21,2
5,F Reid,0,9,2
8,C Davis,0,8,1
48,K Watkins,0,106,6
33,J Richardson,0,86,6
24,B Cahoon,0,52,4
23,A Cobourne,0,38,3
12,A Hawkins,0,29,3
9,S Green,0,9,1
7,B Bratton,0,7,1
70,J Barnes,0,120,4
36,F Stamps,0,79,4
17,K Campbell,0,50,6
9,M Bertrand,0,14,2
8,C McCarty,0,8,1
8,M Mitchell,0,8,1
74,G Carr,2,185,4
39,T Edwards,1,39,1
12,A Bowman,0,32,3
12,F Reid,0,22,3
15,B Ralph,0,19,2
8,C Watson,0,18,3
11,A Hargreaves,1,13,2
48,B Bratton,2,128,7
65,S Green,1,113,4
20,J Richardson,1,92,7
38,K Watkins,0,55,3
15,B Cahoon,0,37,5
14,A Cobourne,0,24,5
7,A Hawkins,1,17,3
7,K Carter,0,11,2
41,D Stala,0,128,8
30,M McDaniel,1,67,4
19,A Bruce,0,52,5
13,M Carter,1,33,3
14,D Cobb,0,29,3
14,M Mann,0,27,3
43,W Dressler,1,139,7
70,R Bagg,2,119,5
20,C Getzlaf,0,86,6
