assists, ats margin, ats streak, attendance, blocks, coach, conference, date, day, defensive rebounds, dpa, dps, field goals attempted, field goals made, fouls, free throws attempted, free throws made, full name, game number, half scores, line, losses, margin, margin at the half, matchup losses, matchup wins, minutes, month, offensive rebounds, officials, opponents, ou margin, ou streak, overtime, points, rank, rebounds, rest, rival, school name, season, site, site streak, start time, steals, streak, subconference, team, three pointers attempted, three pointers made, time of game, total, tournament, turnovers, venuecap, wins
10,-43.000,2,4668,1,Penny Hardaway,AAC,20200122,Wednesday,24,12.500,-30.500,56,16,22,11,6,,18,[17, 23],-3.000,3,-40,-23,0,0,,1,7,,['SCST', 'ILLCH', 'ORE', 'ALCST', 'ARKLR', 'OLMIS', 'NCSTA', 'BRAD', 'UAB', 'TENN', 'JCKST', 'NO', 'TLANE', 'GEOR', 'WIST', 'SOFLA', 'CIN'],-18.000,-2,0,40,20,31,5,,Memphis,2019,away,1,,6,2,,MEM,21,2,,138.000,,19,,14
19,-0.500,3,10006,5,Fran Mccaferey,B10,20200122,Wednesday,26,13.750,13.250,55,29,16,25,18,,17,[38, 47],-5.500,5,5,-5,0,0,,1,10,,['SIUED', 'DEP', 'ORROB', 'NFLA', 'CALPO', 'TXTCH', 'SDST', 'SYR', 'MICH', 'CIN', 'KENST', 'PENST', 'NEB', 'MARY', 'NWEST', 'MICH'],27.000,1,0,85,19,36,4,,Iowa,2019,home,1,,3,3,POWER6,IOWA,25,9,,138.000,,13,15500,11
17,0.500,,10006,0,Steve Pikiell,B10,20200122,Wednesday,20,13.250,13.750,63,29,21,21,15,,17,[43, 37],5.500,4,-5,5,0,0,,1,8,,['NIA', 'DREX', 'STBON', 'SFAUS', 'NJIT', 'MASS', 'PITT', 'MCHST', 'WISC', 'SETHA', 'LAFA', 'CALDC', 'NEB', 'PENST', 'ILL', 'IND'],27.000,,0,80,25,28,6,,Rutgers,2019,away,1,,5,1,POWER6,RUTG,21,7,,138.000,,9,8000,12
13,-17.000,2,4535,5,Dave Leitao,BE,20200122,Wednesday,22,11.000,-6.000,55,23,19,20,17,,19,[34, 34],-2.000,5,-15,-3,0,0,,1,9,,['ALCST', 'CHIM', 'FDICK', 'IOWA', 'CORN', 'BC', 'CMICH', 'MIN', 'TXTCH', 'BUF', 'ILLCH', 'CLEST', 'NWEST', 'SETHA', 'PROV', 'STJ', 'VILLA', 'BUT'],5.000,2,0,68,,31,3,,DePaul,2019,home,1,,4,1,POWER6,DEP,15,3,,146.000,,14,10387,13
18,17.000,-1,4535,2,Greg Mcdermitt,BE,20200122,Wednesday,21,-6.000,11.000,53,25,18,31,23,,20,[37, 46],2.000,5,15,3,0,0,,1,6,,['KENST', 'MICH', 'LOUTE', 'CALPO', 'NFLA', 'SDST', 'TXTCH', 'ORROB', 'NEB', 'UTRGV', 'OKL', 'ARZST', 'MLC', 'MARQ', 'BUT', 'VILLA', 'XAVER', 'GT', 'PROV'],5.000,2,0,83,,27,3,,Creighton,2019,away,1,,9,1,POWER6,CRE,25,10,,146.000,,11,18320,14
16,-9.000,2,7230,4,Jeff Capel,ACC,20200122,Wednesday,18,14.000,5.000,57,30,18,12,8,,19,[28, 46],-11.000,6,2,-5,0,0,,1,11,,['FSU', 'NICST', 'RMORR', 'WVA', 'MONNJ', 'ARKPB', 'KANST', 'NWEST', 'RUTG', 'LOUVI', 'NOILL', 'BING', 'CAN', 'WFRST', 'NOCAR', 'MIAFL', 'LOUVI', 'NOCAR'],19.000,-1,0,74,,29,3,,Pittsburgh,2019,home,2,,4,1,POWER6,PITT,12,6,,127.000,,13,12508,12
15,9.000,-3,7230,3,Jim Christian,ACC,20200122,Wednesday,17,5.000,14.000,52,25,16,13,12,,19,[33, 39],11.000,9,-2,5,0,0,,1,7,,['WFRST', 'SOFLA', 'HIGHP', 'BELM', 'EWAS', 'DEP', 'STL', 'RICH', 'NWEST', 'NOTRE', 'ALBNY', 'CCONS', 'CAL', 'DUKE', 'VIRG', 'GATEC', 'SYR', 'WFRST'],19.000,1,0,72,,24,2,,Boston College,2019,away,-2,,7,-3,POWER6,BC,24,10,,127.000,,14,8606,9
14,-8.500,2,1078,0,Jim Les,BIGW,20200122,Wednesday,26,14.250,5.750,65,30,23,8,5,,20,[24, 50],-4.500,11,-4,-7,0,0,,1,12,,['LOCHI', 'WLJ', 'IDAHO', 'ARKST', 'VMI', 'SACST', 'POR', 'CAL', 'UTAH', 'NOAR', 'NOILL', 'SD', 'LOMAR', 'SF', 'NM', 'HOLYN', 'UCRIV', 'LBST', 'CSNOR'],20.000,-1,0,74,,38,3,,UC Davis,2019,home,-2,,6,2,,UCDAV,26,9,,132.000,,15,7600,8
14,8.500,1,1078,3,Dedrique Taylor,BIGW,20200122,Wednesday,25,5.750,14.250,55,26,15,26,19,,20,[31, 47],4.500,13,4,7,0,0,,1,8,,['BYU', 'STAN', 'WYOM', 'COLST', 'HOF', 'SEMST', 'DENV', 'SCLAR', 'PAC', 'SACST', 'SD', 'SF', 'LOMAR', 'UCLA', 'STK', 'HAW', 'UCRIV', 'UCIRV', 'LBST'],20.000,-1,0,78,,33,3,,Cal St. Fullerton,2019,away,-1,,8,1,,CSFUL,21,7,,132.000,,13,4000,6
16,-17.000,-2,1026,0,Joe Pasternak,BIGW,20200122,Wednesday,20,16.250,-0.750,52,24,14,21,18,,19,[35, 40],-9.000,6,-8,2,0,0,,1,10,,['JCKST', 'UCLA', 'RICE', 'ORST', 'MENCO', 'PORST', 'GRAMB', 'CALSB', 'TXARL', 'SUTAH', 'IDST', 'SOU', 'MW', 'LOULA', 'WMONT', 'CALPO', 'LBST', 'HAW'],15.500,,0,75,,30,3,,UC Santa Barbara,2019,home,-1,,1,-2,,UCSB,27,9,,142.500,,11,5600,12
18,17.000,-1,1026,2,Mark Gottfried,BIGW,20200122,Wednesday,14,-0.750,16.250,59,31,19,14,12,,21,[33, 50],9.000,13,8,-2,0,0,,1,7,,['ORST', 'NM', 'PEP', 'AUB', 'RICH', 'COLG', 'WIGB', 'FRSNO', 'POR', 'PORST', 'NODAK', 'PAC', 'SFST', 'BOIST', 'MORGS', 'STK', 'LBST', 'CALPO', 'UCRIV', 'UCDAV'],15.500,-1,0,83,,21,3,,CSU Northridge,2019,away,1,,4,-1,,CSNOR,16,9,,142.500,,4,2400,7
10,-17.000,-6,4913,2,Walter McCarty,MISSV,20200122,Wednesday,24,3.750,-13.250,53,16,13,16,11,,20,[26, 24],6.000,10,-23,-20,0,0,,1,5,,['BALLST', 'KENTY', 'INDKOK', 'SMU', 'ECAR', 'GW', 'MORGS', 'INDPU', 'WILLI', 'MIAOH', 'WIGB', 'JACST', 'MURST', 'MSU', 'VAL', 'BRAD', 'LOCHI', 'INDST', 'MSU'],-9.500,-4,0,50,,29,3,,Evansville,2019,home,1,,3,-6,,EVANS,29,7,,132.500,,11,,9
21,17.000,-1,4913,3,Darian Devries,MISSV,20200122,Wednesday,31,-13.250,3.750,59,27,21,9,9,,20,[46, 27],-6.000,6,23,20,0,0,,1,5,,['KENST', 'CIN', 'KC', 'SIMCO', 'LEHI', 'MIAOH', 'NE', 'MURST', 'WIMIL', 'SEMST', 'DAYT', 'MTMART', 'AIRFC', 'BRAD', 'INDST', 'LOCHI', 'VAL', 'ILLST', 'SOILL'],-9.500,-1,0,73,,36,2,,Drake,2019,away,-1,,7,-1,,DRAKE,16,10,,132.500,,6,,13
18,12.500,3,2661,0,Porter Moser,MISSV,20200122,Wednesday,22,-7.500,5.000,46,31,12,8,5,,20,[40, 35],-7.500,6,20,17,0,0,,1,6,,['UCDAV', 'FURM', 'COPST', 'STJOE', 'INDPU', 'SOFLA', 'COLST', 'OLDOM', 'BALLST', 'QUINN', 'NORST', 'VANDY', 'DAV', 'VAL', 'MSU', 'DRAKE', 'EVANS', 'SOILL', 'ILLST'],-2.500,-7,0,75,,28,2,,LoyolaChicago,2019,home,-1,,8,3,,LOCHI,12,8,,132.500,,15,,13
11,-12.500,-1,2661,0,Greg Lansing,MISSV,20200122,Wednesday,11,5.000,-7.500,49,21,13,11,7,,18,[23, 32],7.500,7,-20,-17,0,0,,1,9,,['DAYT', 'LOUVI', 'BALLST', 'DUQ', 'LOMAR', 'AIRFC', 'UMSL', 'NODAK', 'WGHST', 'TENST', 'CHIST', 'SOILL', 'DRAKE', 'NIOWA', 'ILLST', 'EVANS', 'VAL'],-2.500,1,0,55,,20,3,,Indiana St.,2019,away,-1,,3,-1,,INDST,20,6,,132.500,,14,,10
13,3.500,-1,7303,5,Brian Wardle,MISSV,20200122,Wednesday,28,-1.250,2.250,59,28,14,15,13,,20,[34, 41],-8.500,6,12,-2,0,0,,1,9,,['STJOE', 'INDPU', 'ILLCH', 'NORST', 'RAD', 'NWEST', 'KANST', 'MEM', 'NCATT', 'MARMO', 'GASO', 'MIAOH', 'TOL', 'DRAKE', 'NIOWA', 'EVANS', 'SOILL', 'MSU', 'NIOWA'],1.000,2,0,75,,37,3,,Bradley,2019,home,1,,3,-1,,BRAD,15,6,,137.000,,7,,13
11,-3.500,-5,7303,3,Dan Muller,MISSV,20200122,Wednesday,19,2.250,-1.250,61,23,14,8,6,,19,[36, 27],8.500,12,-12,2,0,0,,1,9,,['BELM', 'ARKLR', 'CFLR', 'CIN', 'WKY', 'GC', 'ISPS', 'TCU', 'MORST', 'NK', 'ILLCH', 'TXSA', 'NIOWA', 'SOILL', 'MSU', 'INDST', 'DRAKE', 'LOCHI'],1.000,-1,0,63,,28,2,,Illinois St.,2019,away,1,,2,-5,,ILLST,33,11,,137.000,,10,,6
15,7.500,1,4319,1,Bryan Mullins,MISSV,20200122,Wednesday,22,-0.500,7.000,53,23,10,23,12,,20,[28, 40],5.500,10,2,2,0,0,,1,3,,['IWT', 'TXSA', 'DELA', 'OAK', 'SF', 'MURST', 'NCCEN', 'STL', 'NORST', 'SOMIS', 'MISSO', 'HAMP', 'SEMST', 'INDST', 'ILLST', 'VAL', 'BRAD', 'LOCHI', 'DRAKE'],6.500,-9,0,68,,25,2,,Southern Illinois,2019,home,1,,8,1,,SOILL,26,10,,127.500,,6,,9
13,-7.500,1,4319,2,Ben Jacobson,MISSV,20200122,Wednesday,32,7.000,-0.500,56,27,16,4,2,,19,[26, 40],-5.500,2,-2,-2,0,0,,1,6,,['OLDOM', 'NOILL', 'CALSB', 'NOCOL', 'TNMA', 'CRNEL', 'WVA', 'SOCAR', 'LUTH', 'COL', 'GC', 'MARS', 'ILLST', 'BRAD', 'INDST', 'MSU', 'VAL', 'BRAD'],6.500,3,0,66,,38,3,,Northern Iowa,2019,away,-1,,4,5,,NIOWA,23,10,,127.500,,16,,16
14,13.000,3,2931,0,Niko Medved,MW,20200122,Wednesday,26,3.000,16.000,63,34,11,13,9,,22,[46, 40],-5.000,9,18,13,0,0,,1,7,,['DENV', 'PAC', 'DUKE', 'NEBO', 'LOMAR', 'CSFUL', 'ARKST', 'NMEXS', 'LOCHI', 'WAST', 'UTVAL', 'SDST', 'BOIST', 'SDS', 'COL', 'TLSA', 'NEV', 'WYOM', 'SJST', 'NM', 'AIRFC'],19.000,-1,0,86,,33,3,,Colorado St.,2019,home,-1,,4,4,,COLST,18,9,,135.000,,4,8745,12
12,-13.000,1,2931,3,Justin Hutson,MW,20200122,Wednesday,22,16.000,3.000,60,25,15,10,9,,19,[33, 35],5.000,12,-18,-13,0,0,,1,7,,['ORE', 'WINTH', 'SD', 'CLSTSB', 'STM', 'CSNOR', 'UNLV', 'UTST', 'CAL', 'CALPO', 'INDPU', 'SF', 'UCRIV', 'SDST', 'SJST', 'NM', 'SDST', 'WYOM'],19.000,-2,0,68,,29,3,,Fresno St.,2019,away,-1,,3,1,,FRSNO,26,9,,135.000,,10,15544,6
16,9.500,1,10325,6,Steve Alford,MW,20200122,Wednesday,21,0.750,10.250,58,25,19,29,25,,20,[33, 53],-4.500,8,14,6,0,0,,1,8,,['UTAH', 'LOMAR', 'TXARL', 'USC', 'DAV', 'FORD', 'VAL', 'BGRN', 'SCLAR', 'AIRFC', 'BYU', 'TXSOU', 'STM', 'COLST', 'BOIST', 'SJST', 'UTST', 'WYOM', 'SDST'],11.000,-1,0,86,,29,3,,Nevada,2019,home,-1,,8,-1,,NEV,26,11,,147.000,,5,11536,11
10,-9.500,1,10325,1,TJ Otzelberger,MW,20200122,Wednesday,25,10.250,0.750,64,23,23,25,19,,21,[27, 45],4.500,9,-14,-6,0,0,,1,14,,['PFW', 'KANST', 'CAL', 'UCLA', 'ABCH', 'TXST', 'SMU', 'JCKST', 'CIN', 'FRSNO', 'BYU', 'PAC', 'RMORR', 'EMICH', 'UTST', 'AIRFC', 'BOIST', 'WYOM', 'SJST', 'NM'],11.000,,0,72,,39,3,,UNLV,2019,away,2,,2,3,,UNLV,25,7,,147.000,,12,18776,11
17,9.000,2,,6,Darrell Walker,SB,20200122,Wednesday,30,-1.000,8.000,59,29,17,25,16,,21,[37, 44],-9.000,7,18,3,1,0,,1,6,,['MSU', 'ILLST', 'SBU', 'CENAR', 'MEM', 'NCSTA', 'SFBK', 'ALCST', 'ETENS', 'NOTEX', 'TENST', 'ULMON', 'LOULA', 'TXST', 'TXARL', 'GASO', 'TROY', 'SALAB', 'CCAR', 'APPST'],7.000,-3,0,81,,36,3,,Little Rock,2019,home,-2,,8,2,,ARKLR,19,7,,137.000,,8,,13
9,-9.000,1,,1,Scott Cross,SB,20200122,Wednesday,27,8.000,-1.000,63,21,21,17,14,,21,[34, 29],9.000,12,-18,-3,0,1,,1,13,,['UAB', 'CHAT', 'IND', 'CBC', 'TXAM', 'SAM', 'ABAM', 'SHO', 'NORAL', 'JACST', 'CHAT', 'CCAR', 'APPST', 'ULMON', 'LOULA', 'TXST', 'ARKLR', 'ARKST', 'GASO', 'GAST'],7.000,-1,0,63,,40,3,,Troy,2019,away,2,,3,1,,TROY,26,7,,137.000,,15,,8
15,4.000,2,2572,4,Greg Gary,S,20200122,Wednesday,24,3.000,7.000,60,29,15,20,18,,20,[39, 46],-2.000,11,6,6,1,0,,1,7,,['STJ', 'COLINT', 'KENST', 'FLOGC', 'GASO', 'ILLCH', 'STBON', 'CAN', 'HCROS', 'GAST', 'NCWIL', 'FURM', 'FLATL', 'MILL', 'NCGRE', 'CHAT', 'WCAR', 'VMI', 'SAM'],10.000,1,0,85,,31,3,,Mercer,2019,home,-1,,6,2,,MER,22,9,,154.000,,9,,8
15,-4.000,-1,2572,2,Mark Prosser,S,20200122,Wednesday,22,7.000,3.000,58,29,16,14,10,,18,[33, 46],2.000,5,-6,-6,0,1,,1,5,,['GEOR', 'GARDW', 'NCATT', 'FSU', 'JCKSN', 'STET', 'BRYNT', 'CHAT', 'NCASH', 'XAVER', 'TNTCH', 'PIED', 'CITDL', 'VMI', 'MER', 'FURM', 'ETENS'],10.000,2,0,79,,27,3,,Western Carolina,2019,away,1,,4,-2,,WCAR,30,11,,154.000,,11,,12
13,0.000,1,1487,3,Jay Mcauley,S,20200122,Wednesday,28,-8.500,-8.500,56,24,16,13,10,,20,[39, 27],-12.000,7,12,12,0,0,,1,7,,['EFF', 'HIGHP', 'WMMRY', 'BUT', 'MISSO', 'SOFLA', 'MDESH', 'NCCEN', 'GARDW', 'NOGRE', 'NOCAR', 'DUKE', 'KENST', 'ETENS', 'NCGRE', 'SAM', 'CITDL', 'CHAT', 'FURM'],-17.000,-4,0,66,,35,4,,Wofford,2019,home,1,,4,1,,WOFF,28,8,,137.000,,12,,12
8,0.000,1,1487,1,Dan Earl,S,20200122,Wednesday,23,-8.500,-8.500,54,19,14,14,9,,21,[27, 27],12.000,14,-12,-12,0,0,,1,4,,['ECAR', 'MARIS', 'PRES', 'ARKST', 'IDAHO', 'UCDAV', 'CHRIST', 'NCGRE', 'GG', 'DUQ', 'STET', 'FERR', 'VTECH', 'SCSPAR', 'FURM', 'SAM', 'WCAR', 'ETENS', 'MER', 'CITDL'],-17.000,1,0,54,,27,3,,VMI,2019,away,1,,5,1,,VMI,27,7,,137.000,,13,,6
11,-5.000,-5,5612,7,Dan DAntoni,USA,20200122,Wednesday,22,-12.500,-17.500,53,24,14,8,6,,20,[39, 21],-1.000,10,-4,14,0,0,,1,10,,['RMORR', 'TOL', 'NOTRE', 'CHARL', 'HOW', 'FLA', 'AKR', 'TOL', 'BLUSC', 'MORST', 'EKY', 'NIOWA', 'DUQ', 'RICE', 'NOTEX', 'MIDTN', 'UAB', 'CHAR', 'OLDOM'],-30.000,-1,0,60,,32,3,,Marshall,2019,home,2,,7,1,,MARS,19,6,,154.000,,19,,9
9,5.000,1,5612,4,Rick Stansbury,USA,20200122,Wednesday,17,-17.500,-12.500,55,22,9,15,12,,19,[25, 39],1.000,6,4,-14,0,0,,1,7,,['TNTCH', 'AUPEA', 'EKY', 'CAMPB', 'BGRN', 'ILLST', 'FORD', 'LOUVI', 'WGHST', 'ARK', 'RI', 'BELM', 'NOTEX', 'RICE', 'UAB', 'MIDTN', 'OLDOM', 'CHAR'],-30.000,2,0,64,,24,3,,Western Kentucky,2019,away,2,,12,3,,WKY,21,8,,154.000,,14,,12
17,11.500,-1,2477,3,Lamont Paris,S,20200122,Wednesday,31,-1.250,10.250,65,32,19,22,16,,20,[52, 40],-11.500,7,23,12,0,0,,1,12,,['EKY', 'TENST', 'TROY', 'SALAB', 'FSU', 'TENN', 'ALAST', 'JACST', 'WCAR', 'TNWES', 'VTECH', 'TROY', 'NCASH', 'CUMBE', 'MER', 'FURM', 'SAM', 'WOFF', 'NCGRE'],9.000,-2,0,92,,43,3,,Chattanooga,2019,home,-1,,6,-1,,CHAT,28,12,,152.000,,14,,12
11,-11.500,-1,2477,2,Dugger Baucom,S,20200122,Wednesday,20,10.250,-1.250,59,21,18,25,21,,18,[40, 29],11.500,11,-23,-12,0,0,,1,8,,['NCASH', 'GEOR', 'CAMP', 'SEMST', 'ILL', 'MARIS', 'BREV', 'ETENS', 'CBC', 'PIED', 'LONGW', 'NCSTA', 'SAM', 'WCAR', 'WOFF', 'NCGRE', 'VMI'],9.000,1,0,69,,28,3,,The Citadel,2019,away,-1,,7,-6,,CITDL,25,6,,152.000,,13,,6
30,6.500,-3,1399,5,Bob Richie,S,20200122,Wednesday,20,11.000,17.500,71,38,16,13,8,,21,[49, 52],-16.500,5,23,19,0,0,,1,10,,['GARDW', 'LOCHI', 'CHASO', 'SWW', 'ALAB', 'COLINT', 'ELCOL', 'TXARL', 'SOFLA', 'AUB', 'SCSPAR', 'NOGRE', 'WINTH', 'MER', 'VMI', 'ETENS', 'CHAT', 'NCGRE', 'WCAR', 'WOFF'],28.500,-1,0,101,,30,4,,Furman,2019,home,-1,,10,-1,,FURM,39,17,,150.500,,11,,15
14,-6.500,-3,1399,4,Scott Padgett,S,20200122,Wednesday,24,17.500,11.000,56,27,15,20,16,,21,[30, 48],16.500,12,-23,-19,0,0,,1,9,,['MORST', 'KYW', 'BELM', 'VIRWE', 'NORAL', 'MAN', 'TROY', 'SDS', 'LOUTE', 'AUBM', 'HOUBA', 'HAW', 'ALAB', 'GT', 'CITDL', 'VMI', 'WOFF', 'CHAT', 'ETENS', 'MER'],28.500,3,0,78,,33,3,,Samford,2019,away,1,,7,-4,,SAM,23,8,,150.500,,21,,8
14,1.500,-1,3011,4,Eric Henderson,SUMM,20200122,Wednesday,28,3.750,5.250,52,29,14,22,15,,23,[34, 44],-3.500,8,5,12,0,0,,1,3,,['UTRGV', 'PSC', 'CALSB', 'USC', 'NEB', 'NORAL', 'ARZ', 'MSVAS', 'SAM', 'IND', 'MONST', 'COLST', 'NBK', 'FLOGC', 'IDAHO', 'NEBO', 'ORROB', 'WILLI', 'DENV', 'PFW', 'NDAKOT', 'SDAK'],9.000,2,0,78,,31,2,,South Dakota State,2019,home,-1,,2,-1,,SDS,14,5,,142.000,,8,,14
13,-1.500,1,3011,3,David Richman,SUMM,20200122,Wednesday,21,5.250,3.750,60,29,22,9,5,,20,[22, 51],3.500,6,-5,-12,0,0,,1,3,,['KANST', 'MAYST', 'CALPO', 'UTRGV', 'TXCC', 'STO', 'UTVAL', 'IDAHO', 'INDST', 'ETENS', 'CSNOR', 'MONST', 'MARQ', 'DENV', 'WILLI', 'NORTH', 'ORROB', 'SDAK', 'NDAKOT'],9.000,1,0,73,,24,2,,North Dakota State,2019,away,2,,3,2,,NODAK,31,10,,142.000,,5,,13
11,-1.000,1,1438,5,Willis Wilson,SL,20200122,Wednesday,16,6.000,5.000,47,27,24,20,14,,20,[33, 41],-4.000,12,3,-8,0,0,,1,4,,['LOUTE', 'VANDY', 'STO', 'NODAK', 'UTRGV', 'STHOTX', 'UTRGV', 'TXSA', 'STMTX', 'TXAM', 'NICST', 'CENAR', 'NEB', 'NWST', 'SELOU', 'SFAUS', 'ABCH', 'SELOU', 'LAMAR'],11.000,-3,0,74,,20,3,,Texas A&M CC,2019,home,1,,3,1,,TXCC,16,6,,134.000,,16,,7
12,1.000,-1,1438,0,Mark Slessinger,SL,20200122,Wednesday,16,5.000,6.000,49,24,21,24,18,,19,[41, 30],4.000,12,-3,8,0,0,,1,7,,['SPRHI', 'BUT', 'SMU', 'MISST', 'HAW', 'EURKA', 'XAVILA', 'LSU', 'WBC', 'ABCH', 'SHOUS', 'MEM', 'LAMAR', 'SFAUS', 'CENAR', 'IW', 'HOUBA', 'MCNST'],11.000,-1,0,71,,23,3,,New Orleans,2019,away,1,,5,-1,,NO,15,5,,134.000,,11,,6
14,6.000,2,3461,3,,WAC,20200122,Wednesday,24,-8.500,-2.500,66,32,18,21,13,,17,[41, 44],-26.000,5,32,17,0,0,,1,16,,['JCKST', 'TEX', 'CAL', 'CENAR', 'GAST', 'SDAK', 'UCRIV', 'UCIRV', 'BCOOK', 'SOU', 'MSVAS', 'OTTARI', 'UTRGV', 'NMEXS', 'CALSB', 'GC'],-11.000,-1,0,85,,40,10,,California Baptist,2019,home,-2,,4,2,,CALBA,26,8,,149.000,,6,,11
7,-6.000,-1,3461,5,Lance Irvin,WAC,20200122,Wednesday,20,-2.500,-8.500,50,19,27,17,11,,22,[24, 29],26.000,17,-32,-17,0,0,,1,8,,['JUDSON', 'LOYMD', 'EILL', 'PURD', 'PNL', 'NPU', 'FSU', 'JACST', 'ALAST', 'SIUED', 'TENST', 'ORROB', 'NOILL', 'INDST', 'MISSO', 'UTVAL', 'SEA', 'NMEXS', 'UTRGV', 'GC', 'CALSB'],-11.000,-2,0,53,,28,2,,Chicago St.,2019,away,2,,3,-11,,CHIST,16,4,,149.000,,15,,4
19,5.000,3,1624,9,Mike Davis,HRZ,20200123,Thursday,30,-8.750,-3.750,66,28,11,12,11,,21,[41, 35],-7.000,16,12,19,0,0,,1,11,,['NCSTA', 'CLEM', 'WYOM', 'UCIRV', 'LOULA', 'OHIO', 'KST', 'EMICH', 'NOTRE', 'TOL', 'NE', 'SIUED', 'OAK', 'GONZ', 'NK', 'WGHST', 'CLEST', 'YOUST', 'WIMIL', 'WIGB'],-12.500,2,0,76,,41,4,,Detroit Mercy,2019,home,-4,,7,-1,,DET,29,9,,152.500,,11,,4
16,-5.000,-3,1624,2,Jason Gardner,HRZ,20200123,Thursday,25,-3.750,-8.750,66,27,13,7,2,,21,[22, 42],7.000,15,-12,-19,0,0,,1,10,,['BUT', 'BRAD', 'ANDIN', 'SOFLA', 'LOCHI', 'LOYMD', 'SOU', 'EVANS', 'MORST', 'BALLST', 'IUSB', 'PFW', 'FRSNO', 'YOUST', 'CLEST', 'WIMIL', 'WIGB', 'WGHST', 'NK', 'ILLCH'],-12.500,-1,0,64,,35,4,,Indiana  Purdue,2019,away,3,,5,-3,,INDPU,29,8,,152.500,,13,,5
18,10.500,2,2034,4,Pat Kelsey,BIGS,20200123,Thursday,23,-13.250,-2.750,60,28,21,18,14,,20,[34, 45],-15.500,7,26,0,0,0,,1,15,,['HART', 'FRSNO', 'STM', 'ETENS', 'MIDAC', 'TNTCH', 'PFE', 'DUKE', 'CCAR', 'TCU', 'FURM', 'SIUED', 'ELCOL', 'LONGW', 'CAMP', 'HIGHP', 'GARDW', 'HAMP', 'RAD'],-16.000,-1,0,79,,38,2,,Winthrop,2019,home,-2,,8,8,,WINTH,28,9,,148.000,,12,,12
7,-10.500,-2,2034,1,Dave Dickerson,BIGS,20200123,Thursday,19,-2.750,-13.250,44,17,19,24,14,,20,[34, 19],15.500,12,-26,0,0,0,,1,6,,['CHARL', 'TRUE', 'NCCEN', 'VTECH', 'AKR', 'LOUVI', 'YOUST', 'CHAR', 'EKY', 'FURM', 'SCST', 'BOB', 'VMI', 'CHASO', 'LONGW', 'HAMP', 'RAD', 'GARDW', 'HIGHP'],-16.000,-1,0,53,,25,2,,South Carolina Upstate,2019,away,1,,5,-3,,SCSPAR,13,5,,148.000,,18,,7
20,25.000,-2,703,5,David Patrick,BIGW,20200123,Thursday,35,5.750,30.750,56,30,19,26,21,,21,[48, 49],-8.000,8,33,19,0,0,,1,8,,['NEB', 'IDAHO', 'SACST', 'PAC', 'REDLA', 'DENV', 'LONGW', 'SIUED', 'CALBA', 'CLU', 'WAST', 'NOAR', 'SJST', 'FRSNO', 'AIRFC', 'SDChr', 'UCDAV', 'CSFUL', 'CSNOR', 'UCIRV'],36.500,-1,0,97,,43,4,,UC Riverside,2019,home,-1,,4,-2,,UCRIV,30,16,,124.500,,7,3168,12
9,-25.000,2,703,3,John Smith,BIGW,20200123,Thursday,19,30.750,5.750,59,22,21,21,13,,18,[29, 35],8.000,13,-33,-19,0,0,,1,6,,['SCLAR', 'NODAK', 'SIMPU', 'STM', 'CRE', 'IOWA', 'TENST', 'LIU', 'SIENA', 'FRSNO', 'SACST', 'CALSB', 'SDST', 'VANG', 'UCSB', 'CSNOR', 'HAW'],36.500,,0,64,,25,6,,Cal Poly SLO,2019,away,-1,,3,-1,,CALPO,18,7,,124.500,,6,3032,4
18,3.000,1,1094,2,Tubby Smith,BIGS,20200123,Thursday,17,10.000,13.000,59,24,24,18,16,,20,[37, 29, 10],6.000,14,-3,5,0,0,,1,11,,['WMMRY', 'WOFF', 'BC', 'BELM', 'STL', 'EWAS', 'GREEN', 'NFLA', 'ELCOL', 'FLATL', 'VAL', 'BA', 'TEX', 'RAD', 'WINTH', 'PRES', 'NCASH', 'CHASO', 'SCSPAR'],23.000,-1,1,76,,28,2,,High Point,2019,home,-1,,8,1,,HIGHP,37,12,,132.000,,8,,5
19,-3.000,2,1094,3,Tim Craft,BIGS,20200123,Thursday,24,13.000,10.000,52,25,15,27,18,,16,[32, 34, 13],-6.000,11,3,-5,0,0,,1,9,,['FURM', 'WCAR', 'NOCAR', 'WIST', 'SOCAR', 'TNMA', 'NOCOL', 'WOFF', 'KENST', 'VTECH', 'CAMP', 'PRES', 'RAD', 'WINTH', 'SCSPAR'],23.000,2,1,79,,33,4,,GardnerWebb,2019,away,1,,3,1,,GARDW,28,11,,132.000,,15,,4
12,16.500,1,1537,3,Mike Morrell,BIGS,20200123,Thursday,22,-5.250,11.250,50,26,20,24,18,,18,[47, 33],3.500,9,13,16,0,0,,1,3,,['TENN', 'CITDL', 'WFRST', 'BREV', 'STAND', 'CHAR', 'WCAR', 'SCST', 'TNMA', 'STET', 'CHAT', 'PRES', 'CAMP', 'CHASO', 'HIGHP', 'HAMP', 'LONGW'],6.000,-1,0,80,,25,2,,N.C. Asheville,2019,home,-1,,5,1,,NCASH,24,10,,141.000,,9,,8
