assists, ats margin, ats streak, attendance, blocks, coach, conference, date, day, defensive rebounds, dpa, dps, field goals attempted, field goals made, fouls, free throws attempted, free throws made, full name, game number, half scores, line, losses, margin, margin at the half, matchup losses, matchup wins, minutes, month, offensive rebounds, officials, opponents, ou margin, ou streak, overtime, points, rank, rebounds, rest, rival, school name, season, site, site streak, start time, steals, streak, subconference, team, three pointers attempted, three pointers made, time of game, total, tournament, turnovers, venuecap, wins
13,6.000,0,3200,0,Jeff Neubauer,A10,20191105,Tuesday,22,-4.250,1.750,57,24,12,31,13,,1,[30, 38],-3.000,0,9,0,0,0,,11,12,,[],-2.500,0,0,68,,34,,,Fordham,2019,home,0,,10,0,,FORD,17,7,,129.500,,9,,0
14,-6.000,0,3200,4,,NE,20191105,Tuesday,28,1.750,-4.250,51,23,27,9,6,,1,[30, 29],3.000,0,-9,0,0,0,,11,4,,[],-2.500,0,0,59,,32,,,St. Francis Brooklyn,2019,away,0,,7,0,,SFBK,25,7,,129.500,,16,,0
16,1.500,0,5620,5,Dave Paulsen,A10,20191105,Tuesday,18,-9.000,-7.500,63,26,16,15,8,,1,[20, 32, 16],-11.500,0,13,-2,0,0,,11,14,,[],-16.500,0,1,68,,32,,,George Mason,2019,home,0,,9,0,,GMASN,25,8,,139.500,,13,,0
14,-1.500,0,5620,1,Ed Dechellis,PAT,20191105,Tuesday,23,-7.500,-9.000,58,21,15,13,9,,1,[22, 30, 3],11.500,0,-13,2,0,0,,11,17,,[],-16.500,0,1,55,,40,,,Navy,2019,away,0,,4,0,,NAVY,20,4,,139.500,,17,,0
10,-3.000,0,3183,9,Geno Ford,AE,20191105,Tuesday,33,-0.250,-3.250,68,21,16,26,21,,1,[23, 39, 7],2.000,0,-5,-7,0,0,,11,13,,[],-3.500,0,1,69,,46,,,Stony Brook,2019,home,0,,6,0,,STO,23,6,,146.500,,16,,0
16,3.000,0,3183,7,James Jones,IVY,20191105,Tuesday,32,-3.250,-0.250,70,27,18,19,11,,1,[30, 32, 12],-2.000,0,5,7,0,0,,11,11,,[],-3.500,0,1,74,,43,,,Yale,2019,away,0,,8,0,,YALE,26,9,,146.500,,12,,0
14,4.500,0,1417,0,Jared Grasso,NE,20191105,Tuesday,22,-4.250,0.250,62,25,24,21,13,,1,[33, 38],6.500,0,-2,-1,0,0,,11,10,,[],-4.000,0,0,71,,32,,,Bryant,2019,home,0,,9,0,,BRYNT,28,8,,148.000,,11,,0
9,-4.500,0,1417,2,Mike Martin,IVY,20191105,Tuesday,26,0.250,-4.250,53,23,18,31,22,,1,[34, 39],-6.500,0,2,1,0,0,,11,13,,[],-4.000,0,0,73,,39,,,Brown,2019,away,0,,7,0,,BROWN,17,5,,148.000,,15,,0
14,,0,1519,5,Michael Huger,MIDAM,20191105,Tuesday,42,,,72,35,20,26,17,,1,[52, 42],,0,21,21,0,0,,11,17,,[],,0,0,94,,59,,,Bowling Green,2019,home,0,,4,0,,BGRN,24,7,,,,16,,0
8,,0,1519,1,,,20191105,Tuesday,20,,,75,27,20,18,11,,1,[31, 42],,0,-21,-21,0,0,,11,8,,[],,0,0,73,,28,,,Tiffin,2019,away,0,,7,0,,TIFF,33,8,,,,11,,0
16,2.500,0,11116,2,Mark Pope,WESTC,20191105,Tuesday,28,-9.250,-6.750,57,28,17,15,9,,1,[38, 38],-15.500,0,18,14,0,0,,11,3,,[],-16.000,0,0,76,,31,,,Brigham Young,2019,home,0,,5,0,,BYU,23,11,,150.000,,15,19000,0
4,-2.500,0,11116,1,Dedrique Taylor,BIGW,20191105,Tuesday,25,-6.750,-9.250,57,21,21,18,11,,1,[24, 34],15.500,0,-18,-14,0,0,,11,5,,[],-16.000,0,0,58,,30,,,Cal St. Fullerton,2019,away,0,,7,0,,CSFUL,14,5,,150.000,,16,4000,0
20,,0,3856,9,Tic Price,SL,20191105,Tuesday,28,,,65,34,15,16,6,,1,[48, 38],,0,46,37,0,0,,11,15,,[],,0,0,86,,43,,,Lamar,2019,home,0,,22,0,,LAMAR,24,12,,,,22,,0
9,,0,3856,2,,,20191105,Tuesday,15,,,55,14,14,8,7,,1,[11, 29],,0,-46,-37,0,0,,11,7,,[],,0,0,40,,22,,,Champion Christian,2019,away,0,,9,0,,CHCT,22,5,,,,32,,0
12,-7.500,0,3577,2,Frank Haith,AAC,20191105,Tuesday,27,0.250,-7.250,62,28,16,27,21,,1,[41, 39],-15.500,0,8,3,0,0,,11,9,,[],-7.000,0,0,80,,36,,,Tulsa,2019,home,0,,12,0,,TLSA,14,3,,159.000,,11,,0
