fumbles, fumbles lost, longest rush, name, rushes, rushing conversions, rushing touchdowns, rushing yards
,,3,Kerry Collins,3,0,0,5
,,21,Thomas Jones,17,0,1,65
,,19,Jake Plummer,1,0,0,19
,,29,Olandis Gary,14,0,1,90
,,12,Mike Anderson,19,0,0,58
,,1,Gus Frerotte,4,0,0,-1
,,11,Jamal Anderson,25,0,0,98
,,12,Michael Vick,3,0,1,23
,,16,Nick Goings,15,0,0,57
,,13,Tim Biakabutuka,5,0,0,27
,,5,Chris Weinke,1,0,1,5
,,11,James Allen,15,0,0,45
,,4,Marty Booker,1,0,0,4
,,0,Shane Matthews,1,0,0,0
,,-1,Jim Miller,2,0,0,-2
,,10,Michael Bennett,16,0,0,56
,,10,Daunte Culpepper,8,0,0,42
,,6,Jimmy Kleinsasser,1,0,0,6
,,11,Corey Dillon,18,0,0,57
,,7,Peter Warrick,1,0,0,7
,,2,Jon Kitna,1,0,1,2
,,8,Brandon Bennett,3,0,0,1
,,26,Terry Allen,17,0,0,61
,,2,Obafemi Ayanbadejo,2,0,0,3
,,0,Elvis Grbac,1,0,0,0
,,17,James Jackson,31,0,0,124
,,16,Jamel White,3,0,0,15
,,4,Tim Couch,3,0,0,0
,,19,James Stewart,17,0,0,71
,,6,Germane Crowell,1,0,0,6
,,4,Ty Detmer,2,0,0,5
,,16,Emmitt Smith,17,0,0,85
,,4,Troy Hambrick,2,0,0,6
,,8,Anthony Wright,4,0,0,5
,,3,Michael Wiley,1,0,0,3
,,2,Robert Thomas,1,0,0,2
,,0,Clint Stoerner,1,0,0,0
,,16,LaDainian Tomlinson,27,0,0,90
,,16,Tim Dwight,1,0,1,16
,,11,Doug Flutie,6,0,0,15
,,6,Terrell Fletcher,4,0,0,9
,,23,Edgerrin James,23,0,1,111
,,19,Peyton Manning,7,0,1,26
,,23,Rob Johnson,5,0,0,63
,,9,Travis Henry,12,0,1,39
,,28,Peerless Price,1,0,0,28
,,8,Larry Centers,3,0,0,14
,,1,Shawn Bryson,1,0,0,1
,,22,Stacey Mack,18,0,1,80
,,9,Fred Taylor,6,0,0,20
,,7,Mark Brunell,6,0,0,19
,,23,Eddie George,20,0,0,79
,,5,Mike Green,2,0,0,8
,,19,Tony Richardson,9,0,0,41
,,9,Priest Holmes,8,0,0,30
,,9,Trent Green,3,0,0,17
,,11,Ron Dayne,16,0,1,46
,,13,Tiki Barber,11,0,0,42
,,11,Kerry Collins,3,0,0,10
,,0,Ron Dixon,1,0,0,0
,,17,Lamar Smith,22,0,0,92
,,7,Jay Fiedler,8,0,2,34
,,9,JJ Johnson,2,0,0,13
,,4,James McKnight,1,1,0,4
,,1,Travis Minor,1,0,0,1
,,8,Tyrone Wheatley,15,0,0,44
,,14,Charlie Garner,7,0,0,30
,,10,Rich Gannon,3,0,0,14
,,8,Zack Crockett,1,0,0,8
,,14,Marc Edwards,6,0,0,31
,,16,JR Redmond,4,0,0,20
,,5,Antowain Smith,10,0,0,20
,,13,Kevin Faulk,3,0,0,19
,,9,Tom Brady,1,0,0,9
,,8,Drew Bledsoe,2,0,0,8
,,15,Curtis Martin,24,0,1,106
,,3,Richie Anderson,3,0,0,5
,,17,Ricky Watters,17,0,0,81
,,14,Matt Hasselbeck,4,0,0,31
,,6,Koren Robinson,2,0,0,8
,,4,Shaun Alexander,3,0,0,6
,,9,Correll Buckhalter,18,0,0,52
,,15,Donovan McNabb,5,0,1,16
,,10,Duce Staley,3,0,0,12
,,13,James Thrash,2,0,0,9
,,8,Cecil Martin,1,0,0,8
,,3,Brian Mitchell,2,0,0,5
,,10,Kevan Barlow,13,0,1,49
,,10,Jeff Garcia,7,0,1,45
,,12,Terry Jackson,1,0,0,12
,,5,Garrison Hearst,4,0,0,10
,,18,Marshall Faulk,18,0,0,105
,,12,Kurt Warner,3,0,0,9
,,2,Robert Holcombe,1,0,0,2
,,5,Trung Canidate,2,0,0,1
,,-2,Torry Holt,1,0,0,-2
,,18,Ahman Green,25,0,0,116
,,9,Rondell Mealey,4,0,0,19
,,11,Dorsey Levens,5,0,0,13
,,12,Brett Favre,4,0,0,9
,,4,William Henderson,1,0,0,4
,,-1,Donald Driver,1,0,0,-1
,,17,Stephen Davis,13,0,0,65
,,7,Donnell Bennett,1,0,0,7
,,-1,Jeff George,1,0,0,-1
,,24,Michael Pittman,7,0,1,53
,,12,Thomas Jones,5,0,0,21
,,17,David Boston,1,0,0,17
,,0,Jake Plummer,2,0,0,-1
,,15,Maurice Smith,21,0,1,70
,,14,Bob Christian,2,0,0,16
,,8,Doug Johnson,4,0,0,13
,,4,Jamal Anderson,4,0,0,6
,,2,Travis Jervey,3,0,0,6
,,10,Travis Henry,17,0,0,30
,,8,Rob Johnson,2,0,0,15
,,7,Larry Centers,2,0,0,7
,,0,Peerless Price,1,0,0,0
,,30,Jerome Bettis,22,0,0,114
,,32,Amos Zereoue,4,0,0,37
,,22,Chris Fuamatu Maafala,1,0,1,22
,,0,Hines Ward,1,0,0,0
,,-1,Kordell Stewart,3,0,0,-3
,,11,Richard Huntley,5,0,0,19
,,3,Nick Goings,8,0,0,12
,,5,Chris Weinke,3,0,0,5
,,0,Chris Hetherington,1,0,0,0
,,14,Ahman Green,19,0,0,53
,,5,Rondell Mealey,7,0,0,18
,,4,William Henderson,2,0,0,6
,,0,Brett Favre,2,0,0,-1
,,-1,Herbert Goodman,1,0,0,-1
,,9,Mike Anderson,12,0,0,34
,,15,Brian Griese,5,0,0,17
,,4,Olandis Gary,6,0,0,16
,,-6,Eddie Kennison,1,0,0,-6
,,12,Terry Allen,19,0,0,65
,,20,Jason Brookins,4,0,0,31
,,6,Obafemi Ayanbadejo,4,0,0,12
,,4,Elvis Grbac,5,0,0,2
,,2,Moe Williams,2,0,0,2
,,15,Stacey Mack,17,0,0,93
,,5,Jonathan Quinn,2,0,0,5
,,9,Jamel White,23,0,1,64
,,7,James Jackson,10,0,0,18
,,7,Tim Couch,3,0,0,13
,,15,Michael Bennett,13,0,0,51
,,8,Daunte Culpepper,5,0,1,20
,,9,Randy Moss,1,0,0,9
,,6,Doug Chapman,3,0,0,6
,,3,Harold Morrow,1,0,0,3
,,1,Jimmy Kleinsasser,1,0,0,1
,,20,Warrick Dunn,11,0,1,65
,,12,Mike Alstott,3,0,0,24
,,10,Brad Johnson,2,0,0,19
,,39,Antowain Smith,22,0,2,94
,,13,Kevin Faulk,9,0,1,48
,,7,Troy Brown,2,0,0,11
,,5,Marc Edwards,4,0,0,11
,,11,David Patten,1,0,0,11
,,2,Tom Brady,1,0,0,2
,,9,Edgerrin James,17,0,0,55
,,9,Dominic Rhodes,4,0,0,21
,,10,Peyton Manning,2,0,1,14
,,-8,Jerome Pathon,1,0,0,-8
,,55,Ron Dayne,19,0,1,111
,,14,Tiki Barber,3,0,1,21
,,6,Kerry Collins,3,0,0,10
,,9,Greg Comella,1,0,0,9
,,1,Amani Toomer,1,0,0,1
,,1,Damon Washington,1,0,0,1
,,16,Ricky Williams,16,0,0,53
,,6,Aaron Brooks,4,0,0,17
,,4,Joe Horn,1,0,0,4
,,0,Deuce McAllister,1,0,0,0
,,48,Correll Buckhalter,20,0,1,99
,,16,Donovan McNabb,4,0,0,19
,,6,Cecil Martin,5,0,0,14
,,-1,Koy Detmer,1,0,0,-1
,,80,Troy Hambrick,10,0,0,107
,,39,Emmitt Smith,16,0,0,58
,,5,Michael Wiley,2,0,0,8
,,6,Robert Thomas,1,0,0,6
,,2,Anthony Wright,1,0,0,2
,,13,Charlie Garner,7,0,0,36
,,9,Tyrone Wheatley,8,0,0,31
,,7,Jerry Porter,2,0,0,13
,,6,Rich Gannon,2,0,1,11
,,5,Randy Jordan,5,0,0,1
,,1,Marques Tuiasosopo,1,0,0,1
,,5,Shaun Alexander,10,0,1,18
,,9,Ricky Watters,5,0,0,13
,,11,Brock Huard,1,0,0,11
,,23,LaDainian Tomlinson,21,0,3,107
,,7,Terrell Fletcher,8,0,0,22
,,3,Doug Flutie,5,0,0,3
,,1,Fred McCrary,1,0,0,1
,,11,Corey Dillon,15,0,0,46
,,21,Curtis Keaton,3,0,0,44
,,4,Jon Kitna,5,0,0,10
,,8,Brandon Bennett,2,0,0,8
,,3,Peter Warrick,1,0,0,3
,,25,Marshall Faulk,19,0,1,88
,,9,Trung Canidate,4,0,1,19
,,11,Az Zahir Hakim,2,0,0,12
,,5,James Hodgins,1,0,0,5
,,-1,Kurt Warner,1,0,0,-1
,,14,Lamar Smith,19,0,0,48
,,4,Jay Fiedler,4,0,0,9
,,6,JJ Johnson,2,0,0,7
,,29,Stephen Davis,13,0,0,80
,,14,Tony Banks,3,0,0,19
,,5,Donnell Bennett,2,0,0,9
,,4,KiJana Carter,2,0,0,3
,,27,Priest Holmes,23,0,2,147
,,14,Tony Richardson,11,0,1,30
,,15,Derrick Alexander,1,0,0,15
,,7,Todd Collins,2,0,0,6
,,2,Trent Green,1,0,0,2
,,18,Curtis Martin,20,0,2,76
,,10,Laveranues Coles,1,0,0,10
,,3,Richie Anderson,2,0,0,3
,,3,LaMont Jordan,1,0,0,3
,,19,Garrison Hearst,20,0,0,95
,,25,Kevan Barlow,9,0,0,83
,,15,Terry Jackson,2,0,0,23
,,7,Jeff Garcia,8,0,0,18
,,7,Fred Beasley,3,0,0,10
,,4,Terrell Owens,1,0,0,4
,,14,Maurice Smith,17,0,0,71
,,18,Michael Vick,5,0,0,18
,,8,Rodney Thomas,1,0,0,8
,,4,Bob Christian,1,0,0,4
,,2,Chris Chandler,1,0,0,2
,,32,Anthony Thomas,11,0,1,57
,,6,James Allen,12,0,0,27
,,-5,Marty Booker,1,0,0,-5
,,14,Terry Allen,22,0,1,108
,,16,Jason Brookins,15,0,1,68
,,9,Obafemi Ayanbadejo,2,0,0,17
,,14,Travis Taylor,1,0,0,14
,,9,Eddie George,13,0,0,26
,,6,Steve McNair,3,0,0,12
,,9,Mike Green,1,0,0,9
,,19,Travis Henry,19,0,0,113
,,17,Rob Johnson,3,0,0,27
,,7,Larry Centers,5,0,1,14
,,4,Alex Van Pelt,2,0,0,8
,,3,Sammy Morris,2,0,0,4
,,-4,Eric Moulds,1,0,0,-4
,,17,Curtis Martin,26,0,2,135
,,16,Laveranues Coles,2,0,0,15
,,8,Richie Anderson,1,0,0,8
,,6,LaMont Jordan,2,0,0,5
,,-1,Vinny Testaverde,1,0,0,-1
,,15,James Jackson,26,0,1,68
,,12,Tim Couch,2,0,0,24
,,4,Quincy Morgan,1,0,0,4
,,1,Jamel White,2,0,0,1
,,54,LaDainian Tomlinson,19,0,1,102
,,11,Doug Flutie,3,0,0,9
,,8,Tim Dwight,1,0,0,8
,,5,Terrell Fletcher,1,0,0,5
,,5,Curtis Conway,2,0,0,2
,,62,Mike Anderson,22,0,1,155
,,8,Olandis Gary,9,0,0,28
,,12,Brian Griese,8,0,0,14
,,8,Priest Holmes,17,0,0,42
,,17,Lamar Smith,29,0,1,144
,,10,Jay Fiedler,7,0,0,37
,,6,Travis Minor,7,0,0,25
,,3,James McKnight,1,0,0,3
,,9,Antowain Smith,14,0,1,47
,,9,Marc Edwards,3,0,0,14
,,6,Kevin Faulk,4,0,0,10
,,9,Tom Brady,2,0,0,9
,,17,Ricky Williams,30,0,1,136
,,12,Aaron Brooks,6,0,0,24
,,0,Deuce McAllister,0,0,0,0
,,0,Terrelle Smith,1,0,0,0
,,8,Michael Bennett,8,0,0,24
,,5,Doug Chapman,1,0,0,5
,,3,Jimmy Kleinsasser,2,0,0,5
,,0,Daunte Culpepper,0,1,0,0
,,22,Damon Washington,25,0,0,90
,,11,Ron Dayne,16,0,0,39
,,9,Amani Toomer,1,0,0,9
,,7,Greg Comella,2,0,0,6
,,-1,Kerry Collins,2,0,0,-2
,,9,Stephen Davis,12,0,0,39
,,7,Donnell Bennett,2,0,0,10
,,8,Michael Westbrook,1,0,0,8
,,0,Tony Banks,2,0,0,0
,,37,Correll Buckhalter,21,0,0,134
,,9,Donovan McNabb,3,0,0,24
,,11,Brian Mitchell,3,0,0,14
,,5,Todd Pinkston,1,0,0,5
,,3,Cecil Martin,2,0,0,2
,,13,Michael Pittman,22,0,0,83
,,5,Thomas Jones,5,0,0,13
,,1,Jake Plummer,1,0,0,1
,,48,Jerome Bettis,23,0,0,153
,,23,Kordell Stewart,9,0,1,62
,,22,Amos Zereoue,8,0,0,60
,,10,Corey Dillon,19,0,0,64
,,2,Jon Kitna,2,0,0,1
,,12,Charlie Garner,12,0,0,53
,,8,Tyrone Wheatley,12,0,2,33
,,5,Rich Gannon,8,0,0,7
,,5,Randy Jordan,1,0,0,5
,,3,Zack Crockett,1,0,1,3
,,12,Emmitt Smith,16,0,0,25
,,19,Troy Hambrick,4,0,0,24
,,15,Quincy Carter,3,0,0,21
,,8,Anthony Wright,4,0,0,18
,,10,Joey Galloway,1,0,0,10
,,8,Tim Seder,1,0,1,8
,,2,Robert Thomas,1,0,0,2
,,23,Shaun Alexander,31,0,2,176
,,11,Trent Dilfer,5,0,0,9
,,14,Elvis Joseph,12,0,0,39
,,9,Stacey Mack,8,0,0,17
,,1,Mark Brunell,1,0,0,1
,,18,Garrison Hearst,18,0,0,74
,,7,Kevan Barlow,11,0,0,32
,,12,Terry Jackson,3,0,0,24
,,13,Jeff Garcia,3,0,1,20
,,9,Tim Biakabutuka,10,0,0,45
,,7,Brad Hoover,2,0,0,12
,,3,Richard Huntley,3,0,0,6
,,-2,Isaac Byrd,1,0,0,-2
,,39,Mike Alstott,15,0,1,77
,,11,Brad Johnson,2,0,0,16
,,4,Aaron Stecker,2,0,0,6
,,13,Ahman Green,15,0,0,59
,,5,Dorsey Levens,2,0,0,9
,,6,Brett Favre,2,0,0,5
,,1,William Henderson,2,0,0,1
,,-5,Antonio Freeman,1,0,0,-5
,,30,James Stewart,13,0,0,88
,,7,Desmond Howard,2,0,0,11
,,7,Charlie Batch,1,0,0,7
,,0,Cory Schlesinger,1,0,0,0
,,-1,Ty Detmer,1,0,0,-1
,,14,Marshall Faulk,14,0,1,71
,,15,Trung Canidate,2,0,0,16
,,10,Isaac Bruce,1,0,0,10
,,0,Az Zahir Hakim,1,0,0,0
,,-1,Jamie Martin,3,0,0,-3
,,24,Maurice Smith,20,0,1,50
,,22,Chris Chandler,2,0,0,22
,,14,Bob Christian,2,0,0,16
,,31,Garrison Hearst,12,0,0,78
,,25,Jeff Garcia,14,0,1,70
,,20,Kevan Barlow,8,0,1,38
,,1,Fred Beasley,1,0,0,1
,,15,Tim Biakabutuka,13,0,0,30
,,3,Richard Huntley,4,0,0,2
,,3,Chris Weinke,3,0,0,2
,,46,Ricky Williams,31,0,1,147
,,18,Aaron Brooks,7,0,0,49
,,2,Deuce McAllister,1,0,0,2
,,15,James Allen,18,0,1,75
,,19,Anthony Thomas,11,0,0,58
,,3,Jim Miller,2,0,0,3
,,1,Glyn Milburn,1,0,0,1
,,8,Michael Pittman,16,0,0,50
,,4,Thomas Jones,6,0,0,14
,,11,David Boston,1,0,0,11
,,5,Jake Plummer,2,0,0,7
,,25,Corey Dillon,31,0,1,140
,,19,Brandon Bennett,7,0,0,41
,,11,Jon Kitna,4,0,0,18
,,5,James Jackson,14,0,0,22
,,13,Jamel White,3,0,0,19
,,0,Tim Couch,2,0,0,-1
,,19,Ahman Green,20,0,1,54
,,5,Dorsey Levens,2,0,0,7
,,0,Brett Favre,2,0,0,-1
,,12,Terry Allen,18,0,0,75
,,15,Randall Cunningham,4,0,1,40
,,10,Jason Brookins,9,0,1,33
,,10,Obafemi Ayanbadejo,2,0,0,9
,,1,Moe Williams,1,0,0,1
,,17,Edgerrin James,26,0,0,116
,,2,Peyton Manning,1,0,0,2
,,10,Charlie Garner,15,0,0,53
,,12,Tyrone Wheatley,6,0,1,24
,,8,Rich Gannon,7,0,0,16
,,4,Randy Jordan,2,0,0,8
,,26,Priest Holmes,20,0,2,150
,,8,Trent Green,2,0,0,14
,,3,Mike Cloud,1,0,0,3
,,-2,Larry Parker,1,0,0,-2
,,30,Jerome Bettis,19,0,0,112
,,14,Kordell Stewart,7,0,0,47
,,10,Amos Zereoue,8,0,0,42
,,2,Troy Edwards,1,0,0,2
,,33,Daunte Culpepper,7,0,2,83
,,23,Michael Bennett,13,0,0,46
,,7,Doug Chapman,4,0,0,12
,,2,Jimmy Kleinsasser,1,0,0,2
,,1,Travis Prentice,2,0,1,2
,,25,James Stewart,16,0,0,108
,,15,Lamont Warren,2,0,0,18
,,3,Cory Schlesinger,1,0,0,3
,,0,Charlie Batch,1,0,0,0
,,9,Antowain Smith,15,0,1,36
,,7,Patrick Pass,1,0,0,7
,,4,Marc Edwards,4,0,0,5
,,0,Tom Brady,1,0,0,0
,,3,Kevin Faulk,2,0,0,0
,,-19,Lee Johnson,1,0,0,-19
,,14,LaDainian Tomlinson,24,0,1,74
,,8,Terrell Fletcher,1,0,0,8
,,2,Fred McCrary,1,0,0,2
,,1,Doug Flutie,2,0,0,1
,,27,Curtis Martin,22,0,1,120
,,5,Richie Anderson,1,0,0,5
,,4,Jerald Sowell,1,0,0,4
,,-1,Vinny Testaverde,1,0,0,-1
,,7,Lamar Smith,24,0,0,54
,,29,Travis Minor,1,0,1,29
,,26,Jay Fiedler,2,0,0,27
,,3,James McKnight,1,0,0,3
,,2,Ray Lucas,1,0,0,2
,,60,Shaun Alexander,33,0,2,142
,,5,Jay Graham,2,0,0,8
,,7,Mack Strong,1,0,0,7
,,6,Trent Dilfer,1,0,0,6
,,0,Matt Hasselbeck,3,0,0,-2
,,7,Mike Anderson,17,0,0,51
,,21,Brian Griese,2,0,0,38
,,3,Olandis Gary,1,0,0,3
,,7,Marshall Faulk,8,0,0,25
,,5,Trung Canidate,5,0,1,10
,,8,Kurt Warner,3,0,0,6
,,17,Ron Dayne,20,0,1,88
,,8,Kerry Collins,2,0,0,11
,,0,Damon Washington,2,0,0,-2
,,27,Eddie George,29,0,1,85
,,22,Steve McNair,9,0,1,54
,,2,Mike Green,3,0,0,3
,,9,Warrick Dunn,10,0,1,16
,,4,Mike Alstott,5,0,0,4
,,2,Brad Johnson,2,0,0,4
,,24,Emmitt Smith,25,0,0,107
,,27,Troy Hambrick,9,0,0,68
,,12,Anthony Wright,8,0,0,32
,,3,Darrin Chiaverini,1,0,0,3
,,2,Robert Thomas,1,0,0,2
,,-1,Raghib Ismail,1,0,0,-1
,,19,Stephen Davis,23,0,0,99
,,2,Tony Banks,3,0,0,4
,,29,Stacey Mack,15,0,0,84
,,12,Mark Brunell,4,0,0,27
,,4,Elvis Joseph,1,0,0,4
,,0,Chris Hanson,1,0,0,0
,,9,Travis Henry,27,0,0,63
,,12,Rob Johnson,5,0,0,22
,,8,Larry Centers,3,0,0,13
,,24,Michael Pittman,26,0,1,95
,,13,Thomas Jones,7,0,1,26
,,15,Jake Plummer,3,0,0,20
,,-6,MarTay Jenkins,1,0,0,-6
,,41,Priest Holmes,15,0,0,85
,,16,Trent Green,3,0,0,23
,,7,Larry Parker,1,0,0,7
,,4,Tony Richardson,1,0,0,4
,,10,Corey Dillon,16,0,0,30
,,3,Curtis Keaton,1,0,0,3
,,6,Peter Warrick,2,0,0,2
,,2,Brandon Bennett,2,0,0,0
,,46,Anthony Thomas,22,0,1,188
,,5,James Allen,7,0,0,17
,,0,Jim Miller,3,0,0,-2
,,22,James Jackson,24,0,1,77
,,10,Tim Couch,4,0,0,10
,,1,Jamel White,1,0,0,1
,,15,Obafemi Ayanbadejo,9,0,0,48
,,12,Jason Brookins,13,0,0,46
,,7,Terry Allen,3,0,0,12
,,5,Randall Cunningham,1,0,0,5
,,2,Moe Williams,1,0,0,2
,,7,Lamont Warren,6,0,0,18
,,7,James Stewart,9,0,0,17
,,3,Charlie Batch,2,0,0,3
,,3,Desmond Howard,1,0,0,3
,,0,John Jett,1,0,0,0
,,12,Eddie George,26,0,0,51
,,22,Steve McNair,5,0,0,48
,,2,Skip Hicks,1,0,0,2
,,1,Frank Wycheck,1,0,0,1
,,20,Edgerrin James,30,0,0,143
,,24,Dominic Rhodes,2,0,0,35
,,1,Peyton Manning,2,0,0,1
,,19,Antowain Smith,21,0,0,71
,,29,David Patten,1,0,1,29
,,10,Marc Edwards,3,0,0,14
,,9,Troy Brown,1,0,0,9
,,2,Kevin Faulk,1,0,0,2
,,0,JR Redmond,1,0,0,0
,,-1,Tom Brady,2,0,0,-2
,,19,Doug Chapman,22,0,0,90
,,34,Daunte Culpepper,8,0,1,75
,,11,Jimmy Kleinsasser,5,0,1,20
,,15,Harold Morrow,1,0,0,15
,,61,Ahman Green,11,0,0,73
,,1,Dorsey Levens,2,0,0,1
,,0,Brett Favre,1,0,0,0
,,0,William Henderson,1,0,0,0
,,12,Ricky Williams,21,0,0,51
,,12,Aaron Brooks,3,0,0,12
,,22,Maurice Smith,22,0,0,83
,,21,Bob Christian,3,0,0,28
,,6,Chris Chandler,3,0,0,9
,,2,Rodney Thomas,2,0,0,4
,,16,Curtis Martin,14,0,0,63
,,16,LaMont Jordan,4,0,0,34
,,10,Richie Anderson,2,0,0,13
,,11,Chad Pennington,1,0,0,11
,,8,Laveranues Coles,1,0,0,8
,,3,Vinny Testaverde,2,0,0,3
,,44,Trung Canidate,23,0,2,195
,,11,Robert Holcombe,5,0,0,30
,,12,Az Zahir Hakim,2,0,0,9
,,3,Isaac Bruce,1,0,0,3
,,-1,Jamie Martin,3,0,0,-3
,,20,LaDainian Tomlinson,25,0,0,58
,,28,Curtis Conway,1,0,0,28
,,10,Terrell Fletcher,2,0,0,11
,,10,Doug Flutie,4,0,0,10
,,24,Mike Anderson,11,0,0,50
,,7,Olandis Gary,5,0,0,21
,,5,Brian Griese,4,0,0,7
,,3,Rod Smith,1,0,0,3
,,9,Warrick Dunn,13,0,0,31
,,8,Brad Johnson,3,0,0,18
,,12,Mike Alstott,3,0,0,15
,,46,Jerome Bettis,17,0,1,143
,,16,Kordell Stewart,7,0,0,32
,,12,Troy Edwards,1,0,0,12
,,12,Dan Kreider,1,0,0,12
,,11,Amos Zereoue,8,0,0,12
,,9,Hines Ward,1,0,0,9
,,24,Stephen Davis,26,0,0,99
,,0,Tony Banks,2,0,0,-1
,,27,Tim Biakabutuka,20,0,1,121
,,8,Brad Hoover,3,0,0,12
,,-1,Chris Weinke,1,0,0,-1
,,-8,Steve Smith,1,0,0,-8
,,13,Tiki Barber,13,0,0,55
,,5,Ron Dayne,16,0,0,32
,,9,Kerry Collins,2,0,0,9
,,21,Donovan McNabb,6,0,0,35
,,9,Correll Buckhalter,11,0,0,34
,,16,Duce Staley,3,0,0,22
,,19,Priest Holmes,15,0,0,55
,,19,Tony Richardson,4,0,0,26
,,8,Trent Green,3,1,0,19
,,1,Larry Parker,1,0,0,1
,,20,Edgerrin James,27,0,0,102
,,77,Dominic Rhodes,4,0,1,87
,,6,Peyton Manning,2,0,0,5
,,23,Jason Brookins,19,0,1,82
,,10,Obafemi Ayanbadejo,6,0,0,24
,,14,Jermaine Lewis,1,0,0,14
,,0,Randall Cunningham,5,0,0,-3
,,-3,Moe Williams,1,0,0,-3
