name, rushes, rushing touchdowns, rushing yards
Paul Smith,3,0,13
David Johnson,3,0,7
Idris Moss,2,0,7
Dexter Taylor,1,0,3
Aaron Johnson,2,0,1
Dwayne Wright,26,3,158
Chastin West,1,0,20
Tom Brandstater,3,0,17
Lonyae Miller,4,0,14
Anthony Harding,2,0,5
Robert Hubbard,17,0,103
Luke Lippincott,7,1,32
Jeff Rowe,9,0,24
Kyle Eklund,1,0,9
Reggie Arnold,25,1,140
Oren ONeal,3,0,30
Travis Hewitt,8,1,22
Chris James,4,0,18
Corey Leonard,3,0,8
Kevin Jones,1,0,6
Wesley McMahand,13,0,35
Tony Moore,6,0,26
David Pevoto,7,0,9
Jimmy Johns,8,0,58
Kenneth Darby,16,0,25
LeRon McClain,2,0,17
Tim Castille,6,1,14
Keith Brown,1,0,8
John Parker Wilson,3,0,3
Nate Ilaoa,4,0,27
Reagan Mauia,3,0,15
Colton Brennan,6,0,3
Felix Jones,7,0,48
Darren McFadden,9,0,42
Michael Smith,3,0,24
Peyton Hillis,3,0,16
Mitch Mustain,1,1,4
Robert Johnson,4,1,-4
Emmanuel Moody,7,1,58
Chauncey Washington,8,0,55
CJ Gable,12,1,51
Allen Bradford,5,1,13
Ryan Powdrell,2,0,9
Desmond Reed,4,0,7
John David Booty,3,0,2
Mark Sanchez,1,0,-3
Chris Henry,13,0,63
Chris Jennings,6,0,7
Syndric Steptoe,1,0,6
Willie Tuitama,4,0,-9
Curtis Brown,11,0,23
Fui Vakapuna,6,0,21
Manase Tonga,1,0,2
John Beck,5,0,-15
Kenny Irons,20,1,183
Will Herring,1,0,42
Brad Lester,6,1,37
Carl Stewart,5,1,10
Brandon Cox,4,0,3
Courtney Taylor,1,0,-1
DeMaundray Woolridge,9,0,86
Derrell Hutsona,6,0,30
Darryl Blunt,1,0,24
Dwight Tardy,4,0,10
Gary Rogers,1,0,-2
Alex Brink,7,0,-24
Freddie Barnes,29,2,158
Dan Macon,13,0,37
Peter Winovich,2,0,20
Chris Bullock,2,0,4
PJ Hill,22,1,130
Lance Smith,8,0,41
Dywon Rowan,8,1,28
John Stocco,3,1,-2
Kevin Smith,20,1,86
Jason Peters,8,1,22
Phillip Smith,5,0,6
Steven Moffett,4,0,-3
Kyle Israel,1,0,-6
Bradley Glatthaar,11,1,52
Greg Moore,10,0,45
Butler Benton,10,1,37
Jacob Ramsey,1,0,4
Nick Davila,2,0,-1
Dustin Grutza,2,0,-8
James Davis,14,1,94
Reggie Merriweather,9,1,75
CJ Spiller,6,0,18
Jacoby Ford,1,0,10
Demerick Chancellor,1,0,4
Will Proctor,6,0,3
Cullen Harper,2,0,-5
Charles Pierre,8,0,31
Aaron Sanchez,4,0,20
Willie Floyd,7,0,19
Sean Clayton,4,0,4
William Rose,1,0,3
Glynn Bostic,1,0,-1
BJ Manley,3,0,-4
Rusty Smith,4,0,-13
Mike ONeill,1,0,-14
Mell Holliday,12,0,50
Hugh Charles,5,0,35
Byron Ellis,4,0,12
Patrick Williams,1,0,7
Stephone Robinson,1,0,6
Bernard Jackson,1,0,5
James Cox,8,1,-9
Nnamdi Ohaeri,3,0,39
Michael Myers,7,0,38
Gartrell Johnson,18,3,34
Caleb Hanie,5,1,16
Billy Farris,2,0,8
Damon Morton,1,0,8
Tristan Walker,2,0,8
Justin Boyle,7,0,23
Requan Boyette,8,0,20
Ronnie Drummer,2,0,7
Marcus Jones,3,0,6
Tielor Robinson,1,0,1
Thaddeus Lewis,8,0,-2
Jomar Wright,1,0,-4
Percy Harvin,4,0,58
Kestahn Moore,12,0,51
DeShawn Wynn,7,1,45
Tim Tebow,1,1,1
Chris Leak,5,0,-12
Damion Fletcher,18,0,89
Jeremy Young,4,0,23
Larry Thomas,2,0,5
Bobby Weakley,1,0,2
Danny Ware,6,1,68
Thomas Brown,10,1,26
Kregg Lumpkin,5,1,26
Matthew Stafford,1,0,19
Brannan Southerland,1,0,3
Joe Cox,1,0,1
Des Williams,1,0,0
Joe Tereshinski III,2,0,-7
Reggie Ball,11,0,55
Tashard Choice,14,0,54
Rashaun Grant,3,0,10
Darius Walker,22,1,99
Travis Thomas,6,0,19
Asaph Schwapp,3,0,13
Brady Quinn,7,1,9
Pierre Thomas,15,2,126
EB Halsey,11,1,82
Rashard Mendenhall,10,2,75
Tim Brasic,6,1,31
Juice Williams,4,0,26
Walter Mendenhall,2,0,5
Josiah Sears,8,1,35
Demetrius McCray,3,0,20
Bryan Payton,4,0,18
Marcus Thigpen,5,0,9
Ray Fisher,1,0,6
Blake Powers,4,0,-4
Graeme McFarland,1,0,-10
Mark Bonds,18,1,61
Brandon West,7,0,35
Jamarko Simmons,1,0,9
Ryan Cubit,2,0,-7
Chris Maragos,1,0,-12
Thomas Peregrin,2,0,-14
Albert Young,19,1,93
Damian Sims,7,0,39
Sam Brownlee,3,0,11
Dana Brown,2,1,9
Shonn Greene,3,0,7
Champ Davis,1,0,5
Drew Tate,3,0,2
Jon Cornish,13,1,140
Kerry Meier,9,2,59
Xavier Rambo,6,0,39
Brandon McAnderson,1,0,0
Kyle Tucker,1,0,-16
Carlos Alsup,14,0,26
Leon Patton,7,0,22
James Johnson,4,0,10
Dylan Meier,2,0,-10
Alley Broussard,8,1,46
Charles Scott,5,0,39
Jacob Hester,8,1,31
Matt Flynn,4,0,24
Justin Vincent,8,0,21
Keiland Williams,2,0,13
Ryan Perrilloux,1,0,-4
Tyrell Fenroy,12,0,52
Deon Wallace,7,0,24
Chester Johnson,2,0,13
Caleb Rubin,4,0,10
Matt Desormeaux,1,0,8
Abdule Levier,2,0,5
Chancellor Roberson,1,0,1
Jerry Babb,6,0,0
Keon Lattimore,13,1,89
Lance Ball,15,2,86
Josh Allen,6,0,25
Sam Hollenbach,2,0,11
JP Humber,1,0,2
Darrius Heyward Bey,1,0,1
Jordan Steffy,2,0,0
Javon Ringer,16,1,70
Drew Stanton,8,0,55
Jehuu Caulcrick,12,1,50
Jayson Bird,20,1,88
Max Komar,2,0,13
DeAngelo Ramsey,1,0,12
Brian Flowers Jr,7,0,9
TJ Conley,1,0,6
Rolly Lumbala,1,0,3
Steven Wichman,4,0,-18
Mike Hart,31,0,146
Brandon Minor,3,0,30
Kevin Grady,5,1,30
Chad Henne,8,0,20
Steve Breaston,1,0,13
Carlos Brown,1,0,4
Mario Manningham,2,0,3
Chris Nickson,16,0,22
Jared Hawkins,2,0,18
Cassen Jackson Garrison,8,0,2
Tony Temple,15,0,119
Brandon Coleman,1,0,62
Marcus Woods,5,1,53
Connell Davis,2,0,15
Danario Alexander,1,0,14
Earl Goldsmith,1,0,12
Jimmy Jackson,2,0,7
Brad Ekwerekwu,2,0,3
Chase Daniel,9,0,-27
Brian Hampton,34,1,149
Adam Ballard,13,1,97
Reggie Campbell,8,1,62
Shun White,6,1,49
Matt Hall,4,0,27
Zerbin Singleton,2,0,12
Trey Hines,1,0,8
Byron McCoy,1,0,1
Dominique Lindsay,3,0,38
Chris Johnson,11,1,28
Brandon Fractious,7,0,11
James Pinkney,3,0,1
Aundrae Allison,1,0,-2
Ronnie McGill,14,0,94
Joe Dailey,8,1,38
Barrington Edwards,10,0,37
Ray Rice,31,3,201
Brian Leonard,6,0,25
Dennis Campbell,1,0,10
Mike Teel,3,0,-17
Andre Brown,15,1,125
Toney Baker,11,1,43
Jamelle Eugene,10,0,30
Marcus Stone,6,0,21
Darrell Blackman,1,0,3
Cody Glenn,13,1,88
Marlon Lucky,13,1,79
Kenny Wilson,15,0,47
Brandon Jackson,3,1,36
Zac Taylor,2,0,9
Patrick Jackson,9,0,43
Frederick Franklin,6,0,35
Zac Champion,6,0,-11
Rodney Ferguson,15,0,65
Martelius Epps,4,0,25
Matthew Quillen,2,0,4
Paul Baker,1,0,2
Kole McKamey,9,0,-31
Antonio Pittman,19,1,111
Beanie Wells,10,1,50
Maurice Wells,5,0,15
Troy Smith,1,0,-1
Justin Zwick,1,0,-2
Garrett Wolfe,26,0,171
Montell Clanton,2,0,9
Dan Nicholson,1,0,-8
Phil Horvath,4,0,-21
Kalvin McRae,10,1,28
Voncarie Owens,4,0,19
Josh Abrams,11,0,13
Mitch Morsillo,3,0,4
Austen Everson,8,1,-2
Adrian Peterson,24,1,139
Paul Thompson,4,0,6
Sam Hunt,15,0,65
Dan Burks,13,0,38
Corey White,9,1,23
Chris Williams,1,0,5
Marculus Elliott,1,0,5
Mike Hamilton,16,0,155
Julius Crosslin,7,1,32
Keith Toston,7,1,29
Robert Reid,5,0,15
Calvin Roberts,5,0,15
Artrell Woods,1,0,2
Zac Robinson,2,0,-2
Jonathan Stewart,22,2,168
Jeremiah Johnson,10,1,79
Andiel Brown,2,0,28
Dennis Dixon,5,1,17
Brady Leaf,1,0,9
Garren Strong,1,0,-3
Toby Gerhart,16,0,55
Trent Edwards,8,0,33
Anthony Kimble,5,0,14
Jason Evans,2,0,2
Nick Frank,4,0,-4
LaRod Stephens Howling,17,0,58
Shane Brooks,9,0,43
Tyler Palko,3,0,4
Conredge Collins,1,0,2
Kevin Collier,2,0,1
Jason Snelling,9,1,28
Mikell Simpson,2,0,20
Cedric Peerman,7,0,7
Michael Johnson,2,0,3
Jameel Sewell,1,0,-6
AJ Wallace,1,0,42
Tony Hunt,14,1,36
Matt Hahn,3,0,9
Derrick Williams,3,0,4
Rodney Kinlaw,3,0,-2
Anthony Morelli,1,0,-5
Jason Ganter,2,0,-8
Dennis Kennedy,25,1,59
Luke Getsy,9,0,-26
Kory Sheets,17,3,128
Jaycen Taylor,6,0,24
Dorien Bryant,3,0,22
Curtis Painter,6,2,17
Anthony Heygood,4,0,10
Joey Elliott,1,0,2
Quinton Smith,18,2,108
Chase Clement,10,0,27
Joel Armstrong,3,0,-4
Jackie Battle,14,1,74
Roshawn Pope,2,0,31
Roy Otis,2,0,8
Anthony Alridge,1,0,1
Justin Laird,1,0,-7
Kevin Kolb,8,0,-11
Walt Smith,7,2,70
Matt Grothe,10,1,58
Benjamin Williams,9,0,54
Keeley Dorsey,2,1,53
Moise Plancher,4,0,26
Pat Julmiste,3,0,23
Grant Gregory,1,0,6
Colby Erskin,5,0,5
Ilia Petrov,1,0,-9
Arian Foster,17,0,69
Montario Hardesty,5,1,56
LaMarcus Coker,11,0,53
David Yancey,3,0,13
Bret Smith,1,0,9
Robert Meachem,1,0,9
Jonathan Crompton,2,0,6
Erik Ainge,1,0,1
Marshawn Lynch,12,0,74
Joe Ayoob,3,1,3
Justin Forsett,5,0,1
Nate Longshore,3,0,-14
Jamaal Charles,14,1,77
Selvin Young,12,1,44
Colt McCoy,4,1,38
Antwaun Hobbs,5,0,20
Henry Melton,5,1,17
Jevan Snead,3,0,11
Rashad Bobino,1,0,5
Jamario Thomas,14,0,38
Evan Robertson,5,0,-2
Woody Wilson,7,0,-5
Matt Phillips,2,0,-23
Anthony Jones,10,0,88
Josh Allen,6,0,41
Kenny Cattouse,5,0,30
Omar Haugabook,10,0,26
Mykeal Terry,1,0,19
Zach Marcum,1,0,10
Fred Turner,1,0,8
Gary Banks,1,0,6
Gerald Tate,1,0,6
Marlo East,1,0,5
Leodis McKelvin,1,0,-1
Courtney Lewis,13,2,55
Jorvorskie Lane,7,1,29
Jamie McCoy,3,0,26
Stephen McGee,8,1,18
Samson Taylor,2,0,4
Brandon Leone,1,0,0
Shannon Woods,15,0,104
Edward Britton,3,0,26
Kobey Lewis,2,0,6
Graham Harrell,2,0,2
Danny Amendola,1,0,0
Justin Willis,12,0,39
DeMyron Martin,12,0,30
Johnnie Fitzgerald,5,0,25
James Mapps,5,0,24
Kahlil Bell,14,0,34
Chris Marky,9,0,32
Chane Moline,7,0,17
Brandon Breazell,1,0,12
Michael Pitre,1,0,7
Derrick Williams,3,0,4
Ben Olson,5,0,4
Matt Willis,1,0,-3
Mike Liti,8,0,57
Brent Casteel,7,0,46
Eric Weddle,1,0,5
Brett Ratliff,5,0,4
Darryl Poston,2,0,0
Erick Jackson,11,1,79
Rocky Hinds,6,1,42
Shane Steichen,2,0,17
Justin Marvel,1,0,14
David Peeples,6,2,10
Ronnie Smith,3,0,10
Ryan Worthen,1,0,9
Lafayette Fletcher,2,0,0
Aaron Straiten,1,0,-7
Brandon Ore,11,1,54
George Bell,8,1,30
Elan Lewis,2,0,11
Eddie Royal,1,0,9
Ike Whitaker,1,0,7
Carlton Weatherford,1,0,2
Sean Glennon,3,0,-2
Micah Andrews,20,0,142
DeAngelo Bryant,13,1,62
Kevin Harris,4,0,27
Rich Belton,2,0,9
Benjamin Mauk,7,0,6
Riley Skinner,2,0,-1
Curtis Brinkley,8,0,49
Paul Chiara,6,0,26
Taj Smith,2,0,24
Tony Fiammetta,2,0,10
Delone Carter,5,0,6
Perry Patterson,7,0,-24
Louis Rankin,10,2,145
Isaiah Stanback,17,1,102
Kenny James,14,1,53
Yonus Davis,9,0,33
Patrick Perry,3,0,12
Adam Tafralis,15,0,7
James Callier Jr,1,0,0
Jacob French,1,0,-2
Steve Slaton,33,2,203
Patrick White,7,0,48
Owen Schmitt,6,1,38
Darius Reynaud,1,0,16
Jarrett Brown,1,1,7
Jason Colson,4,0,0
Ahmad Bradshaw,18,0,70
Chubb Small,5,0,39
Bernard Morris,8,0,37
Kelvin Turner,3,0,17
Wynel Seldon,18,0,99
Devin Moore,14,0,61
Jacob Doss,9,0,29
Montey Brunk,6,0,15
Karsten Sween,1,0,11
Hoost Marsh,3,1,6
Marcus Cross,11,0,44
Leon Jackson III,11,0,8
Antraun McDaniel,2,0,2
Rob Sirstins,2,0,1
Paul Mosley,10,0,34
Brandon Whitaker,5,0,18
Shawn Bell,4,0,3
Dominique Zeigler,1,0,-8
Aaron Brown,15,0,49
Detrick James,9,0,38
Jeff Ballard,6,0,8
Marcus Jackson,4,0,2
Ryan Christian,1,0,1
Michael Bush,17,3,128
George Stripling,9,2,90
Kolby Smith,12,0,66
Anthony Allen,9,1,48
Harry Douglas,2,0,27
Brock Bolen,2,0,5
Brian Brohm,2,0,1
Joe Tronzo,1,0,-1
Rafael Little,7,0,21
Tony Dixon,2,0,5
Curtis Pulley,5,0,1
Andre Woodson,4,0,-2
Alphonso Smith,1,0,-3
BenJarvus Green Ellis,26,2,127
Dexter McCluster,4,1,60
Brent Schaeffer,11,1,48
Mico McSwain,3,0,9
Joseph Doss,23,0,112
Earnest Williams,4,0,32
Carlton Robinzine,3,0,8
Jamarcus Gaither,2,0,3
Will Hudgens,1,0,0
Duke Calhoun,1,0,-2
Martin Hankins,3,0,-4
Charlie Jones,13,1,27
Javarris James,3,0,3
Darnell Jenkins,1,0,-6
Kyle Wright,8,0,-20
Antone Smith,9,0,5
Joe Surratt,3,1,3
Drew Weatherford,6,0,-1
Lorenzo Booker,6,0,-3
Ian Johnson,22,5,240
Brett Denton,6,0,22
Jared Zabransky,10,0,22
Vinny Perretta,2,0,19
Drisan James,1,0,9
Quinton Jones,1,0,-10
Yvenson Bernard,24,0,89
Ruben Jackson,1,0,-2
Sean Canfield,1,0,-5
Matt Moore,6,0,-24
Bradley Glatthaar,6,1,31
Dustin Grutza,6,0,22
Butler Benton,5,0,16
Greg Moore,5,0,11
Marcus Waugh,1,0,0
Brian Steel,1,0,-1
Dominick Goodman,1,0,-8
Derrick Stewart,1,0,-12
Nick Davila,4,0,-24
Shane Brooks,22,0,67
Conredge Collins,6,0,12
TJ Porter,1,0,6
Kevin Collier,4,0,4
Tyler Palko,2,0,1
Reggie Arnold,18,0,51
Chris James,7,0,51
Corey Leonard,3,0,15
Oren ONeal,2,0,12
Brandon Thompkins,1,0,0
Travis Hewitt,8,0,-19
Mike Hamilton,17,1,73
Robert Reid,7,1,45
Keith Toston,10,0,41
Julius Crosslin,6,1,14
Kenneth Darby,21,0,65
Jimmy Johns,7,0,37
Tim Castille,5,0,19
John Parker Wilson,5,0,9
LeRon McClain,1,0,2
PJ Fitzgerald,1,0,2
Cassen Jackson Garrison,9,0,42
Chris Nickson,11,0,40
Earl Bennett,1,0,3
Jared Hawkins,1,0,-2
Darren McFadden,20,2,184
Felix Jones,9,0,68
Michael Smith,3,0,40
Peyton Hillis,1,0,1
Mitch Mustain,5,0,-14
Marcus Cross,29,0,103
Leon Jackson III,6,0,16
Kevin Robinson,1,0,13
Antraun McDaniel,3,0,3
Wesley McMahand,19,0,90
Tony Moore,14,2,35
Jamal Robinson,6,0,23
David Pevoto,5,0,11
Mike Viti,2,0,8
Tim Frye,1,0,4
Julian Edelman,16,0,82
Tony Howard,10,0,50
Eugene Jarvis,14,0,49
Darren Rogers,1,1,17
Ryan Torain,8,1,70
Keegan Herring,7,0,30
Dimitri Nance,5,0,21
Rudy Carpenter,3,0,13
Shaun DeWitty,6,0,12
Preston Jones,1,0,-12
Robert Hubbard,12,0,71
Brandon Fragger,7,0,24
Jeff Rowe,9,0,18
Luke Lippincott,7,0,10
Dwayne Sanders,1,0,9
Kyle Eklund,1,0,4
MiQuale Lewis,7,0,14
Dante Love,2,0,9
Larry Bostic,8,0,8
BJ Hill,3,0,8
Joey Lynch,1,0,6
Nate Davis,1,0,-4
Kellen Lewis,12,1,88
Josiah Sears,4,0,34
Demetrius McCray,4,0,15
Marcus Thigpen,2,0,9
Bryan Payton,3,0,6
Graeme McFarland,1,0,0
Brandon Whitaker,4,0,23
Carl Sims,1,0,5
Mario Price,1,0,5
Shawn Bell,1,0,-3
Blake Szymanski,1,0,-10
LV Whitworth,19,1,78
Andre Callender,13,0,52
Matt Ryan,5,1,-20
James Davis,24,2,93
CJ Spiller,5,0,31
Reggie Merriweather,5,0,15
Will Proctor,6,0,-3
Anthony Turner,23,1,127
Freddie Barnes,20,2,99
Dan Macon,12,1,97
Peter Winovich,2,0,37
Brandon Jones,1,0,-4
Steven King,21,1,55
Chris McDuffie,8,0,25
Drew Willy,8,1,12
Jared Patterson,8,1,7
James Starks,2,0,6
Curtis Brown,21,0,125
Fui Vakapuna,11,2,96
Harvey Unga,4,1,9
Manase Tonga,1,1,6
Mike Hague,1,0,-3
John Beck,3,0,-4
Tarrion Adams,8,1,23
Courtney Tennial,3,1,21
Brandon Diles,8,0,17
Cauvey Jackson,3,0,12
Idris Moss,3,0,6
Paul Smith,5,0,4
Marshawn Lynch,27,2,139
Justin Forsett,12,0,77
Byron Storer,2,0,10
Nate Longshore,4,0,7
DeSean Jackson,2,0,0
Alex Daniels,21,1,78
Amir Pinnix,5,0,17
Bryan Cupito,4,0,8
Jay Thomas,1,0,3
Justin Valentine,1,0,3
Gartrell Johnson,14,0,17
Johnny Walker,2,0,14
Nnamdi Ohaeri,4,0,4
Tristan Walker,1,0,3
Caleb Hanie,13,1,-23
Bernard Jackson,18,1,30
Byron Ellis,8,0,28
Hugh Charles,2,0,10
Mell Holliday,4,0,9
Alvin Barnett,1,0,-2
Tim Tebow,9,0,62
DeShawn Wynn,9,1,51
Jarred Fayson,3,0,28
Kestahn Moore,3,1,27
Chris Leak,4,0,16
Percy Harvin,2,0,11
Mon Williams,4,0,6
Markus Manson,2,0,3
Kevin Smith,9,0,27
Jason Peters,6,0,6
Phillip Smith,2,0,3
Steven Moffett,7,0,-10
Antone Smith,6,0,25
Lorenzo Booker,6,0,18
Joe Surratt,5,1,16
Drew Weatherford,8,0,-2
Chris Davis,1,0,-8
Omar Haugabook,7,1,12
Anthony Jones,4,0,5
Jonathon Chandler,1,0,5
Josh Allen,1,0,3
Mykeal Terry,1,0,-1
Dwayne Wright,29,1,154
Tom Brandstater,8,1,35
Lonyae Miller,3,0,16
Roshon Vercher,1,0,1
Jeremiah Johnson,14,2,74
Dennis Dixon,10,0,32
Chris Vincent,5,0,25
James Finley,1,0,8
Paul Martinez,1,1,4
Jonathan Stewart,1,1,3
Tashard Choice,7,1,44
Rashaun Grant,4,0,44
Tyler Evans,11,0,44
Jamaal Evans,12,0,37
Reggie Ball,1,0,9
Jonathan Garner,1,0,-1
Anthony Alridge,5,2,155
Roshawn Pope,18,1,76
Kevin Kolb,4,0,11
Vincent Marshall,1,0,6
Roy Otis,2,0,2
Justin Brewster,5,0,-6
Ray Boudreaux,4,0,28
Matt Forte,12,0,20
Adeboye Tuyo,2,0,10
Lester Ricard,5,0,-3
Stevie Hicks,23,1,109
Ryan Kock,6,1,10
Bret Meyer,4,0,9
Josh Johnson,1,0,6
Jason Scales,3,0,3
Erick Jackson,11,0,31
Shane Steichen,12,0,23
David Peeples,6,0,21
Justin Marvel,1,0,7
Rocky Hinds,1,0,-8
Jon Cornish,23,0,103
Kerry Meier,11,1,30
Jake Sharp,2,0,18
Brandon McAnderson,2,0,10
Calvin Dawson,7,0,38
Kinsmon Lancaster,11,1,30
Errol Hogan,3,0,7
LaGregory Sapp,1,0,0
Thomas Clayton,16,1,89
Yamon Figurs,1,1,38
Terry Petrie,1,1,32
Leon Patton,3,0,28
John McCardle,4,0,17
Dylan Meier,2,0,15
Josh Freeman,2,0,4
James Johnson,1,0,-2
Charles Pierre,14,0,29
Willie Floyd,4,0,17
BJ Manley,4,0,12
William Rose,3,0,9
Sean Clayton,7,0,9
Aaron Sanchez,3,0,4
Frantz Simeon,1,0,1
Mike ONeill,1,0,-6
Rusty Smith,4,0,-15
Rafael Little,12,1,91
Curtis Pulley,6,0,47
Tony Dixon,10,1,34
Alphonso Smith,2,0,5
Antoine Brown,5,0,4
David Jones,1,0,4
Maurice Grinter,1,1,1
Andre Woodson,3,0,-8
Charles Scott,4,1,47
Jacob Hester,8,1,43
Trindon Holliday,2,0,38
Justin Vincent,8,0,31
Alley Broussard,8,1,30
JaMarcus Russell,4,0,23
Early Doucet,1,0,10
Matt Flynn,1,0,8
Keiland Williams,2,0,1
Chris Jennings,8,0,53
Adam Austin,1,0,4
Chris Henry,6,0,2
Willie Tuitama,6,0,-24
Keon Lattimore,13,0,86
Lance Ball,14,2,58
Josh Allen,2,0,1
Sam Hollenbach,4,1,-9
Eugene Gross,13,1,74
DeMarco McNair,13,0,46
Clint Marks,6,0,-3
Colby Smith,1,0,-12
Javon Ringer,15,0,130
AJ Jimmerson,10,0,79
Drew Stanton,9,2,33
Brett Kahn,2,0,11
Mike Parrelly,3,0,6
Terry Love,1,0,5
Pierre Walker,5,0,29
Richard Franklin,6,0,20
Tyler Jones,10,0,9
Andy Schmitt,2,0,1
Dontayo Gage,1,0,-2
DeAnthony White,3,0,-6
Jamarcus Gaither,10,2,49
TJ Pitts,6,0,18
Joseph Doss,6,0,16
Earnest Williams,2,0,13
Greg Hinds,1,0,7
Duke Calhoun,2,0,6
Miguel Barnes,2,0,4
Martin Hankins,2,0,-6
Will Hudgens,1,0,-8
Derron Thomas,11,0,109
Javarris James,8,1,75
Tyrone Moss,8,1,64
Charlie Jones,11,2,62
Andrew Johnson,5,0,34
Kyle Wright,1,0,3
Matt Perrelli,1,1,1
Kirby Freeman,2,0,-9
Mike Hart,19,3,116
Kevin Grady,12,1,46
Brandon Minor,7,0,30
Steve Breaston,1,0,26
Jerome Jackson,3,0,19
Mister Simpson,2,0,11
Carlos Brown,3,0,4
Jason Forcier,1,0,2
Chad Henne,2,0,-2
Ontario Sneed,11,0,33
Bryan Anderson,1,0,3
Duane Brooks,1,0,1
Dan LeFevour,8,0,-21
Chase Daniel,13,1,89
Tony Temple,14,0,70
Marcus Woods,6,1,23
Brandon Coleman,2,1,20
Jimmy Jackson,2,0,12
Earl Goldsmith,1,0,5
Brad Ekwerekwu,1,0,0
Connell Davis,3,0,-1
BenJarvus Green Ellis,16,0,69
Brent Schaeffer,11,0,4
Dexter McCluster,1,0,-1
Ahmad Bradshaw,17,4,152
Bernard Morris,14,0,151
Chubb Small,2,0,7
Paco Jones,1,0,2
Emmanuel Spann,1,0,1
Kelvin Turner,3,0,0
Anthony Dixon,15,0,69
Brandon Thornton,6,0,19
Arnil Stallworth,2,0,16
Bryson Davis,1,0,4
Justin Williams,1,0,1
Lance Long,1,0,-1
Derek Ambrose,1,0,-6
Tray Rutland,6,0,-23
Kenny Irons,21,0,69
Brad Lester,5,2,40
Carl Stewart,3,0,7
Ben Tate,4,0,1
Tre Smith,1,0,-2
Brandon Cox,2,0,-4
Matt Hall,4,1,66
Adam Ballard,13,0,48
