name, receiving touchdowns, receiving yards, receptions
B Skowronek,0,47,3
J Moten IV,0,25,2
J Larkin,0,20,4
R Lees,0,14,2
R Chiaokhiao Bowman,0,14,1
C Fessler,0,7,1
B Gaither,2,137,6
J Oliver,0,86,8
M Roberson,0,40,1
J Blackwell,1,26,4
J Holmes,0,24,3
T Nevens,0,21,3
A Liles,0,19,2
D Packer,0,12,1
J Harrell,1,87,5
K Doss,0,85,11
W Preece,1,75,3
K Vaughn,0,65,4
U Gilliam,1,59,8
C Crawford,0,56,2
J Kraft,0,10,2
D Livingston,0,5,1
E Jbeily,0,4,1
T Encalade,2,189,8
D Mooney,0,74,8
J Clewis,0,13,1
T James,0,5,1
R Teamer Jr,0,2,1
S Surratt,0,150,11
G Dortch,0,149,12
A Bachman,2,62,5
S Claude,0,8,1
C Carney,0,7,1
J Strnad,0,2,1
J Ausbon,0,81,6
J Sternberger,2,56,5
C Buckley,0,44,3
K Rogers,0,33,2
J Preston,1,14,1
R Renick,0,8,1
J Corbin,0,8,1
A Boykin,0,8,1
R Paul,0,2,1
T Williams,0,2,1
C Gillaspia,0,-1,1
J Ferguson,1,129,4
J Watson,0,30,3
Q Shorts,0,20,4
J West,0,18,3
S Anderson,0,12,1
M Chapman,0,9,1
D Smith,0,7,1
B Bourque,0,5,1
C Lisa,1,93,10
X Ubosi,0,48,1
A Wilson,1,37,3
J Walker,0,35,1
K Parham,0,26,2
J Street,0,11,3
D Lee,0,8,1
K Carter,0,4,1
A Watkins,0,1,1
D Snead,0,23,1
S Mariner,1,73,6
B Covey,0,53,6
J Dixon,0,40,1
S Enis,0,34,2
B Kuithe,1,29,1
Z Moss,1,24,3
D Simpkins,0,13,2
J Jackson,0,8,1
T Green,0,6,1
A Shyne,0,5,1
D Brumfield,0,5,1
C Fotheringham,1,3,1
D Ames,0,6,2
K Jackson,0,5,1
B May,0,3,1
I Jackson,0,-1,1
M Green,2,99,7
R Turner,0,95,7
X Brown,0,60,6
K White,0,25,4
D Gore,0,18,3
S Spiller,0,15,2
J Hodoh,0,12,2
A Vaughn,0,10,2
M McCray,0,8,1
D Rodrigue,0,4,1
J Petit Frere,2,148,5
C Turner,0,50,5
L Nunez,1,36,3
J Ingraffia,0,34,3
A Mitchell,1,34,4
D Williams,0,25,6
N Jackson,0,24,1
B Schwebel,0,18,1
D Johnson,0,-4,1
J McCleskey,2,66,6
C Hubbard,1,65,3
T Wallace,1,48,4
D Stoner,0,29,4
J King,0,25,1
L Wolf,0,24,2
J Hill,0,22,1
T Johnson,0,13,2
S Finefeuiaki,1,3,1
T Wallace,0,1,1
J Randall,0,52,4
J Murray,1,30,3
A Woods,1,27,1
D Vick,0,22,1
T Currie,0,14,1
L Thomas,0,5,1
O Johnson,1,82,6
P Williams,0,49,6
I Matthews,0,14,3
W Jackson,0,12,1
C Butler,0,9,1
E Scott,0,8,1
N Hall,0,7,1
L Shenault Jr,1,211,11
K Nixon,1,112,6
J MacIntyre,0,10,1
J Winfree,1,7,2
B Bisharat,1,4,1
T Brown,0,-6,1
A Young,1,114,4
T Rahming,0,44,5
J Lloyd,0,32,2
D Koppenhaver,0,8,1
C Taylor,0,-1,1
C Harrison,1,92,3
K Walker,0,60,2
G Coates,0,23,3
J Asberry,0,22,2
B Banham,1,103,8
L Latu,1,62,4
D Drummond,1,42,2
A Jackson III,0,40,1
B Kemp,1,34,1
M Sexton,1,20,3
I Eriksen,0,2,2
J Grissom,0,-1,1
R White Jr,0,77,8
B Batts,0,49,2
L Moore IV,0,24,3
T Greene Jr,0,19,4
V Grasso,0,12,3
J Powell,0,11,1
Q Parham,0,6,1
M Castronuova,0,2,1
J Farri,0,0,1
P Guerriero,0,-1,3
C White,1,70,5
F Davis III,1,69,3
L Scott,0,57,3
D Stewart Jr,0,55,7
J Nailor,0,14,1
B Sowards,0,12,2
L Nelson,0,5,1
L Campbell,0,5,1
D Raymond,0,76,7
J Nathan,0,64,4
J Greene,0,40,3
A Vaughns,0,37,3
R Tarver,0,29,3
D Thompson,0,28,3
D Nelson,0,17,3
E Allen,0,11,1
C Terrell,0,9,1
G Bright,0,8,1
K Fossum,0,139,6
M Mannix,3,132,4
J Kincaide,1,73,1
T Armstrong,0,29,3
E Cooks,0,29,1
T Taua,0,9,1
D Christian,0,5,1
I Zamudio,0,4,1
C Taumoepeau,2,130,3
E Daigbe,0,38,2
B Kelly,0,28,2
M Talalemotu,0,23,4
D Alexander,0,17,1
E Trakel,0,8,1
C Martin,0,-3,1
J Arcega Whiteside,3,226,6
C Parkinson,1,37,3
T Irwin,0,31,5
B Love,0,18,3
K Smith,0,18,2
C Wedington,0,2,1
O St Brown,0,0,1
T Wilson Jr,0,49,2
F Trevillion,0,29,2
E Dedeaux,0,21,3
P Houston,0,8,1
J Washington,0,6,2
A Taylor,0,85,5
K Pryor,1,51,4
J Ferguson,0,43,4
G Groshek,1,43,1
J Dunn,0,20,1
T Deal,0,10,1
A Krumholz,0,5,1
J Sloan,0,48,1
X Lane,0,40,4
Q Jernighan,0,30,2
K Fourtenbary,0,23,2
L Jackson,0,22,4
G LaFrance,0,13,3
M Deane,0,5,1
D Eskridge,2,240,8
J Reed,1,121,7
D Harris,0,12,1
L Bellamy,0,6,3
J Custis,2,168,6
D Strickland,0,22,1
R Pierce,0,19,2
M Neal,0,17,2
M Bennett,0,25,1
R Cleveland,0,4,1
D Washington,0,17,2
N Anderson,0,14,2
D Liotine,0,6,1
J Wingate,0,5,1
M Ellick,0,3,1
M Murray,1,75,2
J Isaac,1,70,2
O Bayless,1,67,2
K Merritt,0,55,5
K Edwards,1,50,3
J McInnis,1,48,4
J Adams Jr,1,46,2
W Wand,0,35,2
D Green,0,23,2
B Ogbebor,1,15,2
B Bowling,0,13,2
K Wilkerson,0,56,2
J Orr,0,39,4
Z Smith,0,34,6
K Bryer,1,22,3
M Terry,0,10,2
M Robinson,0,2,1
D Smith,0,99,4
J Waddle,0,66,3
J Jeudy,2,64,4
I Smith Jr,0,39,2
H Ruggs III,0,15,2
D Harris,0,14,1
N Harris,0,0,1
S Dawkins,0,68,3
D Fitzpatrick,0,40,3
T Smith,0,31,2
C Atwell,0,30,1
K Averett,2,30,4
M Crum,0,24,3
J Smith,0,22,1
D Peete,0,15,1
D Williams,0,-1,1
C Bentley,0,-7,1
J Jones,1,132,5
L Pettway,2,93,5
C Harrell,0,60,4
A Cantrell,1,53,2
R Boyd,0,8,1
T Hammonds,0,3,1
C Hayden,0,2,1
J Patton,0,2,1
D Stewart,0,0,1
A Hollins,3,127,9
A Gooch,0,43,6
I Johnson,0,13,3
M Reyna,0,12,2
N Atoyebi,0,11,1
J Sheehan,0,9,2
T Phillips,0,7,2
R Columbus,0,5,1
X Richards,0,3,1
S Poindexter,0,68,4
T Ellison,1,45,4
J Taylor,0,27,4
C Peterson,0,24,2
S Berryhill III,0,19,1
S Brown,0,11,1
A Mariscal,0,3,1
A Hifo,0,36,2
S Canada,0,29,2
M Bushman,1,24,1
M Laulu Pututau,0,24,3
D Collie,0,22,1
M Simon,0,20,1
B El Bakri,0,19,2
D Holker,0,14,1
L Katoa,0,11,2
N Pauu,0,10,3
N Harry,2,140,6
F Darby,0,23,2
K Williams,0,21,1
E Benjamin,1,15,2
T Chatman,1,11,1
C Hodges,0,11,1
C French Love,0,9,1
R Jenkins,0,7,1
R Hughes,0,0,1
K Johnson Jr,0,57,5
T Woolen,0,51,3
G Campbell Jr,0,34,4
B Moorhead,0,26,1
T Ogle Kellogg,0,18,2
J Rhodes,0,13,1
S Jones,0,8,1
B Brady,0,7,1
G Sharp,0,4,1
D Mims,0,80,3
J Hasty,0,67,4
J Hurd,1,58,4
C Platt,0,40,3
T Ebner,0,39,2
M Jones,1,20,1
C Henle,0,7,1
D Fuller,1,102,9
C Cokley,1,40,6
T James,0,35,3
J Fink,0,30,3
K Sadler,0,21,3
C Ennis,0,14,2
B McCrary III,0,4,1
K White,2,86,3
R Marten,1,69,3
J Smith,0,39,3
J Burt,0,31,2
A Dillon,1,27,2
H Long,0,26,1
B Glines,0,15,1
C Lewis,0,13,1
M Walker,0,8,2
T Levy,0,8,1
N Jordan Williams,0,4,1
K Idrizi,0,0,1
A Isabella,0,95,4
S Palmer,0,34,2
B Dingle,0,28,4
J Britt,0,26,5
J Fredericks,1,18,2
Z Simon,0,14,1
M Young,0,13,1
K Horn,0,12,1
T Reynolds,0,9,1
A Johnson,1,57,4
K Osborn,2,54,3
C Jones,1,23,2
J Hawkins,0,16,2
A Nunn,0,16,1
G Rushing,2,10,2
J Bourassa,0,9,1
Z Lefebvre,0,8,2
R Scott III,0,5,1
I King,0,2,1
K Kollie,0,47,2
T Gross,0,12,2
K Davis,0,9,1
I Williams,0,9,1
T Selby,0,-1,2
J Duncan,0,34,3
M Ways,0,23,1
V Wharton III,0,18,3
K Noa,0,15,3
P Laird,1,14,4
J Hawkins,0,9,1
M McMorris,0,6,1
A Ratliff Williams,1,62,3
J Williams,0,26,3
J Brown,0,19,3
R Groves,0,14,1
D Newsome,0,9,2
R Johnson,0,7,1
A Williams,0,0,2
V Tucker,1,127,7
B LeMay,0,83,3
W Kofa,0,60,2
C Camp,0,-3,1
A Longi,1,113,8
H Harris,0,68,3
J Ferraro,0,50,3
J Ollie,0,20,1
T Hopkins,0,13,2
D Palladino,0,10,1
I Searight,0,8,1
Z Davis,0,8,2
J Isaac,0,6,1
A Rodgers,1,44,3
C Powell,0,42,1
D Kendrick,0,38,1
T Higgins,0,35,3
B Galloway,1,34,3
H Renfrow,0,24,3
T Thompson,0,22,2
J Ross,1,16,2
D Overton,1,10,2
C Smith,0,6,1
W Swinney,0,6,1
R DeLuca,1,16,1
T Gordon,0,16,1
D Sanders,0,7,1
D Bell,0,7,1
C Worton,0,69,5
T Gaiter IV,0,53,4
M Alexander,1,25,4
S Palmer,0,12,3
A Jones,0,-2,1
D Hale,2,60,4
L Timian,0,50,6
N Westbrook,0,33,5
T Fryfogle,0,33,5
W Philyor,0,27,2
M Bjorson,0,15,1
R Taylor,0,12,2
C Gest,0,10,1
M Majette,1,9,1
P Hendershot,1,3,1
F Swain,0,57,2
T Grimes,1,50,3
V Jefferson,2,34,4
L Krull,0,33,2
K Gamble,0,19,2
D Massey,0,18,1
T Cleveland,1,10,2
M Davis,0,8,1
J Hammond,1,6,1
R Wells,0,6,1
T Lindsey,0,5,1
G Wall,0,5,1
K Brown,0,-3,2
C Hamilton,0,-4,1
K Johnson,0,118,6
J Rice,0,56,5
D Grim,1,33,1
M Quick,0,25,5
D Tangipa,0,7,1
J Mims,0,7,2
J Hokit,0,1,1
J Cotton,1,96,4
C Haywood,0,72,6
D Ungerer,0,21,1
I Saunders,0,8,1
C Whitney,0,5,1
L Hyde,0,3,1
M Hardman,1,63,2
R Ridley,1,33,3
D Swift,0,33,4
B Herrien,0,20,3
A Crumpton,0,20,2
T Blount,0,19,1
I Nauta,1,12,1
J Holloman,0,7,1
J Cook,0,7,2
C Woerner,0,6,1
L Ford,0,4,1
D Wilson,0,25,4
D Montgomery,0,15,2
J Alexander,0,10,2
G Soumare,0,4,1
T Nation,0,4,1
P Momodu,0,2,1
B Harley,0,1,2
W Fields,0,12,1
W Kennedy III,0,8,1
E Richardson,0,5,1
C Ransom,0,4,2
W Vereen,0,17,1
D Burroughs,0,14,1
B Stewart,1,49,4
Q Searcy,0,36,2
J Camp,0,21,2
K Benson,0,-2,1
R Anderson,0,15,2
C Hughes,0,13,2
P Simmons,0,9,3
J Anthony Jr,0,9,2
T Turner,0,6,1
L Pringle,0,6,1
N Wood,0,6,1
M Forman,0,6,1
D Waller,0,2,1
C Blair,0,-3,1
J Ursua,2,167,10
J Ward,2,161,6
C Byrd,2,90,11
E Rooks,0,8,1
J Sharsh,0,8,1
F Holly,0,2,1
T Kamaka,0,0,1
T Jackson,0,38,3
C Williams,0,28,2
T Walker,1,19,1
R Smalling,0,70,3
M Dudek,0,65,4
S Mays,0,47,4
R Corbin,0,4,1
J Williams,0,4,1
M Carrigan,1,62,8
A Dixon,1,48,3
R James,0,42,4
K Price,0,32,4
W Matthews,0,26,3
T Harrell,0,23,2
A Dulka,0,15,1
M Lawrence Burke,0,9,1
C Brumfield,0,7,1
J Rankin,0,6,1
T Hockenson,0,64,4
N Wieting,0,30,1
I Smith Marsette,0,28,3
N Fant,1,10,3
M Sargent,0,6,1
M Cooper,0,5,1
J Wesley,1,43,4
D Brown,0,38,5
C Tucker,0,13,1
T Harbison,0,6,1
M Jones,0,5,1
M Childers,0,5,1
L Payne,0,1,1
R Hall,0,-1,1
K Johnson Jr,1,54,3
S Robinson,0,43,4
S Sims Jr,1,29,4
Q Hampton,0,24,1
J Booker,0,19,3
M Saunders,0,10,2
E Fairs,0,8,1
K Herbert,0,8,2
D Williams,0,4,1
D Jeanpiere Jr,0,67,2
D Dixon,0,40,4
G Fuselier,0,11,2
K Bussey,0,11,2
S Guarisco,0,7,1
D Mosley,0,6,1
I Zuber,1,68,5
D Schoen,0,54,3
Z Reuter,0,12,2
A Barnes,0,9,2
D Warmack,0,9,1
L Falck,0,140,11
D Allen,1,42,4
R Baker,0,32,4
R Crawford,0,20,1
C Herrmann,0,18,3
B Samson,0,5,1
D Bouvier,1,48,3
D Baker,0,21,1
L Bowden Jr,0,17,5
J Ali,0,14,1
C Thomas Jr,0,12,1
C Conrad,0,9,3
B Snell Jr,0,7,1
C Cole,0,51,4
B Childress,0,23,2
K Gwilly,0,16,2
B Raimann,0,11,2
J Sabbagh,0,11,2
K Cossou,0,10,2
D Terry,0,7,1
J Sullivan,0,5,1
J Ward,0,3,1
D Stubbs,1,155,7
A Gandy Golden,3,53,6
B Farrow,0,49,4
K Shaa,0,48,2
F Hickson,0,14,2
Z Foutz,0,13,2
L McConnell,0,10,1
K Coleman,0,8,1
F Ogbeifun,0,3,1
J Duhart,0,83,7
T Fulgham,0,34,2
J Cox,0,24,1
I Harper,0,21,6
D Brown,0,7,1
G Jackson,0,3,1
J Bradley,2,70,6
R Malone,0,46,4
M Barnes,1,38,3
J Wright,0,29,2
K Barnes,0,21,2
J Bell,1,19,2
A Johnson,0,7,1
E Patterson,0,6,2
J Lumpkin,0,5,1
Q Guice,0,54,2
K Ross,0,35,3
L Brooks,0,24,2
C Samon,0,16,2
J Richard,0,9,1
L Ellis Jones,0,8,1
D Davis,0,7,1
D Clark,0,4,2
K Jackson,0,4,1
K Dominique,0,-2,1
T Jacobs,1,73,5
J Jones,1,73,2
J Davenport,0,35,1
D Turner,0,23,5
T Johnson,0,21,3
B Cobbs,0,13,1
D Jones,0,13,1
C Okonkwo,0,6,1
J Funk,0,4,1
A McFarland,0,3,1
L Humphrey,0,82,6
C Johnson,1,59,3
D Duvernay,1,58,4
J Heard,0,17,1
A Beck,0,15,1
C Brewer,0,13,1
K Porter,0,10,3
T Watson,0,6,1
K Ingram,0,3,1
D Coxie,1,79,4
P Taylor Jr,1,75,1
A Gibson,0,68,3
D Henderson,1,62,1
J Williams,0,39,6
K Gainwell,0,26,3
S Dykes,1,20,2
M Slade,0,20,2
C Austin III,0,18,1
J Magnifico,0,10,2
T Pollard,0,8,2
K Jones,1,3,1
M Irvin,1,76,5
S Houzah,0,15,3
T Jones II,1,10,1
T Mitchell,0,5,2
C Ellington,0,5,2
C Grant,0,3,1
J Sorenson,1,106,3
J Gardner,0,62,4
K Young,1,47,6
L Mayock,0,43,4
N Becker,0,40,2
A Homer,1,28,2
A Smith,0,26,3
J Bester,0,5,1
T Brady,2,116,9
O Obialo,0,47,6
X Gaines,0,33,1
T King,0,32,3
M Williams,0,21,1
K Davis,0,12,2
A Levias,0,7,1
W Johnson,0,4,1
E Hall,2,171,4
K Scott,1,70,1
J Johnson,1,39,4
J Knox,0,32,2
K Blanton,0,20,2
N Brown,0,19,3
D Crockett,0,18,2
D Gicinto,0,15,2
A Okwuegbunam,0,14,2
L Rountree III,0,-4,1
L Galloway,1,52,2
T Williams,0,32,5
D Howard,0,29,3
J Bowe,0,23,1
J Moore,0,22,3
D Williams,0,14,1
B Phillips Jr,0,10,1
P Logan,0,1,1
O Mitchell,2,114,2
K Hill,1,53,1
S Guidry,0,39,1
J Johnson,0,34,1
A Williams,0,30,2
A Williams,1,27,1
D Jason,0,25,1
K Mixon,0,21,2
D Thomas,0,20,1
D Jones,1,17,1
N Gibson,0,9,1
F Green,0,9,1
T Pace,0,73,5
A Arclies III,0,42,2
T Goree,0,31,2
F Iheanacho,0,16,2
T Hutchings,0,7,1
B Wempa,0,4,1
J Thompson,0,3,1
R Simmons,0,1,1
J Meyers,0,161,14
E Emezie,0,60,5
C Riley,1,45,4
K Harmon,0,33,4
T Thomas,1,16,1
T Baker Williams,0,-6,1
R Stapleton,1,88,9
J Sims,0,32,4
D Eldridge,0,25,3
M Cullen,0,15,2
K Dean,0,15,2
M Marshall,0,12,1
C Cheatham,0,10,1
E Morgan,0,5,1
T Sharp,0,0,1
P Reed,1,69,1
E Lilly,1,61,2
M Williams,2,43,2
J Griffin IV,0,43,2
Q Drennan,0,40,1
A Umeh,0,37,2
A Somoye,1,34,2
D Hart Johnson,0,32,1
B Dickey,0,4,1
A Davis,0,-2,1
P Baptiste,1,112,6
L Johnson,0,103,4
K Edwards,0,61,4
R Dickens,0,38,2
K Williams,0,14,1
J Campbell,0,2,1
K Philio,0,-8,1
C Finke,1,55,3
C Claypool,0,47,3
M Boykin,0,28,1
A Mack,0,26,1
J Armstrong,0,11,2
A Davis,0,4,1
C Kmet,0,-1,1
N Collins,0,66,3
G Perry,0,48,5
D Peoples Jones,0,38,6
C Evans,0,37,2
O Martin,0,29,3
Z Gentry,0,11,2
N Eubanks,0,10,1
S McKeon,0,10,2
R Bussey Jr,0,109,9
J Guyton,2,95,7
J Darden,0,81,6
K Brewer,0,41,3
K Smith,0,38,5
E Johnson,0,24,3
M Lawrence,0,19,1
G White,0,19,2
C Hosley,0,17,1
N Smith,1,15,3
D Torrey,0,3,1
B West,1,86,3
J Proche,1,77,2
R Roberson Jr,0,67,4
J Bell,0,11,1
C Sanders,0,6,1
H Thedford,0,5,1
T McLaurin,2,121,4
K Hill,0,82,6
A Mack,0,69,5
P Campbell,1,22,4
J Harris,0,15,1
J Ruckert,0,13,1
J Dixon,0,10,1
R Berry,1,6,1
C Olave,0,5,1
M Weber,1,3,1
T Bradford,2,104,6
A Pierce,0,41,3
I Hodgins,0,40,2
T Hernandez,0,6,2
J Jefferson,0,5,1
P White,1,154,8
C Odom,1,48,3
A Ouellette,0,26,3
A Meyer,0,26,3
K Minter,0,15,1
R Luehrman,0,8,1
J Ezzard,1,223,8
K Anthony,1,97,9
J Collins,1,90,4
D Gillespie,0,43,2
J Chaney,0,18,1
D Parson,0,11,2
R Brannon,0,2,1
M Brown,1,133,6
L Morris,1,65,1
C Lamb,0,43,2
M Jones,0,37,2
A Miller,1,18,2
J Robinson,0,17,2
D Stoops,0,16,2
G Calcaterra,0,3,1
N Basquine,0,2,1
T Harrison,0,57,4
J Durante,0,52,4
W Wright,0,28,4
H Bryant,0,25,2
D Singletary,0,13,1
R Patterson,0,11,1
D Holmes,0,5,1
D McNeal,0,1,1
T Griffin,1,83,1
J Redd,2,81,2
T Brooks James,0,53,1
J Johnson III,1,40,1
D Mitchell,1,26,3
K Dillon,0,6,1
J Breeland,0,5,1
C McCormick,0,-2,1
S Miller,2,166,13
Q Morris,0,35,3
D Phouthavong,0,16,1
A Clair,1,15,2
R Marlow III,0,12,1
R Hargrove,0,6,1
J Wayne Prather,0,3,1
R Araujo Lopes,2,50,3
T Mack,0,44,3
A Davis,0,19,2
J Medure,0,15,1
T Tipton,0,14,2
A Mathews,0,9,1
G Aston,0,8,2
M Ffrench,0,4,1
S Jacques Louis,0,3,1
T Sear,0,3,1
D Holmes,1,148,9
J Reeves,0,58,3
E Ibitokun Hanks,0,28,1
D McDonald,0,26,4
K Mofor,0,3,1
K Hamler,1,68,4
J Johnson,0,67,6
J Holland,0,36,2
M Sanders,0,20,3
B Polk,0,19,2
M Allen,0,18,3
D Dalton,0,2,1
C Sutton,0,87,6
M Williams,2,66,4
J Moore,0,36,5
D Heath,0,35,2
T Hennigan,0,28,4
J Virgil,0,14,1
D Evans,0,10,2
D Papenheim,0,8,1
H Pearson,0,8,1
A Cephus,0,95,5
A Walter,0,70,4
A Trammell,0,62,7
J Myers,1,29,1
A Walter,0,15,1
B Harmon,1,11,3
G Gentosi,0,4,1
R Cardwell,0,4,1
J Bull,1,2,1
M Stevenson,1,107,5
K Corbin,0,93,3
C Lark,2,82,4
B Smith,0,25,1
R Brooker,0,15,2
J Singleton,0,5,1
D King,0,0,1
T Mark,0,-7,1
B Melton,0,57,4
R Blackshear,1,56,7
J Washington,0,32,2
D Robinson,0,24,2
S Jones,0,12,1
E Lewis,0,10,2
H Hayek,0,10,1
J Hilliman,0,4,1
J Sheread,0,37,1
C Twyford,0,21,3
A Taylor,0,16,1
K Brown,0,12,1
M Hays,0,6,1
H White,0,5,1
J Banks,0,3,1
J Way,0,31,2
T Minter,0,28,3
J McCray,0,14,2
K Baker,1,12,2
M Mayo,0,6,2
A Hardy,1,73,3
T Veal,0,53,3
R Bonnette,0,52,4
C Powell,0,14,2
A Smith,0,6,2
I Tucker,0,5,2
K McKnight,0,3,1
J Dancy,0,2,1
B Holly,1,1,1
S Smith,0,61,4
D Samuel,1,56,7
B Edwards,1,53,4
R Davis,1,27,1
R Dowdle,1,22,1
T Williams,0,15,1
K Crosby,0,14,1
B Hart,0,13,1
K Pollard,1,12,2
O Smith,0,11,1
J Vann,0,10,2
M Williams,0,49,6
K Tyler,0,23,3
J Heiligh,1,21,2
J Miller,0,19,2
R St Felix,1,143,7
D Salomon,0,77,3
M Wilcox,1,45,4
J Phillips,0,28,2
T McCants,1,26,6
S Clerveaux,0,19,3
R Bronson,0,16,2
Z Roland,0,9,1
T Horne,0,4,1
K Weeks,0,24,2
M Foster,0,7,1
C Taylor,0,7,1
C Joyner,0,7,1
B Daughtry,0,-3,1
Q Watkins,3,138,8
J Adams,0,25,4
D Harris,0,20,3
J Mitchell,1,18,4
T Jones,0,17,1
T Daniels,0,13,1
N McLaurin,0,12,1
K Reed,0,7,2
D Yancey,0,5,1
K Young,0,24,3
R Shumake,0,15,2
R Wallace,0,14,1
J Johnson,0,10,2
C Ollie,0,9,1
K Gates,1,9,2
C Hines,0,7,1
K Harper,0,6,1
W Newman,0,4,2
R Washington,0,3,1
J Williams,0,2,1
T Kennedy III,0,-5,2
T Hights,1,57,1
D Davis,1,49,3
K Turpin,0,47,4
J Reagor,1,45,4
J Austin,0,20,3
T Barber,1,12,2
J Stephens Jr,0,11,1
N Meeking,0,10,1
A Davis,0,7,1
J Stewart,0,6,1
C Mackey,1,56,3
T Smith,0,41,1
K Catalon,0,4,1
B Mack,0,78,7
D Bryant,0,56,5
I Wright,1,37,3
J Blue,0,18,1
C Myarick,0,12,2
R Ritrovato,0,4,1
R Bell,1,81,9
J McClenton,1,63,5
C Hodge,0,40,6
J Jones,0,23,2
A Forbes,0,18,3
B Chadbourn,1,17,1
J Covington,0,5,1
A DaSilva,0,5,1
S Bingelis,0,2,1
M Callaway,0,85,7
J Palmer,0,33,3
J Jennings,0,29,2
T Jordan,0,11,2
J Banks,0,10,1
J Murphy,0,5,1
B Johnson,0,1,1
D Wood Anderson,1,1,1
C Tillman,0,-3,1
D Sills V,2,140,7
G Jennings,1,113,6
T Simmons,1,59,1
M Simms,0,40,2
T Wesco,0,35,2
A Sinkfield,0,15,2
K McKoy,1,14,1
J Haskins,0,9,1
D Maiden,0,8,1
T Bush,0,1,1
M Pettaway,0,-5,1
K Johnson,0,63,2
J Hobbs,1,61,3
C Neph,1,40,4
J Anderson,0,24,4
S Brooks,0,4,1
K Stokes,0,4,1
J Dillard,0,61,6
K Crossley,0,43,1
C Blackman,0,16,3
D Smith,0,13,1
C Battle,0,12,2
L Wells,0,11,2
B Myers,0,9,1
L Winningham,0,0,1
J Johnson,1,80,3
C Thompson,1,68,3
D Johnson,1,60,2
D Phillips,0,49,4
R Blackmon,0,49,2
A Thompkins,0,23,2
A Davis,0,18,1
D Rosi,0,16,1
N Sims,0,14,2
B Mitchell,0,10,1
S Seymour,0,3,1
K Thornton,0,57,8
M Dermott,0,49,8
D Humphrey,0,20,2
J Paladino,0,20,1
I Parker,0,10,2
K Bridy,0,6,1
J Lara,0,5,2
M Blaser,0,5,1
C Rider,0,4,1
Q Myers,0,0,1
A Ramsey,0,-2,2
D Douglas,1,102,7
D Willis,0,43,3
T Samuel,0,41,5
B Smith,0,30,3
S Davis,0,19,1
T Eafford,0,8,2
R Hallman,0,7,2
J Daughtry Frye,0,5,1
S Modster,2,167,7
C Thomas,1,68,3
A Richardson,0,30,3
J Hightower,0,15,2
G Collingham,0,11,1
R Mahone,0,9,2
A Butler,1,3,1
A Mattison,0,2,1
T Vasher,0,66,4
A Wesley,0,65,6
J High,1,62,4
K Carter,0,35,4
Z Austin,0,27,3
T King,0,23,4
D Rigdon,0,19,2
D Felton,0,8,1
S Collins,0,7,1
D Ward,0,5,2
E Ezukanma,0,4,1
T Henry,0,1,1
D Lodge,0,96,6
A Brown,1,93,7
D Metcalf,1,81,4
B Sanders,0,60,4
D Knox,0,6,1
T Howard,0,52,5
C Wilson,0,36,4
J Kelley,0,19,3
