average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
19.000,,0,3,26,LaBrandon Toefield
16.000,,0,2,22,Scott Starks
29.000,,0,1,29,George Wrighster
24.000,,0,4,29,Maurice Hicks
18.000,,0,1,18,Mike Lewis
19.000,,0,1,19,Pierre Thomas
16.000,,0,1,16,Ellis Hobbs
3.000,,0,1,3,Mike Vrabel
21.000,,0,5,36,Ladell Betts
10.000,,0,1,10,Lorenzo Alexander
24.000,,0,2,28,Andre Hall
21.000,,0,2,22,Tramon Williams
19.000,,0,1,19,Shaun Bodiford
28.000,,0,2,35,Micheal Spurlock
20.000,,0,4,23,Steve Breaston
46.000,,0,1,46,Chris Henry
12.000,,0,1,12,Ben Troupe
17.000,,0,3,21,Ryne Robinson
27.000,,0,3,38,Terrence McGee
-1.000,,0,1,-1,Ryan Neufeld
35.000,,1,5,100,Glenn Holt
0.000,,0,1,0,DeDe Dorsey
0.000,,0,0,0,Antonio Chatman
33.000,,0,1,33,Aveion Cason
9.000,,0,1,9,Troy Walters
29.000,,0,4,34,Andre Hall
20.000,,0,2,25,Glenn Martinez
21.000,,0,6,31,Eddie Drummond
6.000,,0,1,6,Turk McBride
11.000,,0,1,11,Benny Sapp
20.000,,0,3,32,Koren Robinson
20.000,,0,3,21,Pierre Thomas
18.000,,0,2,21,Aaron Stecker
47.000,,1,3,100,Matt Jones
20.000,,0,1,20,John Broussard
40.000,,0,2,62,Aundrae Allison
30.000,,0,4,43,Darren Sproles
24.000,,0,4,30,Jerious Norwood
28.000,,0,1,28,Adam Jennings
17.000,,0,3,24,Mike Lewis
41.000,,1,3,86,Leon Washington
22.000,,0,2,25,Brad Smith
26.000,,0,4,31,Rock Cartwright
26.000,,0,6,38,Josh Cribbs
18.000,,0,4,27,Nate Burleson
12.000,,0,2,18,Josh Wilson
18.000,,0,3,23,Dominic Rhodes
29.000,,0,2,31,Chris Carr
25.000,,0,2,29,Dexter Wynn
15.000,,0,3,21,TJ Rushing
24.000,,0,4,34,Ellis Hobbs
26.000,,0,1,26,Wes Welker
21.000,,0,7,28,Correll Buckhalter
26.000,,0,3,35,Isaiah Stanback
17.000,,0,1,17,Najeh Davenport
29.000,,0,1,29,Allen Rossum
23.000,,0,3,33,Yamon Figurs
29.000,,0,3,52,Mike Smith
25.000,,0,3,28,Ryne Robinson
14.000,,0,1,14,Dante Rosario
22.000,,0,3,25,Adam Jennings
14.000,,0,2,15,Ted Ginn
11.000,,0,1,11,Patrick Cobbs
13.000,,0,2,15,Anthony Thomas
21.000,,0,1,21,Terrence McGee
24.000,,0,1,24,Roscoe Parrish
18.000,,0,4,33,Allen Rossum
11.000,,0,1,11,Najeh Davenport
51.000,,1,4,100,Josh Cribbs
5.000,,0,3,10,Darnell Dinkins
18.000,,0,4,25,Eddie Drummond
13.000,,0,1,13,Benny Sapp
25.000,,0,4,33,Andre Hall
13.000,,0,5,21,Chris Henry
14.000,,0,2,24,Matt Jones
22.000,,0,1,22,Koren Robinson
18.000,,0,3,24,Troy Williamson
28.000,,0,1,28,Aundrae Allison
23.000,,0,6,29,Rock Cartwright
15.000,,0,6,21,JR Reed
0.000,,0,0,4,Hank Baskett
29.000,,0,8,64,Pierre Thomas
21.000,,0,1,21,Travis Minor
24.000,,0,1,24,Brandon Williams
16.000,,0,7,25,Cory Ross
23.000,,0,1,23,Glenn Holt
18.000,,0,2,23,Chris Carr
30.000,,0,1,30,Tim Dwight
17.000,,0,2,19,Devin Hester
1.000,,0,1,1,Adrian Peterson
12.000,,0,4,14,Ahmad Bradshaw
15.000,,0,2,16,Reuben Droughns
19.000,,0,3,25,Miles Austin
27.000,,0,1,27,Nate Jones
34.000,,0,2,52,Steve Breaston
24.000,,0,4,36,Aveion Cason
41.000,,1,3,89,Darren Sproles
4.000,,0,1,4,Lorenzo Neal
20.000,,0,5,40,Craphonso Thorpe
0.000,,0,1,0,CJ Wallace
25.000,,0,4,32,Maurice Hicks
24.000,,0,2,34,Antonio Chatman
30.000,,0,2,37,Glenn Holt
20.000,,0,1,20,DeDe Dorsey
20.000,,0,6,33,Steve Breaston
33.000,,0,3,67,Koren Robinson
4.000,,0,1,4,Donald Driver
17.000,,0,5,20,Ryne Robinson
24.000,,0,5,30,Yamon Figurs
18.000,,0,1,18,Cory Ross
35.000,,0,7,50,Josh Cribbs
19.000,,0,3,23,Craphonso Thorpe
20.000,,0,3,23,Jeff Webb
26.000,,0,2,27,JR Reed
9.000,,0,2,11,Patrick Cobbs
26.000,,0,2,29,Ted Ginn
18.000,,0,8,29,Terrence McGee
16.000,,0,1,16,Fred Jackson
15.000,,0,1,15,Willie Andrews
17.000,,0,1,17,Ellis Hobbs
15.000,,0,1,15,Chad Jackson
19.000,,0,3,26,Dexter Wynn
0.000,,0,0,6,Michael Boulware
22.000,,0,5,26,Pierre Thomas
22.000,,0,1,22,Aaron Stecker
21.000,,0,3,25,Troy Williamson
18.000,,0,1,18,Jeff Dugan
27.000,,0,1,27,Charles Gordon
20.000,,0,1,20,Mewelde Moore
17.000,,0,6,31,Dominic Rhodes
5.000,,0,2,8,Jerricho Cotchery
4.000,,0,1,4,David Bowens
5.000,,0,1,5,Matt Chatham
3.000,,0,1,3,Justin McCareins
12.000,,0,1,12,Leon Washington
20.000,,0,3,30,Allen Rossum
17.000,,0,4,26,Matt Jones
7.000,,0,2,15,Darren Sproles
22.000,,0,5,27,Jerious Norwood
8.000,,0,1,8,Jonathan Babineaux
-1.000,,0,1,-1,Phillip Buchanon
21.000,,0,1,21,Micheal Spurlock
24.000,,0,3,28,Miles Austin
9.000,,0,1,9,Patrick Crayton
14.000,,0,1,14,Nate Jones
29.000,,0,5,36,Rock Cartwright
22.000,,0,3,24,Aveion Cason
12.000,,0,1,12,Blaine Saipaia
48.000,,0,2,68,Ahmad Bradshaw
23.000,,0,3,28,Maurice Hicks
19.000,,0,3,21,Dante Hall
26.000,,0,3,44,Nate Burleson
0.000,,0,1,0,Craig Terrill
29.000,,0,4,34,Devin Hester
15.000,,0,2,23,Rashied Davis
27.000,,0,1,27,Garrett Wolfe
26.000,,0,1,26,Andre Hall
28.000,,0,3,42,Chris Henry
9.000,,0,1,9,Ben Troupe
31.000,,0,6,74,Aveion Cason
15.000,,0,1,15,Casey Fitzsimmons
24.000,,0,3,29,Koren Robinson
33.000,,0,1,33,Tramon Williams
25.000,,0,2,27,Miles Austin
24.000,,0,4,27,Leon Washington
19.000,,0,2,23,Brad Smith
9.000,,0,1,9,Chris Baker
26.000,,0,6,37,Jerious Norwood
25.000,,0,4,28,Craphonso Thorpe
26.000,,0,2,34,Matt Jones
18.000,,0,5,26,Terrence McGee
