longest reception, name, receiving conversions, receiving touchdowns, receiving yards, receptions, targets
11,Walter Rasby,0,0,11,1,
43,Ronald Curry,0,1,89,5,
41,Jerry Porter,0,0,45,3,
9,Doug Jolley,0,0,31,4,
11,Amos Zereoue,0,0,25,3,
10,JR Redmond,0,0,15,2,
4,Zack Crockett,0,0,4,1,
0,Tyrone Wheatley,0,0,0,1,
65,Lee Evans,0,0,65,1,
36,Eric Moulds,0,1,41,2,
15,Josh Reed,0,0,29,2,
24,Kevin Thomas,0,0,24,1,
12,Bobby Shaw,0,0,22,2,
11,Mark Campbell,0,0,20,2,
6,Daimon Shelton,0,0,11,2,
6,Travis Henry,0,0,10,2,
59,LaDainian Tomlinson,0,0,76,3,
33,Reche Caldwell,0,1,67,4,
14,Antonio Gates,0,0,39,4,
12,Eric Parker,0,0,19,2,
14,Kassim Osgood,0,0,14,1,
8,Lorenzo Neal,0,0,8,1,
48,Santana Moss,0,0,97,4,
24,Jerald Sowell,0,1,56,5,
46,Jonathan Carter,0,0,46,1,
7,Curtis Martin,0,0,25,6,
12,Chris Baker,0,1,20,3,
7,Justin McCareins,0,0,9,2,
5,LaMont Jordan,0,0,5,1,
20,Michael Clayton,0,0,61,6,
14,Tim Brown,0,0,49,7,
35,Charles Lee,0,0,35,1,
7,Charlie Garner,0,0,24,6,
17,Rickey Dudley,0,0,17,1,
12,Ken Dilger,0,0,12,1,
6,Mike Alstott,0,0,6,1,
4,Bill Schroeder,0,0,4,1,
1,Jamel White,0,0,1,1,
27,Koren Robinson,0,1,66,4,
16,Darrell Jackson,0,0,50,5,
16,Jerramy Stevens,0,0,16,1,
13,Bobby Engram,0,0,13,1,
2,Maurice Morris,0,0,2,1,
33,Derrick Mason,0,0,104,8,
19,Drew Bennett,0,0,85,7,
8,Erron Kinney,0,0,45,6,
19,Eddie Berlin,0,0,19,1,
9,Ben Troupe,0,0,12,2,
8,Chris Brown,0,0,8,1,
4,Troy Fleming,0,0,4,1,
44,Reggie Wayne,0,1,119,7,
34,Marvin Harrison,0,0,98,10,
14,Brandon Stokley,0,0,27,2,
4,Marcus Pollard,0,1,7,3,
6,Edgerrin James,0,0,3,2,
45,Terrell Owens,0,1,79,4,
19,Brian Westbrook,0,0,69,5,
11,LJ Smith,0,1,26,3,
15,Chad Lewis,0,0,24,2,
11,Jon Ritchie,0,0,22,2,
14,Freddie Mitchell,0,0,14,1,
6,Greg Lewis,0,0,11,2,
22,Randy Moss,0,1,69,8,
20,Nate Burleson,0,0,67,5,
19,Jermaine Wiggins,0,0,65,8,
13,Onterrio Smith,0,0,56,8,
18,Richard Owens,0,0,36,3,
20,Kelly Campbell,0,0,30,2,
9,Marcus Robinson,0,0,14,2,
6,Mewelde Moore,0,0,6,1,
22,Alge Crumpler,0,0,34,2,
17,Justin Griffith,0,0,25,3,
14,Warrick Dunn,0,0,20,2,
20,Dez White,0,0,20,1,
11,Peerless Price,0,0,16,2,
33,Karl Williams,0,0,90,6,
19,Bryant Johnson,0,0,53,6,
16,Larry Fitzgerald,0,0,37,5,
19,Nate Poole,0,0,24,2,
7,Freddie Jones,0,0,11,2,
7,Emmitt Smith,0,0,11,2,
7,Josh Scobey,0,0,7,1,
5,Lorenzo Diamond,0,0,5,1,
22,TJ Houshmandzadeh,0,0,116,7,
23,Chad Johnson,0,0,99,8,
17,Kelley Washington,0,0,58,5,
11,Matt Schobel,0,0,28,3,
10,Kenny Watson,0,0,15,2,
38,Randy Hymes,0,1,61,4,
46,Jamal Lewis,0,0,46,1,
8,Alan Ricard,0,0,8,1,
7,Terry Jones,0,0,7,1,
6,Clarence Moore,0,0,6,1,
4,Devard Darling,0,0,5,2,
-7,Chester Taylor,0,0,-7,1,
32,Rod Smith,0,1,75,5,
33,Ashley Lelie,0,1,67,4,
24,Jeb Putzier,0,0,66,5,
17,Darius Watts,0,0,42,4,
22,Quentin Griffin,0,0,23,3,
13,Reuben Droughns,0,0,17,3,
4,Dwayne Carswell,0,0,4,1,
16,Reche Caldwell,0,0,39,3,
38,Drew Brees,0,0,38,1,
10,Antonio Gates,0,0,30,4,
17,Kassim Osgood,0,0,17,1,
17,Eric Parker,0,0,17,1,
7,LaDainian Tomlinson,0,0,10,3,
8,Tim Dwight,0,0,8,1,
0,Jesse Chatman,0,0,0,1,
29,Roy Williams,0,2,135,9,
11,Tai Streets,0,0,23,3,
10,Stephen Alexander,0,0,15,3,
9,Artose Pinner,0,0,14,4,
13,Az Zahir Hakim,0,0,13,1,
-1,Shawn Bryson,0,0,-1,1,
55,Terrell Owens,0,1,107,6,
27,LJ Smith,0,0,74,4,
48,Freddie Mitchell,0,0,71,3,
14,Brian Westbrook,0,0,32,7,
9,Todd Pinkston,0,0,22,3,
8,Chad Lewis,0,0,19,3,
17,Mike Bartrum,0,1,18,2,
13,Greg Lewis,0,0,13,1,
36,Reggie Wayne,0,1,184,11,
34,Brandon Stokley,0,2,110,8,
28,Marvin Harrison,0,1,65,5,
17,Edgerrin James,0,0,17,1,
11,Marcus Pollard,0,0,16,2,
1,James Mungro,0,1,1,1,
79,Javon Walker,0,3,200,11,
27,Donald Driver,0,1,64,6,
11,Bubba Franks,0,0,35,4,
15,Ahman Green,0,0,34,4,
11,William Henderson,0,0,20,2,
9,Tony Fisher,0,0,16,4,
8,Antonio Chatman,0,0,14,2,
11,Robert Ferguson,0,0,11,1,
25,Tony Gonzalez,0,1,106,8,
18,Johnnie Morton,0,0,55,4,
9,Dante Hall,0,0,32,5,
10,Chris Horn,0,1,16,2,
12,Derrick Blaylock,0,0,12,1,
5,Jason Dunn,0,1,5,1,
46,Andre Johnson,0,0,96,4,
35,Derick Armstrong,0,0,55,2,
21,Billy Miller,0,0,39,3,
15,D Davis,0,0,15,1,
10,Jonathan Wells,0,0,10,1,
9,Corey Bradford,0,0,9,1,
9,Jabar Gaffney,0,1,9,1,
15,Randy McMichael,0,0,51,5,
36,Derrius Thompson,0,0,47,2,
10,Donald Lee,0,0,16,3,
9,Chris Chambers,0,0,15,2,
8,Marty Booker,0,0,8,1,
24,Hines Ward,0,1,96,9,
42,Plaxico Burress,0,0,60,2,
7,Antwaan Randle El,0,0,7,1,
44,Randy Moss,0,2,119,7,
36,Onterrio Smith,0,0,104,6,
63,Nate Burleson,0,0,71,2,
40,Kelly Campbell,0,0,50,2,
11,Richard Owens,0,0,16,2,
27,Thomas Jones,0,0,71,8,
40,Bobby Wade,0,0,71,4,
32,Justin Gage,0,0,32,1,
19,David Terrell,0,0,25,2,
9,Dustin Lyman,0,0,16,2,
8,Bernard Berrian,0,0,12,2,
11,John Gilmore,0,0,11,1,
10,Bryan Johnson,0,0,10,1,
47,Amani Toomer,0,0,126,5,
41,Tiki Barber,0,0,48,3,
20,Tim Carter,0,0,45,3,
14,Jeremy Shockey,0,0,41,5,
9,Ike Hilliard,0,0,26,3,
11,Dennis Northcutt,0,0,50,9,
29,Quincy Morgan,0,1,44,3,
14,Andre Davis,0,0,33,3,
16,Andre King,0,0,28,2,
13,James Jackson,0,0,16,3,
9,Chad Mustard,0,0,9,1,
27,Jerry Porter,0,0,84,5,
20,Alvis Whitted,0,0,35,2,
30,Doug Gabriel,0,0,30,1,
18,Jerry Rice,0,0,27,2,
19,Ronald Curry,0,1,19,1,
12,JR Redmond,0,0,18,2,
9,Amos Zereoue,0,0,9,1,
8,Courtney Anderson,0,0,8,1,
4,Doug Jolley,0,0,4,1,
3,Tyrone Wheatley,0,0,3,1,
1,Zack Crockett,0,0,1,1,
54,Bill Schroeder,0,1,126,4,
16,Tim Brown,0,1,41,4,
26,Michael Clayton,0,0,35,2,
31,Charlie Garner,0,0,34,2,
17,Mike Alstott,0,0,30,4,
11,Ken Dilger,1,0,14,2,
12,Jamel White,0,0,12,1,
11,Charles Lee,0,0,11,1,
4,Cosey Coleman,0,0,4,1,
2,Dave Moore,0,0,2,1,
25,Darrell Jackson,0,0,97,7,
60,Bobby Engram,0,0,95,4,
11,Shaun Alexander,0,1,22,4,
9,Jerramy Stevens,0,0,22,3,
12,Koren Robinson,0,0,12,1,
9,Heath Evans,0,0,9,1,
5,Maurice Morris,0,0,5,1,
1,Itula Mili,0,1,1,1,
15,Cedrick Wilson,0,0,57,6,
10,Eric Johnson,0,0,39,5,
22,Aaron Walker,0,0,26,2,
7,Kevan Barlow,0,0,14,2,
11,Curtis Conway,0,0,14,3,
3,Terry Jackson,0,0,3,1,
26,Isaac Bruce,0,0,134,8,
18,Dane Looker,0,0,69,5,
32,Torry Holt,0,1,65,6,
16,Marshall Faulk,0,0,46,8,
13,Kevin Curtis,1,0,13,1,
13,Joey Goodspeed,0,0,13,1,
10,Shaun McDonald,0,0,10,1,
5,Brandon Manumaleuna,0,0,8,2,
24,Joe Horn,0,1,91,7,
21,Donte Stallworth,0,0,65,5,
38,Jerome Pathon,0,0,49,2,
17,Boo Williams,0,0,38,3,
25,Michael L Lewis,0,0,25,1,
23,Talman Gardner,0,0,23,1,
8,Aaron Stecker,0,0,20,4,
5,Mike Karney,0,0,5,1,
19,Drew Bennett,0,0,55,6,
27,Derrick Mason,0,0,43,4,
16,Chris Brown,0,0,30,3,
7,Erron Kinney,0,0,11,2,
4,Robert Holcombe,0,0,4,1,
25,Jimmy Smith,0,0,58,3,
9,George Wrighster,0,1,30,5,
8,Troy Edwards,0,0,11,2,
11,Fred Taylor,0,0,11,1,
6,Ernest Wilford,0,0,6,1,
4,Jermaine Lewis,0,0,4,1,
4,Reggie Williams,1,0,4,1,
49,Rod Gardner,0,2,167,10,
17,James Thrash,0,0,47,4,
20,Laveranues Coles,0,0,42,5,
18,Clinton Portis,0,0,37,3,
11,Chris Cooley,0,0,22,2,
10,Robert Royal,0,0,10,1,
,Taylor Jacobs,1,,,,
48,Antonio Bryant,0,0,63,3,
26,Terry Glenn,0,1,56,3,
28,Richie Anderson,0,0,41,2,
14,Darian Barnes,0,0,26,2,
23,Keyshawn Johnson,0,0,23,1,
10,Jason Witten,0,1,22,3,
9,Dan Campbell,0,0,9,1,
29,Larry Fitzgerald,0,0,61,3,
26,Freddie Jones,0,0,36,3,
14,Nate Poole,0,0,22,2,
21,Obafemi Ayanbadejo,0,1,21,1,
18,Emmitt Smith,0,0,18,1,
7,Bryant Johnson,0,0,7,1,
7,Karl Williams,0,0,7,1,
6,Lorenzo Diamond,0,0,6,1,
26,Aaron Stecker,0,0,71,6,
14,Joe Horn,0,0,47,6,
17,Donte Stallworth,0,0,45,5,
15,Boo Williams,0,0,41,4,
15,Michael L Lewis,0,0,38,3,
41,Eric Moulds,0,1,126,10,
55,Lee Evans,0,0,93,4,
10,Sam Aiken,0,0,12,2,
10,Travis Henry,0,0,10,1,
6,Ryan Neufeld,0,0,6,1,
43,David Patten,0,1,113,5,
44,David Givens,0,0,86,4,
33,Daniel Graham,0,1,35,2,
17,Christian Fauria,0,0,24,2,
13,Corey Dillon,0,0,23,3,
17,Bethel Johnson,0,0,17,1,
34,Muhsin Muhammad,0,0,114,7,
42,DeShaun Foster,0,0,54,3,
14,Keary Colbert,0,0,40,4,
34,Brad Hoover,0,0,38,2,
12,Kris Mangum,0,0,29,3,
14,Ricky Proehl,0,0,27,2,
6,Mike Seidman,0,0,6,1,
0,Nick Goings,0,0,0,1,
29,Alge Crumpler,0,0,85,5,
19,Dez White,0,0,23,2,
16,Peerless Price,0,0,22,2,
18,Justin Griffith,0,0,18,1,
32,David Terrell,0,0,116,9,
12,Thomas Jones,0,0,40,6,
13,Bobby Wade,0,0,36,4,
6,Desmond Clark,0,0,11,2,
5,Bryan Johnson,0,1,11,4,
1,Dustin Lyman,0,0,1,1,
44,Terrell Owens,0,1,110,8,
20,Brian Westbrook,0,0,63,9,
15,Todd Pinkston,0,0,25,2,
13,Freddie Mitchell,0,0,21,2,
9,Chad Lewis,0,0,9,1,
6,Reno Mahe,0,0,6,1,
3,Dorsey Levens,0,0,3,1,
37,Andre Davis,0,0,93,3,
15,Aaron Shea,0,1,28,2,
16,Terrelle Smith,0,0,20,2,
12,Steve Heiden,0,0,19,2,
14,Quincy Morgan,0,0,18,2,
10,Dennis Northcutt,0,0,11,2,
6,Lee Suggs,0,0,6,1,
45,Laveranues Coles,0,0,122,7,
13,Walter Rasby,0,0,29,3,
8,Rod Gardner,0,0,19,3,
12,Clinton Portis,0,0,15,2,
4,James Thrash,0,0,7,2,
20,Ahman Green,0,0,48,3,
28,Javon Walker,0,1,37,3,
11,Donald Driver,0,0,31,4,
24,William Henderson,0,0,28,2,
24,Robert Ferguson,0,0,24,1,
14,Bubba Franks,0,0,21,3,
9,Tony Fisher,0,0,13,2,
9,Antonio Chatman,0,0,9,1,
9,David Martin,0,0,9,1,
26,Jeremy Shockey,0,1,74,5,
14,Ike Hilliard,0,0,36,5,
17,Amani Toomer,0,0,34,3,
17,Tim Carter,0,0,23,2,
6,Tiki Barber,0,0,14,4,
6,Jim Finn,0,0,6,1,
40,Jimmy Smith,0,1,59,3,
24,Ernest Wilford,0,0,56,6,
26,Troy Edwards,0,0,54,4,
18,Reggie Williams,0,0,40,3,
12,LaBrandon Toefield,0,0,34,6,
15,Fred Taylor,0,0,31,3,
12,George Wrighster,0,0,27,3,
17,Brian Jones,1,0,17,1,
17,Brandon Stokley,0,0,97,8,
21,Marvin Harrison,0,1,45,4,
16,Marcus Pollard,0,1,33,3,
13,Edgerrin James,0,0,25,3,
10,Reggie Wayne,0,0,20,2,
37,Bryan Gilmore,0,0,57,3,
20,Randy McMichael,0,0,51,5,
23,Marty Booker,0,0,46,4,
25,Derrius Thompson,0,0,25,1,
11,Donald Lee,0,0,15,2,
7,Leonard Henry,0,0,12,3,
31,Wayne Chrebet,0,0,48,3,
11,Curtis Martin,0,0,31,4,
10,Jerald Sowell,0,0,18,3,
17,Santana Moss,0,0,17,1,
15,Chris Baker,0,0,15,1,
14,Justin McCareins,0,0,14,1,
0,Anthony Becht,0,0,0,1,
30,Plaxico Burress,0,0,69,4,
10,Hines Ward,0,0,48,6,
11,Verron Haynes,0,1,25,4,
20,Antwaan Randle El,0,0,24,2,
8,Jay Riemersma,0,0,8,1,
24,Chad Johnson,0,0,54,4,
13,TJ Houshmandzadeh,0,0,53,6,
13,Chris Perry,0,0,24,2,
11,Kenny Watson,0,0,17,2,
