longest punt return, name, punt return yards, punt returns
13,F Nagel,44,5
10,R Smith,20,2
6,C Sanders,9,2
0,M Boykin,-2,1
0,D Wilson,0,1
11,J McCleskey,25,3
9,B Sanders,9,1
7,Q Henderson,7,1
1,V Bolden Jr,-6,2
1,R Dockery,-7,2
29,J Reid,32,5
0,A Oruwariye,-26,1
69,J Grant,112,7
14,C Davis Jr,19,3
0,Q Johnson,0,1
9,T Cottrell,9,1
0,T Crawley,-9,1
18,B Hobbs,42,5
1,D Antoine,1,1
1,A Staggers,1,2
15,C Rookard,14,2
25,A Jackson,25,1
83,D Johnson,83,2
1,H Childs,1,1
2,D White,2,1
3,A Lazard,-2,4
10,A Kamara,5,4
3,P White,-9,2
3,D Hilliard,3,1
0,C Scott,0,1
60,K Wadley,105,4
23,M Whitfield,34,2
33,T Glass,34,2
5,C Batson,10,2
8,E Poe,19,3
29,G Stroman,50,7
19,C Carroll,34,2
0,T Hines,-6,1
7,K Fossum,5,3
0,A Onunwor,-1,1
15,J Peavy,15,2
18,A Conway,18,1
20,I Olave,20,1
16,B Stewart,16,1
11,R McCloud,17,3
2,A Conway,2,1
0,J Proche,6,1
31,D White,74,3
31,M Williams,31,1
18,C Duck,18,1
8,B Taylor,13,3
6,C Echols Luper,2,2
47,T Smith,77,2
75,X Marks,90,4
0,N Phillips,-10,2
1,D Pettis,1,1
31,T White,46,3
0,T Nicholson,1,1
53,T Rouse,57,2
18,M McGue,18,1
16,G Juergens,16,1
4,B Beard,5,2
13,B Lemelle,13,1
17,S Riley,17,1
17,H Bussey,17,1
0,J Stoshak,-1,1
16,A Hepp,16,1
7,C Lacanaria,7,1
35,T Owens,52,2
14,C Johnson,22,2
24,T Glass,37,3
0,K Wadley,-1,1
26,R Fant,37,3
1,J Bates,2,2
55,T Ryen,116,3
4,T Cottrell,4,2
43,B Pringle,43,1
13,D Heath,18,3
0,J Kirby,10,1
0,D Holliman,0,1
8,C Walker,8,1
5,R Fenton,5,1
1,J Allen,1,1
14,F Ross,24,4
13,B Sowards,13,1
4,J Williams,4,1
0,R Proctor,0,1
53,J Peppers,54,2
2,J Myrick,3,2
19,R Ruiz,33,3
4,V Jefferson,7,2
8,I McKenzie,8,1
51,C Black,69,3
18,J Alexander,13,3
7,T West,7,1
1,T Taylor,1,1
14,R Switzer,15,2
1,Q Henderson,1,1
11,S Lurry,16,2
10,L Lenoir Jr,14,2
5,F Nagel,5,1
12,C Sanders,12,1
18,R Smith,22,2
17,D Brown,43,4
7,M Little,7,2
13,A Taylor,13,1
12,I Oliver,12,1
16,V Bolden Jr,29,3
0,A Butler,-1,2
42,M Kimbrough,51,3
1,V Banks,-3,2
0,J Harris,0,1
1,D King,2,2
14,D Ayoola,14,2
8,D Johnson,8,1
18,J Wilson,59,4
11,J Thomas,11,1
0,K Kirkwood,0,1
0,S Chandler,-1,1
7,A Duke,7,1
20,A Kamara,61,6
0,A Callaway,0,1
6,E McGuire,6,3
0,C Turner,6,1
0,G Haynes,0,1
33,C Rookard,38,2
0,J Frye,12,1
0,C Kirk,-14,1
0,J Cornelius,-1,1
11,D King,16,3
1,I Adams,1,1
0,M Stevenson,0,1
0,A Onunwor,-2,2
0,T Juniel,-1,1
25,A Staggers,41,4
20,A Rodriguez,22,2
15,D Hamm,27,4
87,G Stroman,94,2
0,C Phillips,1,1
0,C Maybin,0,1
0,Q Johnson,-4,1
0,N Fant,-1,1
3,K Lipscomb,3,1
21,D Phillips,21,1
0,D King,-1,1
0,B Lemelle,0,1
10,C Batson,10,4
4,G Juergens,4,1
6,C Jones,6,1
16,D Pettis,36,3
3,R Cleveland,3,1
17,E Jackson,17,1
15,X Marks,15,1
10,J Capel,17,2
33,D Morgan,33,1
25,M Davis,37,3
0,A Hepp,0,1
16,T Rouse,59,5
6,A Butler,2,2
11,A Rodriguez,20,2
11,B Hobbs,23,4
9,I Harper,9,1
0,M Little,0,1
4,B Beard,4,1
10,D Johnson,27,3
0,R McCloud,-1,1
15,J Alexander,15,2
8,J MacIntyre,15,2
1,I Oliver,1,1
16,R Dockery,16,1
14,V Bolden Jr,13,2
0,R Ruiz,-1,1
38,A Conway,35,2
9,R Smith,22,4
1,Q Johnson,1,1
10,C Johnson,10,1
5,T Owens,4,2
0,H Bussey,-1,1
13,I McKenzie,13,1
20,A Kamara,50,3
26,B Stewart,43,2
5,B Berrios,5,1
8,A Celis,11,2
9,C Rookard,9,2
31,M Paige,31,2
1,B Sowards,1,1
32,D King,77,4
38,R McCarron,38,1
47,F Nagel,47,1
1,D Jones,1,1
0,T Ryen,0,1
12,Z Tyson,15,2
38,J Natson,36,2
4,T White,4,2
4,C Black,4,1
12,T Taylor,12,1
5,W Likely,4,2
3,M Kimbrough,3,1
0,K Bailey Smith,0,1
7,D Hilliard,9,2
0,J Murphy,0,1
1,R Stites,-1,2
13,J Peppers,19,2
12,J Peavy,21,3
6,B Cherry,11,3
6,J Bates,6,1
27,D Pierson El,42,3
0,J Wright,0,1
34,C Davis Jr,44,4
2,T Cottrell,4,2
0,C Finke,0,1
74,B Estime,128,3
3,K Buyers,3,1
2,T Smiley,2,1
15,R James,32,3
16,D Wilson,37,3
0,D McCall,-1,2
8,B Sanders,8,1
10,A Foreman,18,3
7,H Foster,7,1
3,J Reid,2,2
13,J Myrick,13,1
19,D Ayoola,19,3
32,Q Truxton,33,2
3,R Fenton,3,1
2,J King,2,1
12,C Kirk,20,2
6,D Antoine,6,1
2,D White,2,1
20,J Thomas,35,3
13,J Proche,15,2
1,C Burks,1,1
15,B McDowell,15,1
12,K Edwards,12,1
0,M Lawson,0,1
33,A Pickett,46,3
1,M Johnson,1,1
1,M Stevenson,1,1
11,J Hughes,11,1
2,T Glass,4,2
14,A Jackson,16,3
14,K Lipscomb,14,2
2,A Callaway,-4,2
0,D Carrington,-1,1
50,N Fant,68,3
2,B Taylor,2,1
4,G Jennings,-4,3
0,D Heath,0,1
0,B Taylor,0,1
0,C Echols Luper,-9,1
16,T Taylor,16,1
35,S Johnson,35,1
6,K Towner,6,1
3,A Miller,3,1
37,J Thomas,37,1
7,R McCloud,4,3
0,C Davis Jr,-5,1
17,C Wilson,17,1
0,A Butler,-1,1
27,J Allen,27,1
14,K Wadley,30,5
9,J Proche,9,1
11,J Natson,11,1
9,E Jackson,12,2
12,T White,12,1
9,R Goforth,9,1
2,A Pickett,-3,3
0,J Eiland,0,1
7,Z Tyson,7,1
9,E Thomas,14,3
2,A Hepp,2,1
0,R Ruiz,0,1
1,A Rodriguez,1,2
3,R Smith,3,1
0,J McClinton,1,1
17,C Jones,13,3
7,B McDowell,12,3
7,A Aneke,7,1
4,D Mosely,4,1
0,D Taylor,-1,1
7,M Kimbrough,7,1
4,D White,6,2
14,K Coutee,14,1
0,C Batson,0,1
0,C Walker,0,1
4,R White,-10,4
0,M Green,-10,1
19,K Trotter,19,1
43,B Berrios,58,3
13,J Wilson,12,2
22,D King,59,7
0,F Ross,-3,2
0,M Davis,-4,1
0,G Stroman,-1,1
16,D Wright,16,0
0,P McKever,9,1
0,B Cherry,0,1
21,T Smiley,27,3
22,H Foster,37,2
3,D Wilson,3,1
11,R Stites,11,1
5,S Miller,5,1
3,J Mixon,3,2
0,J McCleskey,0,1
0,T Ryen,-9,2
6,D Carrington,6,1
4,D Pettis,6,2
0,V Bolden Jr,-1,1
11,V Wharton III,11,1
8,B Stewart,8,1
8,J Reid,8,1
15,L Harrison,15,1
5,W Likely,10,3
0,J Harris,-4,2
15,C Evans,15,1
2,J Peppers,3,2
29,Q Truxton,44,5
4,M Stevenson,4,1
15,D Johnson,22,2
6,Q Johnson,6,1
22,T Cottrell,42,2
16,J Smith,16,1
7,A Kamara,8,3
47,A Jackson,50,4
14,J MacIntyre,14,1
19,T Juniel,19,1
14,T Owens,27,2
0,J Taylor,-2,1
31,D Antoine,35,3
16,A Staggers,16,1
6,J Bates,8,3
0,D Phillips,-4,1
24,A Conway,22,4
4,R Cleveland,4,1
14,J Young,20,2
12,I McKenzie,14,2
35,L Varnado,46,3
15,M Juergens,15,1
0,Q Truxton,0,1
9,J Alexander,19,3
9,R Smith,9,1
3,D Hilliard,3,2
9,A Miller,9,1
7,R Cleveland,7,1
4,C Davis Jr,4,1
14,D Phillips,17,2
2,B Taylor,1,3
4,J Cornelius,5,2
0,C Davis,0,1
5,D Burnett,5,1
5,A Jackson,3,2
18,T Nicholson,32,2
13,T White,13,1
10,A Butler,11,2
7,R Ruiz,7,1
13,J Eiland,13,1
0,K Mabon,0,1
10,C Johnson,7,2
5,A Duke,5,1
8,T Owens,8,1
0,R McCloud,0,1
9,J MacIntyre,16,4
20,T White,35,5
10,A Callaway,8,5
25,J Bates,25,1
4,I McKenzie,-1,3
17,K Lipscomb,27,3
3,M Stevenson,3,1
0,A Onunwor,-1,1
0,J Onunkwo,0,0
39,M Paige,39,1
0,C Dutra,9,1
15,D Pierson El,25,4
14,M Green,24,3
4,B McDowell,4,1
13,T White,5,2
5,A Staggers,5,1
15,T Morgan,13,2
0,W Likely,0,2
17,J Myrick,19,3
11,D Wolitarsky,11,1
41,J Allen,41,1
15,T Taylor,22,3
6,B Sowards,11,2
7,E Barksdale,7,1
7,F Nagel,12,3
0,R Switzer,0,2
16,Z Tyson,16,1
18,H Foster,22,2
12,J Young,12,1
9,E Thomas,21,3
5,C Sanders,5,1
0,J Tyler,-7,1
1,P White,1,1
1,E Daugherty,1,1
4,D Westbrook,3,2
0,D Heath,0,1
2,V Bolden Jr,2,1
10,B Hobbs,7,3
11,D King,11,2
10,S Stewart,21,4
0,N Ellerbe,0,1
1,A Taylor,0,2
15,J Harris,21,3
20,D Mosely,27,2
0,Z Grant,0,1
4,D Johnson,1,2
8,B Lemelle,8,1
20,B Estime,20,1
14,G Stroman,13,2
32,A Kamara,60,2
79,E Jackson,108,4
22,A Foreman,42,4
2,A Lazard,-1,2
26,C Jones,26,1
0,W Watson,0,1
14,C Rookard,21,2
19,C Batson,19,1
3,G Jennings,4,2
18,D Hamm,19,3
29,Q Henderson,46,3
0,R Goforth,0,1
4,C Clement,4,1
13,D Wilson,10,3
6,A Butler,7,3
0,D Ayoola,0,1
0,C Rookard,0,3
6,G Stroman,5,3
0,B Berrios,0,1
3,D Carrington,3,3
15,Q Truxton,20,2
18,T Cottrell,20,2
5,K Kirkwood,5,0
4,J Thomas,4,1
0,A Ellis,2,1
0,R Cleveland,0,1
17,E Jackson,21,2
2,C Kirk,2,1
29,J Capel,56,2
5,M McGue,6,3
13,T Smiley,13,1
8,S Roberts,8,1
3,M Davis,3,1
70,T White,78,2
0,K Fossum,-5,1
0,C Lacanaria,0,1
11,J Natson,11,1
10,T Rouse,16,2
27,B Estime,25,2
4,W Watson,1,2
10,J Murphy,10,2
4,B Beard,8,3
19,T Taylor,19,1
0,C Stone,-2,1
4,L Lee,-1,3
0,D King,0,1
10,J Peavy,10,1
12,B Sanders,12,1
12,D Heath,12,1
13,Z Tyson,28,4
0,P White,-5,1
0,C Walker,-3,1
4,F Ross,4,1
25,T White,54,4
8,C Davis,16,2
3,T Morgan,3,1
13,D Mosely,13,1
10,D Wolitarsky,10,2
6,J Myrick,6,1
12,C Black,28,3
9,R James,9,1
10,H Foster,10,1
0,C Cass Jr,0,1
0,D Pierson El,0,1
4,M Kimbrough,4,1
4,A Celis,7,2
21,A Conway,21,1
0,E Saffold,-4,1
7,J Eiland,7,1
9,C Davis Jr,9,1
19,M Green,19,1
7,F Nagel,13,3
4,M Paige,3,3
7,G Garrity,11,2
9,J Reid,4,2
0,C Brown,0,1
0,D Wilson,-4,2
19,C Lammons,13,2
0,J Allen,-2,1
3,J Proche,0,3
6,D King,6,1
0,C McCaffrey,-4,1
7,I Oliver,7,2
2,K Wadley,0,2
0,D Mooney,0,1
10,C Thompson,10,1
0,C Jones,-1,1
23,B McDowell,30,2
8,C Batson,8,1
35,A Pickett,35,1
5,I Adams,8,2
11,B Hobbs,26,3
5,M Stevenson,5,1
8,R Ruiz,6,2
15,J Taylor,25,2
9,M Guidry,9,1
0,T Juniel,-2,1
0,J Painter,20,1
3,A Rodriguez,3,1
5,R Switzer,5,1
10,J Willis,10,1
44,N Fant,44,1
1,D Brown,1,1
6,D Phillips,6,1
9,G Jennings,9,2
1,D White,2,2
17,J Eiland,24,2
79,J Natson,116,3
32,J Capel,32,3
20,G Stroman,33,4
19,P White,19,1
32,A Jackson,33,2
1,T Glass,1,2
0,B Baldwin,-1,1
31,D Johnson,31,1
6,C Cass Jr,6,1
0,A Rodriguez,-3,2
1,B Taylor,1,2
2,T Perrier,4,2
16,N Phillips,16,2
24,C McCaffrey,29,3
8,W Chapman,8,1
8,Z Tyson,5,2
0,Q Johnson,-1,1
14,B Banham,14,2
8,J Murphy,8,1
2,K Towner,2,1
18,T Owens,18,1
27,R James,27,1
0,R McCloud,-8,1
15,I McKenzie,29,2
8,A Callaway,10,3
0,R Smith,0,1
30,J Ursua,36,4
9,C Davis Jr,16,4
6,C Wilder,6,1
0,M Stevenson,-2,1
3,C Johnson,3,1
0,D Mosely,-3,3
17,A Shenault,23,2
20,K Hardin,20,1
7,M Paige,8,3
7,T Morgan,7,1
14,D Payne,28,2
0,B Pringle,0,1
12,T Taylor,21,2
10,J Allen,10,1
0,D Knight,0,1
0,A Yevchinecz,-4,1
6,B Sowards,6,1
0,D Corley,-1,1
8,J Peppers,8,1
7,A Miller,11,2
10,M Davis,10,1
63,J Johnson,63,1
0,C Black,-10,2
4,C Walker,4,1
5,F Ross,5,1
0,B Cherry,0,2
15,T Rouse,15,1
19,C Sanders,24,3
23,C Finke,23,1
0,T Pride Jr,-2,1
30,B Berrios,30,1
7,D Wilson,7,1
71,D Westbrook,71,1
7,B Sanders,7,1
2,G Jennings,1,2
6,C Nelson,6,1
0,D Carrington,0,1
2,T White,2,1
10,V Bolden Jr,10,1
0,K Fossum,-13,3
22,B Marshall,22,2
8,D Ayoola,14,2
0,C Stone,0,1
6,J Smith,10,2
0,M Stevenson,-6,1
9,A Staggers,12,3
13,H Foster,23,2
4,D White,6,2
15,C Batson,15,1
15,D Gray,15,1
9,B Beard,9,1
1,J Warrick,1,1
12,T Nicholson,12,1
0,P Nickerson,0,1
73,C Kirk,143,2
5,O Clark,5,1
0,B Hobbs,0,1
58,D Pettis,60,4
39,T Juniel,39,1
12,D Brown,12,1
12,J Taylor,17,2
34,T Smiley,48,3
40,D Hamm,71,3
58,M McGue,64,3
24,C Clement,24,1
15,D Pierson El,36,4
4,A Conway,-1,2
6,C Wilson,2,2
0,S Lurry,0,1
0,E Saffold,-2,1
18,W Watson,33,2
10,C Jones,10,2
68,I Oliver,124,5
3,A Pickett,3,1
1,C Stone,1,1
68,B Taylor,98,3
0,C Echols Luper,0,1
26,T Ryen,26,1
0,A Lazard,-2,1
5,D Westbrook,5,1
2,P White,2,1
5,J Eiland,5,1
0,T Cottrell,-3,1
14,J Thomas,14,1
9,J Capel,7,2
0,A Taylor,28,1
18,B McDowell,18,1
1,J Cornelius,0,3
25,A Callaway,25,2
6,M Davis,6,1
14,T Nicholson,14,1
7,J Alexander,3,2
29,V Wharton III,36,2
19,D Pettis,30,3
5,A Fuller,5,1
0,B Beard,0,1
8,A Trapp,8,1
1,A Scott,1,1
7,B Estime,7,1
0,R Ruiz,0,1
10,K Johnson,10,1
5,R Smith,5,1
5,G Stroman,5,3
20,B Sowards,32,2
0,B Sanders,0,1
10,C Walker,10,1
7,I McKenzie,8,3
5,D Ayoola,5,1
13,T White,16,3
1,T Diggs,1,1
15,B Berrios,22,2
17,Q Henderson,17,1
5,B Marshall,5,1
10,M Crockett,10,2
9,D Gray,10,2
93,C Kirk,93,1
6,R James,9,2
6,C Davis Jr,6,1
1,F Nagel,1,1
24,J Peavy,25,2
14,T Taylor,15,2
15,D McCall,15,1
0,D Wilson,-2,1
0,C Samuel,-5,1
15,D Brown,17,3
2,D Thompkins,2,1
6,N Ellerbe,13,4
19,J Young,19,1
10,J Harris,13,2
6,M Paige,6,3
13,J Johnson,19,3
5,C Black,5,1
41,Q Truxton,73,4
22,A Staggers,28,2
0,J Foggie,12,1
2,N Mullen,2,1
6,J Proche,6,1
6,A Miller,6,1
62,M Callaway,114,2
0,J Smith,-2,1
7,J Anderson,15,3
14,Q Johnson,14,1
30,C Rookard,25,3
22,C Batson,22,1
0,L Humphrey,0,1
28,M Pittman Jr,28,1
15,A Jackson,16,2
43,T Juniel,49,5
1,J Bates,1,2
26,D Hamm,37,5
36,J Morrow,67,2
26,K Fossum,40,2
22,K Towner,22,1
8,G Jennings,2,2
8,A Conway,8,1
21,A Rodriguez,21,1
0,R Lewis,0,1
4,A Hepp,4,1
0,C Lacanaria,2,1
6,B Banham,8,2
2,E Calhoun,2,1
0,D Phillips,0,1
22,J Natson,25,3
11,W Watson,29,4
2,D Brown,2,2
13,C Jones,7,2
3,B Hobbs,3,1
3,R Switzer,3,1
66,I Gallon,66,1
5,N Murray,5,2
6,R Ruiz,11,2
11,B Taylor,14,3
7,C Echols Luper,7,1
0,G Girdy,-2,1
1,T Diggs,1,1
10,F Ross,10,1
0,K Mixon,0,1
10,J Cornelius,10,1
0,T White,-9,3
22,C Finke,16,2
13,I Oliver,13,1
21,J Eiland,30,3
0,J Murphy,0,1
19,G Juergens,68,6
22,C Johnson,20,2
12,T Neal,12,1
11,B Beard,25,3
12,N Mullen,9,2
0,N Ellerbe,1,1
3,R McCloud,1,3
2,H Bussey,-2,1
0,J Young,-15,1
39,A Callaway,100,4
10,C Lammons,10,3
6,C Stone,11,2
17,M Green,22,2
20,I McKenzie,20,1
5,M Davis,5,1
14,C Wilson,14,1
9,J Moxey,9,1
7,C Wilder,6,2
23,S Badie,23,1
0,P Nickerson,-11,1
0,I James,0,1
19,J Reid,32,3
3,G Garrity,3,1
8,D King,17,3
19,J Peppers,19,1
0,L Gonzalez,-3,1
0,D Jones,0,1
6,J Alexander,11,2
0,D Peete,0,1
29,J Bates,35,2
11,T Taylor,21,3
36,M Guidry,36,1
0,T Morgan,0,1
11,C Samuel,11,1
14,B Sowards,30,4
7,J Harris,9,4
7,A Miller,7,1
28,J Johnson,47,4
16,K Lipscomb,16,1
6,H Foster,8,2
0,R James,0,1
10,C Scott,10,1
7,D Pierson El,-1,3
0,Q Truxton,-1,1
2,C Batson,2,1
0,I Harper,-3,1
0,A Staggers,-1,1
0,M Lovette,5,1
4,D Mitchell,4,1
0,F Nagel,-2,1
13,S Riley,13,1
3,B Estime,3,1
0,B Cherry,-1,1
8,J Smith,8,1
3,C Walker,-3,2
0,J Warrick,0,1
1,G Jennings,-3,3
