name, rushes, rushing touchdowns, rushing yards
G Hickbottom,10,0,68
K Dominique,9,0,44
D Brutton,4,0,23
J Nichols,5,0,18
J Richard,3,0,8
C Edwards Helaire,9,1,45
C Curry,2,0,23
J Emery Jr,6,0,20
L Fournette,6,1,19
T Davis Prince,5,0,11
M Brennan,3,0,3
J Burrow,1,0,2
L Wright,13,0,37
J King,11,0,23
M LaRoche,5,0,17
J Tomlin,4,0,4
S Werts,6,0,-7
T Fleet Davis,16,0,79
J Funk,12,1,79
L Harrison,6,0,62
L Legendre,2,0,30
J Leake,3,0,23
T Pigrome,1,1,22
A McFarland Jr,6,2,18
T Desue,1,1,5
K Dorsey,6,0,21
D Parson,12,0,18
J Crute,2,0,12
J Aley,3,0,3
Q Williams,1,0,0
D Gillespie,1,0,-5
C Newton,8,0,-13
R Williams,4,0,-21
P Taylor Jr,27,1,128
K Gainwell,16,0,77
T Samuel,1,0,4
B White,5,1,-6
S Phillips,19,1,62
M Corral,9,0,17
J Ealy,4,0,2
S Connor,1,0,-1
Z Charbonnet,8,0,90
C Turner,11,0,49
D McCaffrey,8,1,42
S Patterson,9,0,28
J Milton,1,0,9
T Wilson,2,0,8
B VanSumeren,4,1,7
H Haskins,2,0,0
A OHara,13,1,32
J McDonald,4,0,13
Z Dobson,3,0,12
T West,2,0,4
D England Chisolm,1,0,3
C Mobley,5,0,3
T King,10,0,75
S Evans,7,0,56
I Green,8,0,46
B Knox,10,2,43
L Papillon,6,0,34
A Thomson,4,0,16
X Gaines,1,0,10
A Ramsey,11,0,45
K Bridy,6,0,24
C Newman,2,0,5
T Smith,1,0,5
S Morgan,1,1,3
R Martin,1,0,-2
R Udinski,5,0,-24
N Smith,15,3,96
C Williams,10,1,91
M Fells,3,0,56
T Maloy,4,0,55
G Winn,3,0,33
M Perry,10,1,28
J Harris ll,6,0,17
T King El,2,0,17
I Ruoss,4,1,10
J Smith,1,0,9
D Morris,1,0,9
K Mahekau,2,0,9
P Olsen,2,0,0
T Goslin,4,0,-2
M Alexander,12,1,40
C Degenhardt,10,0,17
P Oliver,4,0,8
J Williams,18,0,102
M Carter,16,0,77
A Williams,4,0,53
R Groves,1,0,8
S Howell,10,0,6
T Feaster,13,1,72
R Dowdle,11,0,62
J Bentley,6,0,-5
Z Knight,9,1,42
M McKay,6,2,35
J Houston,6,0,35
T Hines,1,0,34
K Lesane,1,0,24
R Person Jr,5,0,20
T Pennix,1,0,3
D Pinnix,11,0,23
H Ahlers,10,0,11
H Howe,5,0,8
R Herring,1,0,2
D Mauney,2,0,-3
D Mills,15,2,44
M Washington,6,0,39
W Robinson,4,0,21
W Mazour,4,0,12
A Martinez,13,0,6
T Minter,10,0,37
K Baker,5,0,27
C Johnson,18,1,9
T Avery,3,0,8
J Wilson,4,0,7
C Davis,3,0,-3
T Harbison,23,0,99
M Jones,2,0,2
J Nettles,2,0,2
R Bowers,5,0,-10
B Davis,8,0,17
J Robinson,13,0,16
J Proctor,6,0,16
C Blackman,1,0,2
A Davis,16,2,107
S Jones,6,2,35
J Jones,3,0,11
J Griffin IV,1,0,2
E Lilly,1,0,1
D Vigilant,1,0,-1
B Hughes,1,0,-5
K Jackson,15,0,66
D Williams,6,1,30
A Williams,1,0,19
E Schmid,5,1,17
T Carter,2,0,2
D Bowens,1,0,-1
T Brock,4,0,-16
D Torrey,11,0,95
L Easly,9,1,51
N Smith,6,0,29
M Fine,6,0,16
J Bean,2,0,1
T James,16,2,106
B McCrary,8,1,79
S Davis,5,0,21
K Clark,2,0,5
J Miller,1,0,1
L Anthony,4,0,-29
J Dobbins,21,1,91
J Fields,12,1,61
M Teague III,8,0,49
M Crowley,4,0,27
D McCall,2,0,11
J Charles,10,0,25
L McCammon III,11,1,22
B Emmons,1,0,1
W Wright,1,0,-1
M Davidson,1,0,-1
C Robison,9,0,-24
N Rourke,10,1,75
J Ross,14,0,68
D Tuggle,3,2,65
O Allison,6,0,38
J Portis,4,0,33
Z Bryant,17,0,89
A Dorsey,1,0,9
M Pires,1,0,4
V Priore,3,0,1
L Davis,16,1,62
S Smartt,13,1,50
K Strong,6,1,26
R Washington,1,0,2
J Carter,13,1,51
A Savage,14,0,11
G Hulett,3,0,7
C Verdell,14,1,76
T Dye,6,0,23
D Felix,2,1,7
C Habibi Likio,2,0,5
J Herbert,8,0,-16
J Whitlow,24,0,110
B Nix,7,0,42
E Stove,1,0,36
K Martin,4,0,11
M Hill,1,0,7
S Shivers,4,0,2
J Gatewood,1,1,1
A Davis,8,1,25
T Sibley Jr,7,0,23
K Pickett,12,0,16
V Carter,1,0,8
V Davis,2,0,6
W Taulapapa,10,1,66
B Perkins,18,0,44
P Kier,5,0,19
D Ford,6,1,107
S Clifford,7,0,57
N Eury,6,1,44
N Cain,9,2,44
J Brown,5,2,38
W Levis,5,0,21
K Hamler,1,0,16
R Slade,5,1,9
M Shuster,1,0,-5
A Carter,14,0,32
K Martinez,3,0,16
L Kendall,1,0,0
C Richardson,4,0,-19
M Petrino,6,0,-25
J Washington,22,0,55
J Byrd,5,0,50
C Bell,3,0,18
R Agnew,9,0,13
B Heicklen,1,0,-2
K Jackson,3,0,14
J Constantine,3,0,8
J Davis,8,0,7
K Smith,3,0,7
K Jenks,1,0,0
R Shaheed,1,0,-1
D Baker,8,0,35
S Anderson,8,0,22
J Kempf,3,0,20
K Perkins,4,0,9
T Whatley,3,0,8
J Abraham,4,1,7
D Waller,16,1,51
N Duffey,7,0,25
M Forman,1,0,4
J Bolton,1,0,2
N Johnson,9,0,0
F Harper,1,0,-7
C Scarlett,22,0,97
D Maddox,6,0,24
K Costello,5,0,12
A Jones,1,0,1
D Mills,5,0,-2
I Bowser,10,0,54
H Johnson,11,0,13
T Green,3,0,10
J Brown,2,0,6
D Anderson,2,0,5
J Moten IV,5,1,5
A Delton,7,0,67
S Olonilua,7,0,50
D Barlow,8,1,45
D Anderson,6,0,28
E Demercado,5,0,11
D Davis,1,0,3
M Duggan,2,1,-4
T Porter,14,0,48
K Williams,9,1,44
D Miller,2,0,5
S Perry,6,0,4
O Allen,1,0,3
T Holston,2,0,-3
R Davis,9,1,60
J Gardner,10,2,54
I Wright,3,0,38
K Dobbins,2,0,11
A Russo,4,0,10
S Bradley,3,0,9
J Jennings,1,0,6
T Centeio,3,0,2
C Freshnock,10,0,30
M Carter,6,0,18
T Earle,2,0,8
J Cooper,4,0,6
S Moore Green,1,0,-4
L Bitikofer,2,0,-17
T Chandler,6,1,48
E Gray,7,0,29
T Jordan,7,0,16
R Keyton,1,0,10
J Guarantano,10,0,-10
T Barnett,21,1,95
D Ellington,14,1,61
S Paige,11,1,40
D Gentry,1,0,15
D Coates,5,0,4
K Ingram,11,1,78
S Ehlinger,8,0,34
R Johnson,7,0,26
C Thompson,2,1,11
D Duvernay,2,0,4
J Dancy,7,0,25
J Henderson,5,0,18
I Tucker,6,0,12
J Smith,5,0,8
D Marcus,1,0,7
