batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
3,0,0.000,1,1,[],1,0,0.667,Scott Schoeneweis,3,11,H,0,0,6,0
3,0,0.000,1,1,[],1,0,0.667,Justin Speier,4,10,H,0,0,7,0
3,0,0.000,1,1,[],0,0,1.000,Miguel Batista,5,16,S,0,1,10,0
24,3,4.500,10,4,[],5,1,6.000,Russ Ortiz,1,92,W,3,3,55,2
6,1,6.750,2,2,[],2,0,1.333,Mike Koplove,2,16,,1,0,13,0
6,0,0.000,2,2,[],1,0,1.667,Brandon Lyon,3,21,S,0,1,14,0
22,5,9.000,2,8,[],6,2,5.000,Greg Maddux,1,84,L,5,6,49,1
3,0,0.000,2,0,[],0,0,1.000,Mike Remlinger,2,11,,0,1,8,0
4,0,0.000,0,1,[],1,0,1.000,Michael Wuertz,3,20,,0,2,13,0
3,0,0.000,1,1,[],0,0,1.000,Chad Fox,4,11,,0,1,6,0
27,2,2.570,10,2,[],4,1,7.000,Jason Schmidt,1,0,W,2,9,0,2
3,0,0.000,0,1,[],0,0,1.000,Scott Eyre,2,23,H,0,2,18,0
3,0,0.000,0,3,[],1,0,1.000,Armando Benitez,3,11,S,0,0,7,0
32,2,2.570,7,7,['Ray Durham'],8,1,7.000,Derek Lowe,1,103,L,3,6,71,2
3,1,27.000,0,1,[],2,0,0.333,Giovanni Carrara,2,12,,1,0,8,0
2,0,0.000,1,0,[],0,0,0.667,Kelly Wunsch,3,8,,0,1,6,0
20,4,8.310,3,6,[],6,0,4.333,Gil Meche,1,82,,4,4,49,2
4,3,81.000,0,0,[],4,1,0.333,Matt Thornton,2,15,L,3,0,9,0
10,1,3.860,1,4,[],3,0,2.333,Shigetoshi Hasegawa,3,35,,1,2,21,0
3,0,0.000,1,2,[],0,0,1.000,Ryan Franklin,4,6,,0,0,5,0
4,0,0.000,0,1,[],1,0,1.000,JJ Putz,5,12,,0,2,9,0
21,4,7.200,1,8,[],5,0,5.000,Johan Santana,1,93,W,4,6,59,1
2,0,0.000,1,0,['Bret Boone'],0,0,0.333,Jesse Crain,2,7,H,0,0,3,0
6,0,0.000,1,3,[],1,0,1.667,JC Romero,3,21,H,0,1,14,0
3,0,0.000,0,2,[],0,0,1.000,Juan Rincon,4,14,,0,1,7,1
