at bats, average, batting order, doubles, hit by pitchers, hits, home runs, left on base, name, position, rbi, runs, sacrifice flies, strike outs, triples, walks
1,0,,0,[],0,0,0,Matt Diaz,PH,0,0,0,0,0,0
0,0,,0,[],0,0,0,Chad Paronto,RP,0,0,0,0,0,0
4,0,6,0,[],0,0,2,Jeff Francoeur,RF,0,0,0,2,0,0
4,0,7,0,[],0,0,1,Scott Thorman,1B,0,0,0,1,0,0
4,250,8,0,[],1,0,1,Ryan Langerhans,LF,0,0,0,2,0,0
2,0,9,0,[],0,0,0,John Smoltz,RP,0,0,0,1,0,0
0,0,,0,[],0,0,0,Mike Gonzalez,RP,0,0,0,0,0,0
1,0,,0,[],0,0,0,Craig Wilson,PH,0,0,0,1,0,0
0,0,,0,[],0,0,0,Rafael Soriano,RP,0,0,0,0,0,0
1,0,,0,[],0,0,3,Brayan Pena,C,0,0,0,1,0,0
4,500,1,1,[],2,0,1,Ryan Freel,CF,0,1,0,1,0,1
4,500,2,0,[],2,2,1,Adam Dunn,LF,3,2,0,1,0,1
0,0,,0,[],0,0,0,David Weathers,RP,0,0,0,0,0,0
2,0,3,0,['Carlos Zambrano'],0,0,1,Brandon Phillips,2B,0,1,0,1,0,1
3,667,4,0,[],2,0,0,Ken Griffey Jr,RF,0,1,0,0,0,1
4,250,5,0,[],1,0,6,Edwin Encarnacion,3B,0,0,0,0,0,0
3,0,6,0,[],0,0,4,Scott Hatteberg,1B,1,0,0,0,0,1
2,500,7,0,[],1,0,0,Alex Gonzalez,SS,1,0,1,0,0,1
4,0,8,0,[],0,0,5,David Ross,C,0,0,0,2,0,0
2,0,9,0,[],0,0,0,Aaron Harang,SP,0,0,0,1,0,0
0,0,,0,[],0,0,0,Kirk Saarloos,RP,0,0,0,0,0,0
1,0,,0,[],0,0,0,Josh Hamilton,LF,0,0,0,0,0,0
4,250,1,0,[],1,0,0,Alfonso Soriano,CF,0,0,0,0,0,0
4,250,2,0,[],1,0,2,Matt Murton,LF,0,1,0,3,0,0
3,667,3,0,[],2,0,0,Derrek Lee,1B,0,0,0,0,0,1
4,250,4,0,[],1,0,2,Aramis Ramirez,3B,0,0,0,0,0,0
4,250,5,0,[],1,0,1,Jacque Jones,RF,0,0,0,0,0,0
4,0,6,0,[],0,0,2,Michael Barrett,C,0,0,0,0,0,0
2,500,7,0,[],1,0,0,Mark DeRosa,2B,0,0,0,0,0,1
0,0,,0,[],0,0,0,Neal Cotts,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Michael Wuertz,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Will Ohman,RP,0,0,0,0,0,0
1,0,,0,[],0,0,0,Cliff Floyd,PH,0,0,0,0,0,0
4,250,8,0,[],1,0,4,Cesar Izturis,SS,0,0,0,0,0,0
2,0,9,0,[],0,0,1,Carlos Zambrano,SP,0,0,0,2,0,0
