average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
10.000,,12,Yamon Figurs,0,2
9.000,,19,Jerricho Cotchery,0,4
21.000,,21,Brad Smith,0,1
6.000,,9,Alvin Pearman,0,4
6.000,,6,Danny Amendola,0,1
11.000,,19,Johnnie Lee Higgins,0,4
0.000,,0,Antwaan Randle El,0,2
9.000,,14,Darren Sproles,0,2
9.000,,12,Domenik Hixon,0,2
41.000,,72,DeSean Jackson,1,2
3.000,,6,Arnaz Battle,0,3
-1.000,,-1,Steve Breaston,0,2
8.000,,11,Mike Thomas,0,2
4.000,,4,TJ Rushing,0,2
4.000,,4,Reggie Bush,0,1
0.000,,0,Lance Moore,0,1
17.000,,28,Patrick Crayton,0,2
7.000,,21,Chris Carr,0,4
19.000,,49,Earl Bennett,1,4
0.000,,0,Josh Reed,0,2
20.000,,20,Roscoe Parrish,0,1
0.000,,0,Fred Jackson,0,0
8.000,,11,Wes Welker,0,2
8.000,,18,Phillip Buchanon,0,4
0.000,,0,Dennis Northcutt,0,1
1.000,,5,Steve Breaston,0,4
0.000,,0,Mark Bradley,0,0
9.000,,16,Josh Cribbs,0,4
4.000,,4,Gerard Lawson,0,1
6.000,,11,Jerricho Cotchery,0,4
8.000,,8,Eric Weems,0,1
6.000,,6,DeSean Jackson,0,1
0.000,,2,Arnaz Battle,0,2
6.000,,12,Stefan Logan,0,3
12.000,,13,Jordy Nelson,0,2
12.000,,12,Danny Amendola,0,1
0.000,,0,David Roach,0,1
11.000,,12,Alvin Pearman,0,2
4.000,,4,Davone Bess,0,1
0.000,,0,Ted Ginn,0,1
10.000,,14,Kenny McKinley,0,3
13.000,,13,Eddie Royal,0,1
12.000,,15,Johnnie Lee Higgins,0,4
1.000,,9,Darren Sproles,0,3
7.000,,7,Quan Cosby,0,1
0.000,,0,Justin Forsett,0,0
18.000,,33,Sammie Stroughter,0,4
2.000,,7,Captain Munnerlyn,0,3
14.000,,34,Darius Reynaud,0,4
3.000,,5,Santana Moss,0,2
12.000,,15,Domenik Hixon,0,2
0.000,,0,Kevin Kaesviharn,0,0
6.000,,6,Darren Sproles,0,1
12.000,,28,Eric Weems,0,5
0.000,,0,Roscoe Parrish,0,1
11.000,,12,Quan Cosby,0,2
4.000,,4,Bobby Wade,0,1
5.000,,14,Josh Cribbs,0,4
1.000,,2,Johnnie Lee Higgins,0,2
0.000,,0,Jordy Nelson,0,0
20.000,,20,Justin Forsett,0,1
8.000,,8,Davone Bess,0,1
-1.000,,0,Jacoby Jones,0,2
0.000,,0,Domenik Hixon,0,0
3.000,,11,Captain Munnerlyn,0,3
9.000,,9,Wes Welker,0,1
0.000,,0,Mike Thomas,0,1
14.000,,14,Reggie Bush,0,1
40.000,,77,Micheal Spurlock,1,2
5.000,,10,DeSean Jackson,0,3
11.000,,21,Alphonso Smith,0,3
17.000,,17,Stefan Logan,0,1
0.000,,0,Mewelde Moore,0,0
12.000,,14,Chris Carr,0,2
4.000,,8,Steve Breaston,0,4
26.000,,34,Danny Amendola,0,3
10.000,,10,Arnaz Battle,0,1
5.000,,9,Brian Witherspoon,0,2
4.000,,7,TJ Rushing,0,2
14.000,,14,Jerricho Cotchery,0,2
6.000,,8,Santana Moss,0,2
0.000,,0,DeAngelo Hall,0,1
-1.000,,2,Patrick Crayton,0,2
2.000,,6,Earl Bennett,0,3
1.000,,3,Darius Reynaud,0,2
0.000,,0,Asher Allen,0,0
4.000,,11,Roscoe Parrish,0,4
5.000,,11,TJ Rushing,0,2
9.000,,31,Captain Munnerlyn,0,4
5.000,,11,Reggie Bush,0,2
0.000,,0,Devery Henderson,0,0
6.000,,12,Josh Cribbs,0,3
7.000,,7,Nate Hughes,0,1
0.000,,0,William Middleton,0,1
6.000,,16,Patrick Crayton,0,4
4.000,,9,DeSean Jackson,0,2
5.000,,10,Dennis Northcutt,0,2
