kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
160,3,54,49,P McCallum,451,12
423,7,72,44,J Boreham,222,6
125,2,63,47,N Prefontaine,278,7
105,3,41,108,C Milo,412,8
36,1,36,51,J Medlock,244,7
238,4,66,47,P McCallum,220,6
366,6,65,61,D Duval,266,6
261,5,58,43,S Whyte,304,8
0,0,0,74,B Dales,303,6
0,0,0,56,N Prefontaine,280,6
335,5,85,61,J Medlock,431,9
318,5,70,54,D Duval,408,9
150,3,55,49,C Milo,404,10
0,0,0,59,B Dales,240,5
250,4,69,49,J Boreham,249,6
474,8,63,50,P McCallum,177,4
53,1,53,64,S Whyte,430,10
422,7,64,55,S Whyte,285,6
478,7,72,44,J Medlock,243,6
413,7,74,64,D Duval,414,9
0,0,0,67,B Dales,410,8
102,2,59,40,J Boreham,276,9
53,1,53,74,J Medlock,449,12
318,6,58,44,P McCallum,184,5
251,5,63,48,D Duval,193,5
364,6,63,57,P McCallum,354,8
251,5,64,47,J Boreham,325,9
