ats margin, ats streak, cdivision, coach, completions, conference, date, day, division, dpa, dps, first downs, fourth downs attempted, fourth downs made, full name, fumbles, fumbles lost, game number, game type, heritage total open, interceptions, line, losses, margin, margin after the first, margin after the third, margin at the half, matchup losses, matchup wins, month, mybookie total open, opponents, ou margin, ou streak, overtime, passes, passing yards, penalties, penalties yards, penalty yards, playoffs, points, quarter scores, rank, rest, rot, round, rushes, rushing yards, school, season, seed, site, site streak, start time, streak, team, temperature, third downs attempted, third downs made, time of possession, total, turnover margin, turnovers, week, wind, wins
26.000,0,,Curley Hallman,,IND,19890902,Saturday,1A,,,,,,Southern Mississippi Golden Eagles,,,1,RS,,,22.000,0,4,,,,0,0,9,,[],,0,0,,,,,,0,30,,,,,,,,,1989,,away,0,,0,SMIS,,,,,,,,1,,0
22.000,0,,Jim Sweeney,,BW,19890902,Saturday,1A,,,,,,Fresno State Bulldogs,,,1,RS,,,-8.000,0,30,,,,0,0,9,,[],,0,0,,,,,,0,52,,,,,,,,,1989,,home,0,,0,FRES,,,,,,,,1,,0
-22.000,0,,Jim Fassel,,WAC,19890902,Saturday,1A,,,,,,Utah Utes,,,1,RS,,,8.000,0,-30,,,,0,0,9,,[],,0,0,,,,,,0,22,,,,,,,,,1989,,away,0,,0,UTAH,,,,,,,,1,,0
-7.000,0,,Bob Wagner,,WAC,19890902,Saturday,1A,,,,,,Hawaii Rainbow Warriors,,,1,RS,,,-12.000,0,5,,,,0,0,9,,[],,0,0,,,,,,0,31,,,,,,,,,1989,,home,0,,0,HAW,,,,,,,,1,,0
7.000,0,,Greg Davis,,IND,19890902,Saturday,1A,,,,,,Tulane Green Wave,,,1,RS,,,12.000,0,-5,,,,0,0,9,,[],,0,0,,,,,,0,26,,,,,,,,,1989,,away,0,,0,TLN,,,,,,,,1,,0
,0,,Glen Mason,,B12,19890902,Saturday,1A,,,,,,Kansas Jayhawks,,,1,NL,,,,0,24,,,,0,0,9,,[],,0,0,,,,,,0,41,,,,,,,,,1989,,home,0,,0,KAN,,,,,,,,1,,0
,0,,,,Big Sky,19890902,Saturday,1AA,,,,,,Montana State Bobcats,,,1,NL,,,,0,-24,,,,0,0,9,,[],,0,0,,,,,,0,17,,,,,,,,,1989,,away,0,,0,MONS,,,,,,,,1,,0
,0,,Nelson Stokley,,IND,19890902,Saturday,1A,,,,,,UL Lafayette Ragin Cajuns,,,1,NL,,,,0,-26,,,,0,0,9,,[],,0,0,,,,,,0,14,,,,,,,,,1989,,home,0,,0,LLAF,,,,,,,,1,,0
,0,,Joe Peace,,IND,19890902,Saturday,1A,,,,,,Louisiana Tech Bulldogs,,,1,NL,,,,0,26,,,,0,0,9,,[],,0,0,,,,,,0,40,,,,,,,,,1989,,away,0,,0,LTCH,,,,,,,,1,,0
-6.000,0,,Chuck Stobart,,IND,19890902,Saturday,1A,,,,,,Memphis Tigers,,,1,RS,,,1.000,0,-7,,,,0,0,9,,[],,0,0,,,,,,0,13,,,,,,,,,1989,,home,0,,0,MEM,,,,,,,,1,,0
6.000,0,,Billy Brewer,,SEC,19890902,Saturday,1A,,,,,,Mississippi Rebels,,,1,RS,,,-1.000,0,7,,,,0,0,9,,[],,0,0,,,,,,0,20,,,,,,,,,1989,,away,0,,0,MIS,,,,,,,,1,,0
31.000,0,,Rockey Felker,,SEC,19890902,Saturday,1A,,,,,,Mississippi State Bulldogs,,,1,RS,,,-4.000,0,35,,,,0,0,9,,[],,0,0,,,,,,0,42,,,,,,,,,1989,,home,0,,0,MSST,,,,,,,,1,,0
-31.000,0,,Watson Brown,,SEC,19890902,Saturday,1A,,,,,,Vanderbilt Commodores,,,1,RS,,,4.000,0,-35,,,,0,0,9,,[],,0,0,,,,,,0,7,,,,,,,,,1989,,away,0,,0,VAN,,,,,,,,1,,0
-6.000,0,,Dick Sheridan,,ACC,19890902,Saturday,1A,,,,,,North Carolina State Wolfpack,,,1,RS,,,-10.000,0,4,,,,0,0,9,,[],,0,0,,,,,,0,10,,,,,,,,,1989,,home,0,,0,NCST,,,,,,,,1,,0
6.000,0,,Joe Krivak,,ACC,19890902,Saturday,1A,,,,,,Maryland Terrapins,,,1,RS,,,10.000,0,-4,,,,0,0,9,,[],,0,0,,,,,,0,6,,,,,,,,,1989,,away,0,,0,MARY,,,,,,,,1,,0
9.000,0,,Mike Sheppard,,WAC,19890902,Saturday,1A,,,,,,New Mexico Lobos,,,1,RS,,,30.000,0,-21,,,,0,0,9,,[],,0,0,,,,,,0,3,,,,,,,,,1989,,home,0,,0,NMX,,,,,,,,1,,0
-9.000,0,,LaVell Edwards,,WAC,19890902,Saturday,1A,,,,,,Brigham Young Cougars,,,1,RS,,,-30.000,0,21,,,,0,0,9,,[],,0,0,,,,,,0,24,,,,,,,,,1989,,away,0,,0,BYU,,,,,,,,1,,0
,0,,Gary Gibbs,,B12,19890902,Saturday,1A,,,,,,Oklahoma Sooners,,,1,NL,,,,0,70,,,,0,0,9,,[],,0,0,,,,,,0,73,,,,,,,,,1989,,home,0,,0,OKLA,,,,,,,,1,,0
,0,,Mike Knoll,,BW,19890902,Saturday,1A,,,,,,New Mexico State Aggies,,,1,NL,,,,0,-70,,,,0,0,9,,[],,0,0,,,,,,0,3,,,,,,,,,1989,,away,0,,0,NMST,,,,,,,,1,,0
-6.000,0,,Mike Gottfried,,IND,19890902,Saturday,1A,,,,,,Pittsburgh Panthers,,,1,RS,,,-41.000,0,35,,,,0,0,9,,[],,0,0,,,,,,0,38,,,,,,,,,1989,,home,0,,0,PIT,,,,,,,,1,,0
6.000,0,,,,,19890902,Saturday,,,,,,,,,,1,RS,,,41.000,0,-35,,,,0,0,9,,[],,0,0,,,,,,0,3,,,,,,,,,1989,,away,0,,0,APAC,,,,,,,,1,,0
-0.500,0,,Sparky Woods,,IND,19890902,Saturday,1A,,,,,,South Carolina Gamecocks,,,1,RS,,,-6.500,0,6,,,,0,0,9,,[],,0,0,,,,,,0,27,,,,,,,,,1989,,home,0,,0,SCAR,,,,,,,,1,,0
0.500,0,,Steve Spurrier,,ACC,19890902,Saturday,1A,,,,,,Duke Blue Devils,,,1,RS,,,6.500,0,-6,,,,0,0,9,,[],,0,0,,,,,,0,21,,,,,,,,,1989,,away,0,,0,DUKE,,,,,,,,1,,0
-12.500,0,,Forrest Gregg,,SWC,19890902,Saturday,1A,,,,,,Southern Methodist Mustangs,,,1,RS,,,16.500,0,-29,,,,0,0,9,,[],,0,0,,,,,,0,6,,,,,,,,,1989,,home,0,,0,SMU,,,,,,,,1,,0
12.500,0,,Fred Goldsmith,,SWC,19890902,Saturday,1A,,,,,,Rice Owls,,,1,RS,,,-16.500,0,29,,,,0,0,9,,[],,0,0,,,,,,0,35,,,,,,,,,1989,,away,0,,0,RICE,,,,,,,,1,,0
-15.500,0,,Johnny Majors,,SEC,19890902,Saturday,1A,,,,,,Tennessee Volunteers,,,1,RS,,,-18.500,0,3,,,,0,0,9,,[],,0,0,,,,,,0,17,,,,,,,,,1989,,home,0,,0,TEN,,,,,,,,1,,0
15.500,0,,Earle Bruce,,WAC,19890902,Saturday,1A,,,,,,Colorado State Rams,,,1,RS,,,18.500,0,-3,,,,0,0,9,,[],,0,0,,,,,,0,14,,,,,,,,,1989,,away,0,,0,COST,,,,,,,,1,,0
14.000,0,,R.C. Slocum,,SWC,19890902,Saturday,1A,,,,,,Texas A&M Aggies,,,1,RS,,,2.000,0,12,,,,0,0,9,,[],,0,0,,,,,,0,28,,,,,,,,,1989,,home,0,,0,TXAM,,,,,,,,1,,0
-14.000,0,,Mike Archer,,SEC,19890902,Saturday,1A,,,,,,Louisiana State Tigers,,,1,RS,,,-2.000,0,-12,,,,0,0,9,,[],,0,0,,,,,,0,16,,,,,,,,,1989,,away,0,,0,LSU,,,,,,,,1,,0
,0,,Wayne Nunnely,,BW,19890902,Saturday,1A,,,,,,UNLV Rebels,,,1,NL,,,,0,-69,,,,0,0,9,,[],,0,0,,,,,,0,0,,,,,,,,,1989,,home,0,,0,UNLV,,,,,,,,1,,0
,0,,Jack Pardee,,SWC,19890902,Saturday,1A,,,,,,Houston Cougars,,,1,NL,,,,0,69,,,,0,0,9,,[],,0,0,,,,,,0,69,,,,,,,,,1989,,away,0,,0,HOU,,,,,,,,1,,0
-11.500,0,,David Lee,,WAC,19890902,Saturday,1A,,,,,,Texas El Paso Miners,,,1,RS,,,-2.500,0,-9,,,,0,0,9,,[],,0,0,,,,,,0,14,,,,,,,,,1989,,home,0,,0,UTEP,,,,,,,,1,,0
11.500,0,,Dave Radar,,IND,19890902,Saturday,1A,,,,,,Tulsa Golden Hurricane,,,1,RS,,,2.500,0,9,,,,0,0,9,,[],,0,0,,,,,,0,23,,,,,,,,,1989,,away,0,,0,TLS,,,,,,,,1,,0
11.500,0,,Frank Beamer,,IND,19890902,Saturday,1A,,,,,,Virginia Tech Hokies,,,1,RS,,,-14.500,0,26,,,,0,0,9,,[],,0,0,,,,,,0,29,,,,,,,,,1989,,home,0,,0,VTCH,,,,,,,,1,,0
-11.500,0,,Gerry Faust,,IND,19890902,Saturday,1A,,,,,,Akron Zips,,,1,RS,,,14.500,0,-26,,,,0,0,9,,[],,0,0,,,,,,0,3,,,,,,,,,1989,,away,0,,0,AKRON,,,,,,,,1,,0
,0,,Don James,,P10,19890902,Saturday,1A,,,,,,Washington State Cougars,,,1,NL,,,,0,34,,,,0,0,9,,[],,0,0,,,,,,0,41,,,,,,,,,1989,,home,0,,0,WAST,,,,,,,,1,,0
,0,,John L. Smith,,IAA,19890902,Saturday,1A,,,,,,Idaho Vandals,,,1,NL,,,,0,-34,,,,0,0,9,,[],,0,0,,,,,,0,7,,,,,,,,,1989,,away,0,,0,IDA,,,,,,,,1,,0
10.500,0,,Al Molde,,MAC,19890902,Saturday,1A,,,,,,Western Michigan Broncos,,,1,RS,,,3.500,0,7,,,,0,0,9,,[],,0,0,,,,,,0,31,,,,,,,,,1989,,home,0,,0,WMCH,,,,,,,,1,,0
-10.500,0,,Jerry Berndt,,IND,19890902,Saturday,1A,,,,,,Temple Owls,,,1,RS,,,-3.500,0,-7,,,,0,0,9,,[],,0,0,,,,,,0,24,,,,,,,,,1989,,away,0,,0,TEM,,,,,,,,1,,0
-2.500,0,,Don Nehlen,,IND,19890902,Saturday,1A,,,,,,West Virginia Mountaineers,,,1,RS,,,-27.500,0,25,,,,0,0,9,,[],,0,0,,,,,,0,35,,,,,,,,,1989,,home,0,,0,WVA,,,,,,,,1,,0
2.500,0,,Paul Schudel,,MAC,19890902,Saturday,1A,,,,,,Ball State Cardinals,,,1,RS,,,27.500,0,-25,,,,0,0,9,,[],,0,0,,,,,,0,10,,,,,,,,,1989,,away,0,,0,BALL,,,,,,,,1,,0
-17.000,0,,Paul Roach,,WAC,19890902,Saturday,1A,,,,,,Wyoming Cowboys,,,1,RS,,,-10.000,0,-7,,,,0,0,9,,[],,0,0,,,,,,0,21,,,,,,,,,1989,,home,0,,0,WYO,,,,,,,,1,,0
17.000,0,,Howard Schnellenberger,,IND,19890902,Saturday,1A,,,,,,Louisville Cardinals,,,1,RS,,,10.000,0,7,,,,0,0,9,,[],,0,0,,,,,,0,28,,,,,,,,,1989,,away,0,,0,LOU,,,,,,,,1,,0
10.000,0,,Bill McCartney,,B12,19890904,Monday,1A,,,,,,Colorado Buffaloes,,,1,RS,,,-11.000,0,21,,,,0,0,9,,[],,0,0,,,,,,0,27,,,,,,,,,1989,,home,0,,0,COLO,,,,,,,,1,,0
-10.000,0,,David McWilliams,,SWC,19890904,Monday,1A,,,,,,Texas Longhorns,,,1,RS,,,11.000,0,-21,,,,0,0,9,,[],,0,0,,,,,,0,6,,,,,,,,,1989,,away,0,,0,TEX,,,,,,,,1,,0
-15.500,0,,Larry Smith,,P10,19890904,Monday,1A,,,,,,Southern California Trojans,,,1,RS,,,-14.500,0,-1,,,,0,0,9,,[],,0,0,,,,,,0,13,,,,,,,,,1989,,home,0,,0,USC,,,,,,,,1,,0
15.500,0,,John Mackovic,,B10,19890904,Monday,1A,,,,,,Illinois Fighting Illini,,,1,RS,,,14.500,0,1,,,,0,0,9,,[],,0,0,,,,,,0,14,,,,,,,,,1989,,away,0,,0,ILL,,,,,,,,1,,0
35.000,1,,Fisher DeBerry,,WAC,19890909,Saturday,1A,,,,,,Air Force Falcons,,,2,RS,,,-3.000,0,38,,,,0,0,9,,['SDST'],,,0,,,,,,0,45,,,6,,,,,,1989,,home,1,,1,AIR,,,,,,,,2,,1
-35.000,-1,,Paul Roach,,WAC,19890909,Saturday,1A,,,,,,Wyoming Cowboys,,,2,RS,,,3.000,1,-38,,,,0,0,9,,['LOU'],,,0,,,,,,0,7,,,6,,,,,,1989,,away,1,,-1,WYO,,,,,,,,2,,0
6.000,0,,Pat Dye,,SEC,19890909,Saturday,1A,,,,,,Auburn Tigers,,,1,RS,,,-49.000,0,55,,,,0,0,9,,[],,0,0,,,,,,0,55,,,,,,,,,1989,,home,0,,0,AUB,,,,,,,,2,,0
-6.000,1,,,,,19890909,Saturday,,,,,,,,,,2,RS,,,49.000,1,-55,,,,0,0,9,,['PIT'],,,0,,,,,,0,0,,,6,,,,,,1989,,away,-1,,-1,APAC,,,,,,,,2,,0
5.000,0,,Larry Marmie,,P10,19890909,Saturday,1A,,,,,,Arizona State Sun Devils,,,1,RS,,,-26.000,0,31,,,,0,0,9,,[],,0,0,,,,,,0,31,,,,,,,,,1989,,home,0,,0,AZST,,,,,,,,2,,0
-5.000,0,,Bill Snyder,,B12,19890909,Saturday,1A,,,,,,Kansas State Wildcats,,,1,RS,,,26.000,0,-31,,,,0,0,9,,[],,0,0,,,,,,0,0,,,,,,,,,1989,,away,0,,0,KAST,,,,,,,,2,,0
-15.000,0,,Jack Bicknell,,IND,19890909,Saturday,1A,,,,,,Boston College Eagles,,,1,RS,,,4.000,0,-19,,,,0,0,9,,[],,0,0,,,,,,0,10,,,,,,,,,1989,,home,0,,0,BCOL,,,,,,,,2,,0
15.000,-1,,Mike Gottfried,,IND,19890909,Saturday,1A,,,,,,Pittsburgh Panthers,,,2,RS,,,-4.000,0,19,,,,0,0,9,,['APAC'],,,0,,,,,,0,29,,,6,,,,,,1989,,away,1,,1,PIT,,,,,,,,2,,1
-12.000,-1,,LaVell Edwards,,WAC,19890909,Saturday,1A,,,,,,Brigham Young Cougars,,,2,RS,,,-7.000,0,-5,,,,0,0,9,,['NMX'],,,0,,,,,,0,41,,,6,,,,,,1989,,home,-1,,1,BYU,,,,,,,,2,,1
12.000,,,Don James,,P10,19890909,Saturday,1A,,,,,,Washington State Cougars,,,2,RS,,,7.000,0,5,,,,0,0,9,,['IDA'],,,0,,,,,,0,46,,,6,,,,,,1989,,away,1,,1,WAST,,,,,,,,2,,1
7.000,1,,Bill McCartney,,B12,19890909,Saturday,1A,,,,,,Colorado Buffaloes,,,2,RS,,,-18.000,0,25,,,,0,0,9,,['TEX'],,,0,,,,,,0,45,,,4,,,,,,1989,,home,1,,1,COLO,,,,,,,,2,,1
-7.000,1,,Earle Bruce,,WAC,19890909,Saturday,1A,,,,,,Colorado State Rams,,,2,RS,,,18.000,1,-25,,,,0,0,9,,['TEN'],,,0,,,,,,0,20,,,6,,,,,,1989,,away,-1,,-1,COST,,,,,,,,2,,0
-9.000,1,,Steve Spurrier,,ACC,19890909,Saturday,1A,,,,,,Duke Blue Devils,,,2,RS,,,-19.000,1,10,,,,0,0,9,,['SCAR'],,,0,,,,,,0,41,,,6,,,,,,1989,,home,-1,,-1,DUKE,,,,,,,,2,,0
9.000,0,,Francis Peay,,B10,19890909,Saturday,1A,,,,,,Northwestern Wildcats,,,1,RS,,,19.000,0,-10,,,,0,0,9,,[],,0,0,,,,,,0,31,,,,,,,,,1989,,away,0,,0,NORW,,,,,,,,2,,0
,0,,Bill Lewis,,IND,19890909,Saturday,1A,,,,,,East Carolina Pirates,,,1,NL,,,,0,35,,,,0,0,9,,[],,0,0,,,,,,0,41,,,,,,,,,1989,,home,0,,0,ECAR,,,,,,,,2,,0
,0,,Moe Ankney,,MAC,19890909,Saturday,1A,,,,,,Bowling Green Falcons,,,1,NL,,,,0,-35,,,,0,0,9,,[],,0,0,,,,,,0,6,,,,,,,,,1989,,away,0,,0,BOWL,,,,,,,,2,,0
-14.000,0,,Gary Darnell,,SEC,19890909,Saturday,1A,,,,,,Florida Gators,,,1,RS,,,-9.000,0,-5,,,,0,0,9,,[],,0,0,,,,,,0,19,,,,,,,,,1989,,home,0,,0,FLA,,,,,,,,2,,0
14.000,1,,Billy Brewer,,SEC,19890909,Saturday,1A,,,,,,Mississippi Rebels,,,2,RS,,,9.000,0,5,,,,0,0,9,,['MEM'],,,0,,,,,,0,24,,,6,,,,,,1989,,away,-1,,1,MIS,,,,,,,,2,,1
-17.500,-1,,Bobby Bowden,,IND,19890909,Saturday,1A,,,,,,Florida State Seminoles,,,2,RS,,,-6.500,1,-11,,,,0,0,9,,['SMIS'],,,0,,,,,,0,23,,,6,,,,,,1989,,home,1,,-1,FLST,,,,,,,,2,,0
17.500,,,Danny Ford,,ACC,19890909,Saturday,1A,,,,,,Clemson Tigers,,,2,RS,,,6.500,0,11,,,,0,0,9,,['FUR'],,,0,,,,,,0,34,,,6,,,,,,1989,,away,1,,1,CLEM,,,,,,,,2,,1
8.500,0,,Jim Walden,,B12,19890909,Saturday,1A,,,,,,Iowa State Cyclones,,,1,RS,,,-16.500,0,25,,,,0,0,9,,[],,0,0,,,,,,0,28,,,,,,,,,1989,,home,0,,0,IWST,,,,,,,,2,,0
-8.500,0,,Cleve Bryant,,MAC,19890909,Saturday,1A,,,,,,Ohio Bobcats,,,1,RS,,,16.500,0,-25,,,,0,0,9,,[],,0,0,,,,,,0,3,,,,,,,,,1989,,away,0,,0,OHU,,,,,,,,2,,0
11.000,,,Glen Mason,,B12,19890909,Saturday,1A,,,,,,Kansas Jayhawks,,,2,RS,,,16.000,0,-5,,,,0,0,9,,['MONS'],,,0,,,,,,0,28,,,6,,,,,,1989,,home,1,,1,KAN,,,,,,,,2,,1
-11.000,1,,Howard Schnellenberger,,IND,19890909,Saturday,1A,,,,,,Louisville Cardinals,,,2,RS,,,-16.000,0,5,,,,0,0,9,,['WYO'],,,0,,,,,,0,33,,,6,,,,,,1989,,away,-1,,1,LOU,,,,,,,,2,,1
-2.500,0,,Jerry Claiborne,,SEC,19890909,Saturday,1A,,,,,,Kentucky Wildcats,,,1,RS,,,-5.500,0,3,,,,0,0,9,,[],,0,0,,,,,,0,17,,,,,,,,,1989,,home,0,,0,KTKY,,,,,,,,2,,0
2.500,0,,Bill Mallory,,B10,19890909,Saturday,1A,,,,,,Indiana Hoosiers,,,1,RS,,,5.500,0,-3,,,,0,0,9,,[],,0,0,,,,,,0,14,,,,,,,,,1989,,away,0,,0,IND,,,,,,,,2,,0
,,,Nelson Stokley,,IND,19890909,Saturday,1A,,,,,,UL Lafayette Ragin Cajuns,,,2,NL,,,,1,2,,,,0,0,9,,['LTCH'],,,0,,,,,,0,22,,,6,,,,,,1989,,home,1,,-1,LLAF,,,,,,,,2,,0
,0,,Herb Deromedi,,MAC,19890909,Saturday,1A,,,,,,Central Michigan Chippewas,,,1,NL,,,,0,-2,,,,0,0,9,,[],,0,0,,,,,,0,20,,,,,,,,,1989,,away,0,,0,CMCH,,,,,,,,2,,0
6.000,1,,Joe Krivak,,ACC,19890909,Saturday,1A,,,,,,Maryland Terrapins,,,2,RS,,,10.000,1,-4,,,,0,0,9,,['NCST'],,,0,,,,,,0,10,,,6,,,,,,1989,,home,-1,,-1,MARY,,,,,,,,2,,0
-6.000,-1,,Don Nehlen,,IND,19890909,Saturday,1A,,,,,,West Virginia Mountaineers,,,2,RS,,,-10.000,0,4,,,,0,0,9,,['BALL'],,,0,,,,,,0,14,,,6,,,,,,1989,,away,1,,1,WVA,,,,,,,,2,,1
,-1,,Chuck Stobart,,IND,19890909,Saturday,1A,,,,,,Memphis Tigers,,,2,NL,,,,1,-5,,,,0,0,9,,['MIS'],,,0,,,,,,0,10,,,6,,,,,,1989,,home,1,,-1,MEM,,,,,,,,2,,0
,0,,Larry Lacewell,,IAA,19890909,Saturday,1A,,,,,,Arkansas State Red Wolves,,,1,NL,,,,0,5,,,,0,0,9,,[],,0,0,,,,,,0,15,,,,,,,,,1989,,away,0,,0,AKST,,,,,,,,2,,0
-6.000,0,,Bob Stull,,B12,19890909,Saturday,1A,,,,,,Missouri Tigers,,,1,RS,,,-10.000,0,4,,,,0,0,9,,[],,0,0,,,,,,0,14,,,,,,,,,1989,,home,0,,0,MIZ,,,,,,,,2,,0
6.000,0,,Jim Wacker,,SWC,19890909,Saturday,1A,,,,,,Texas Christian Horned Frogs,,,1,RS,,,10.000,0,-4,,,,0,0,9,,[],,0,0,,,,,,0,10,,,,,,,,,1989,,away,0,,0,TCU,,,,,,,,2,,0
,0,,Mack Brown,,ACC,19890909,Saturday,1A,,,,,,North Carolina Tar Heels,,,1,NL,,,,0,42,,,,0,0,9,,[],,0,0,,,,,,0,49,,,,,,,,,1989,,home,0,,0,NCAR,,,,,,,,2,,0
,0,,,,Southern,19890909,Saturday,1AA,,,,,,Virginia Military Keydets,,,1,NL,,,,0,-42,,,,0,0,9,,[],,0,0,,,,,,0,7,,,,,,,,,1989,,away,0,,0,VMI,,,,,,,,2,,0
0.000,-1,,Dick Sheridan,,ACC,19890909,Saturday,1A,,,,,,North Carolina State Wolfpack,,,2,RS,,,-10.000,0,10,,,,0,0,9,,['MARY'],,,0,,,,,,0,38,,,6,,,,,,1989,,home,1,,1,NCST,,,,,,,,2,,1
0.000,0,,Bobby Ross,,ACC,19890909,Saturday,1A,,,,,,Georgia Tech Yellow Jackets,,,1,RS,,,10.000,0,-10,,,,0,0,9,,[],,0,0,,,,,,0,28,,,,,,,,,1989,,away,0,,0,GTCH,,,,,,,,2,,0
-11.500,0,,Tom Osborne,,B12,19890909,Saturday,1A,,,,,,Nebraska Cornhuskers,,,1,RS,,,-42.500,0,31,,,,0,0,9,,[],,0,0,,,,,,0,48,,,,,,,,,1989,,home,0,,0,NEB,,,,,,,,2,,0
11.500,0,,Jerry Pettibone,,IND,19890909,Saturday,1A,,,,,,Northern Illinois Huskies,,,1,RS,,,42.500,0,-31,,,,0,0,9,,[],,0,0,,,,,,0,17,,,,,,,,,1989,,away,0,,0,NIL,,,,,,,,2,,0
19.000,1,,Mike Sheppard,,WAC,19890909,Saturday,1A,,,,,,New Mexico Lobos,,,2,RS,,,-13.000,1,32,,,,0,0,9,,['BYU'],,,0,,,,,,0,45,,,6,,,,,,1989,,home,1,,-1,NMX,,,,,,,,2,,0
-19.000,,,Mike Knoll,,BW,19890909,Saturday,1A,,,,,,New Mexico State Aggies,,,2,RS,,,13.000,1,-32,,,,0,0,9,,['OKLA'],,,0,,,,,,0,13,,,6,,,,,,1989,,away,-1,,-1,NMST,,,,,,,,2,,0
8.000,,,Gary Gibbs,,B12,19890909,Saturday,1A,,,,,,Oklahoma Sooners,,,2,RS,,,-18.000,0,26,,,,0,0,9,,['NMST'],,,0,,,,,,0,33,,,6,,,,,,1989,,home,1,,1,OKLA,,,,,,,,2,,1
-8.000,0,,Grant Teaff,,SWC,19890909,Saturday,1A,,,,,,Baylor Bears,,,1,RS,,,18.000,0,-26,,,,0,0,9,,[],,0,0,,,,,,0,7,,,,,,,,,1989,,away,0,,0,BAY,,,,,,,,2,,0
8.500,0,,Rich Brooks,,P10,19890909,Saturday,1A,,,,,,Oregon Ducks,,,1,RS,,,-7.500,0,16,,,,0,0,9,,[],,0,0,,,,,,0,35,,,,,,,,,1989,,home,0,,0,ORE,,,,,,,,2,,0
-8.500,0,,Bruce Snyder,,P10,19890909,Saturday,1A,,,,,,California Golden Bears,,,1,RS,,,7.500,0,-16,,,,0,0,9,,[],,0,0,,,,,,0,19,,,,,,,,,1989,,away,0,,0,CAL,,,,,,,,2,,0
9.000,0,,Dave Kragthorpe,,P10,19890909,Saturday,1A,,,,,,Oregon State Beavers,,,1,RS,,,5.000,0,4,,,,0,0,9,,[],,0,0,,,,,,0,20,,,,,,,,,1989,,home,0,,0,ORST,,,,,,,,2,,0
-9.000,-1,,Dennis Green,,P10,19890909,Saturday,1A,,,,,,Stanford Cardinal,,,2,RS,,,-5.000,1,-4,,,,0,0,9,,['ARZ'],,,0,,,,,,0,16,,,6,,,,,,1989,,away,-1,,-1,STAN,,,,,,,,2,,0
