kickoff return yards, kickoff returns, longest kickoff return, name
8,1,8,H Krieger Coble
38,2,19,D Woods
36,2,21,T Dudley Giles
1,1,1,J Wilson
134,5,43,J Blue
51,4,19,R Clark
22,1,22,D Surgent
12,1,12,M Carter
29,2,17,C Fortson
25,1,25,R Tyler
15,1,15,J Johnson
12,1,12,D Bolt
14,1,14,O Beckham Jr
43,2,23,E Calhoun
14,1,14,D Polk
43,2,24,N Hill
138,5,54,A Stubbs
7,1,0,M Wheary
30,2,23,D Dileo
19,1,19,J Chesson
15,1,15,D Norfleet
42,2,21,M Traylor Bennett
19,1,19,F Bickley
70,3,25,M Jones
24,2,22,A Ford
16,1,16,F Salomon
50,2,32,R Whatley
73,3,34,M Warford
14,1,14,B McCain
26,1,26,M Thomas
18,1,18,G Whiteside
114,5,37,M Johnson
26,1,26,S Clark
21,2,16,K Bell
14,1,14,T Newby
50,4,19,D Johnson
45,2,23,A Shapiro
42,2,25,A Golden
47,1,47,M Harris
6,1,6,A Scanlan
35,2,18,D Chance
13,1,13,A Guido
75,3,29,B Chancellor
28,1,28,J Jones
21,1,21,B Byrd
23,1,23,J Smith
18,1,18,K Mabon
23,1,23,D Bass
20,1,20,D Patterson
0,0,0,T Davis
77,3,33,D Reaves
45,3,26,S Butler
52,2,28,T Franks
29,1,29,T Watts
24,1,24,D Walker Jr
16,1,16,K Lucas
21,1,21,J Gilbert
73,5,20,K Johnson
17,1,17,M Handy
58,2,32,D Thomas
17,1,17,T Hill
111,5,27,V Dallas
32,2,19,J Toney
34,2,17,L Pitts
22,1,22,T Boyd
15,1,15,K Weatherspoon
134,4,74,C Wiggins
30,2,20,D Anaya
10,1,10,R Williams
106,4,44,E Lewis
56,3,23,V Walker
115,5,28,R Hall
68,2,39,B Knauf
119,4,47,G Atkinson III
131,2,99,Q Pratt
13,1,13,J Deering
40,3,17,T Allen
64,2,27,T Glover
38,2,21,A Andrews
30,1,30,A Wales
11,1,11,C Franks
9,2,8,S Johnson
3,1,3,M Henry
31,2,18,S Carson
128,5,34,D Sims
14,1,14,T McGaster
81,4,30,D Hopkins
83,3,33,R Brown
19,1,19,G Morris II
106,6,31,M McKinnon
28,2,16,B Peoples
21,1,21,N Williams
92,3,43,J Thomas
21,1,21,J Gilmore
18,1,18,R Anderson
0,1,0,C Parthemore
76,5,21,J Solano
92,3,51,K Sanders
24,1,24,K Moore
18,1,18,J Walton
30,2,20,B Reedy
5,1,5,R Bush
57,3,20,S Hill
90,4,40,L Gonzalez
16,2,16,B Williams
83,4,35,C Jones
65,3,26,K Whitely
97,4,28,J Harris
18,1,18,B Masztak
58,3,26,M Willis
23,1,23,D Dudeck
60,3,23,D McClellon
24,1,24,C Henderson
112,6,35,V Bolden
33,2,17,T Ward
44,1,44,K Williams
73,4,21,C Dixon
17,1,17,A Coney
15,1,15,B Bolen
-8,1,0,Z Smith
32,2,18,J Armstrong
63,3,31,C Davis
35,1,35,R Galvin
28,1,28,T Caldwell
27,2,19,C Morgan
9,1,9,J Allie
54,2,38,R Carswell
106,5,33,A Wilson
15,1,15,K Hill
23,1,23,E Hamilton
81,5,27,J Alston
124,6,31,D Root
155,5,58,D Burroughs
10,1,10,C Bertoli
42,1,42,D Rushing
20,1,21,A LaCoste
10,1,10,R Cannon
14,1,14,J Claiborne
68,3,26,F Bickley
33,2,17,M Traylor Bennett
31,1,31,D Surgent
14,1,14,M Carter
11,1,11,M Jackson
9,1,9,N Byrne
46,2,24,C Jones
14,1,14,D White
116,6,27,T Coffman
44,3,19,J Noble
24,1,24,J Armstrong
88,5,23,C Davis
18,1,18,D McNeal
19,1,19,R Moore
10,1,10,C Pohlman
43,2,26,W Powell
9,1,9,B Wicks
63,3,25,P Lasike
45,2,24,A Hine
39,2,25,D McClellon
0,1,0,J Harris
53,1,50,B Reedy
3,1,3,C McDowell
45,2,29,D Norfleet
61,3,27,S Powell
41,2,25,J Barnes
85,4,29,T Boyd
25,1,25,K Weatherspoon
