interception touchdowns, interception yards, interceptions, name
0,27,1,B Burris
0,0,1,T Williams
0,39,1,J Forrest
0,0,1,III
0,0,1,I Newsome
0,12,1,D Strozier
0,11,1,J Batiste
0,0,1,S Tolbert
0,0,1,B Vereen
0,1,1,J Morris
0,0,1,C Kirksey
0,0,1,E Gaines
0,0,1,T Boston
0,7,1,C Thompson
0,37,1,D Green
0,26,1,H Jones
0,0,1,J Stanley
0,0,1,J Wilson
0,6,1,C Garrett
0,21,1,C Spears
0,24,1,C Nelson
0,17,1,F Shannon
0,0,1,J Wilson
0,15,1,B Roby
0,0,1,I Ekpre Olomu
0,27,1,R Murphy
0,0,1,R Reynolds
0,36,1,G Henderson
0,0,1,A Harris
0,0,1,D Nicholson
0,62,1,J Ward
0,50,2,D Durante
0,1,1,D Ware
0,22,1,B Callahan
0,0,1,M Hill
0,20,1,D Smith
0,11,1,J Forte
0,0,1,H Childs
0,2,1,T McCord
0,91,2,S Carter
0,0,1,C Hackett
0,0,1,M Anderson
0,16,1,L McNeil
0,0,1,B Randolph
0,0,1,B Brewer
0,58,1,M Harris
0,14,1,M Garner
0,0,1,Q Ford
0,17,1,C Targun
0,0,1,M Huff
0,96,1,W Jackson
0,9,1,Z McMillian
0,6,1,B Singleton
0,0,1,T Stewart
0,3,1,D Herring
0,0,1,K Ladler
0,17,1,D White
0,8,1,S Parker
0,4,1,M Peters
0,19,1,S Richardson
0,0,1,D Bucannon
0,30,1,T Murphy
0,30,1,J Richards
0,21,2,J Dowling
0,21,1,P Gaines
0,0,1,D Celiscar
0,0,1,D Farrington
0,0,1,L Wollet
0,58,1,I Banks
0,12,1,D Cook
0,0,1,T Patmon
0,0,1,J Gilbert
0,8,1,J Jeffcoat
0,0,1,M Lane
0,25,1,C Thomas
0,19,1,K McGill
0,43,1,M Jack
0,31,1,P Willis
0,3,1,E Kendricks
0,0,1,I Adams
0,0,2,A Jefferson
0,0,1,Q Byrd
0,17,1,K Van Noy
0,2,1,M Freeman
0,34,1,T Ingol
0,78,1,R Therezie
0,4,1,G Smith
0,23,1,D Goodson
0,53,1,D Cook
0,37,1,D Worley
0,-1,1,T Bell
0,18,1,R Ward
0,0,1,C Lester
0,0,1,W Sherry
0,0,1,M Lowe
0,47,1,D Bucannon
0,13,1,D Brown
0,0,2,G Henderson
0,2,2,T Mitchell
0,42,1,L Purifoy
0,0,1,T Henderson
0,0,1,N Phillips
0,21,1,C Tago
0,0,1,S Connette
0,0,1,D Frierson
0,0,1,J Jordan
0,0,1,E Tuipulotu
0,22,1,C Riley
0,5,1,D Smith
0,0,1,C Washington
0,0,1,N Motta
0,0,1,A Amos
0,1,1,J Morris
0,38,2,D Dennard
0,6,1,B Heeney
0,36,1,J Gaines
0,52,1,M Pannell
0,0,1,L Wollet
