defensive two point conversion, forced fumble, forced fumbles, fumble return touchdowns, fumble return yards, interception return touchdowns, interceptions, name, sacks, safeties, tackle assists, tackles
,,0,0,,0,0,Delvin Breaux,0.000,0,1.000,4
,,0,0,,0,0,John Jenkins,0.000,0,1.000,4
,,1,0,,0,0,Hauoli Kikaha,0.000,0,1.000,4
,,0,0,,0,0,Stephone Anthony,0.000,0,1.000,3
,,0,0,,0,0,Bobby Richardson,0.000,0,0.000,3
,,0,0,,0,0,Rafael Bush,0.000,0,0.000,2
,,0,0,,0,0,Ramon Humber,0.000,0,0.000,2
,,0,0,,0,0,Cameron Jordan,0.000,0,0.000,2
,,0,0,,0,0,Kenny Vaccaro,0.000,0,0.000,2
,,0,0,,0,0,Brandon Browner,0.000,0,0.000,1
,,0,0,,0,0,David Hawthorne,0.000,0,1.000,1
,,0,0,,0,0,Marcus Murphy,0.000,0,0.000,1
,,0,0,,0,0,Kevin Williams,0.000,0,0.000,1
,,0,0,,0,0,Eric Weddle,0.000,0,0.000,7
,,0,0,,0,0,Jahleel Addae,0.000,0,0.000,4
,,0,0,,0,0,Donald Butler,0.000,0,2.000,4
,,0,0,,0,0,Manti Teo,0.000,0,2.000,3
,,0,0,,0,0,Jimmy Wilson,0.000,0,0.000,3
,,0,0,,0,1,Kyle Emanuel,1.000,0,1.000,2
,,0,0,,0,0,Melvin Ingram,0.000,0,2.000,2
,,0,0,,0,0,Corey Liuget,0.000,0,0.000,2
,,0,0,,0,0,Jason Verrett,0.000,0,2.000,2
,,0,0,,0,0,Brandon Flowers,0.000,0,0.000,1
,,0,0,,0,0,Cordarro Law,0.000,0,0.000,1
,,0,0,,0,1,Patrick Robinson,0.000,0,1.000,1
,,0,0,,0,0,Kendall Reyes,0.000,0,1.000,0
,,0,0,,0,0,Rashean Mathis,0.000,0,0.000,8
,,0,0,,1,1,Glover Quin,0.000,0,1.000,7
,,0,0,,0,0,Josh Bynes,0.000,0,2.000,6
,,0,0,,0,0,Stephen Tulloch,0.000,0,0.000,6
,,0,0,,0,0,Josh Wilson,0.000,0,1.000,6
,,0,0,,0,0,Phillip Hunt,1.000,0,1.000,4
,,0,0,,0,0,James Ihedigbo,0.000,0,1.000,3
,,1,0,,0,0,Jason Jones,0.000,0,1.000,3
,,0,0,,0,1,Darius Slay,0.000,0,2.000,3
,,0,0,,0,0,Darryl Tapp,0.000,0,0.000,3
,,0,0,,0,0,Ezekiel Ansah,1.000,0,0.000,2
,,0,0,,0,0,Quandre Diggs,0.000,0,0.000,2
,,0,0,,0,0,Haloti Ngata,0.000,0,1.000,2
,,0,0,,0,0,Devin Taylor,0.000,0,2.000,2
,,0,0,,0,0,Tyrunn Walker,0.000,0,1.000,2
,,0,0,,0,0,Tahir Whitehead,0.000,0,0.000,1
,,0,0,,0,0,Gabe Wright,0.000,0,0.000,1
,,0,0,,0,0,Jermelle Cudjo,0.000,0,1.000,0
,,0,0,,0,0,Sean Lee,0.000,0,2.000,7
,,0,0,,0,0,Brandon Carr,0.000,0,0.000,5
,,0,0,,0,0,Barry Church,0.000,0,4.000,4
,,0,0,,0,0,Anthony Hitchens,0.000,0,4.000,4
,,0,0,,0,0,Tyrone Crawford,1.000,0,0.000,3
,,0,0,,0,0,Tyler Patmon,0.000,0,1.000,3
,,0,0,,0,0,Morris Claiborne,0.000,0,0.000,2
,,0,0,,0,0,Terrell McClain,0.000,0,0.000,2
,,0,0,,0,0,Kyle Wilber,0.000,0,0.000,2
,,0,0,,0,0,JJ Wilcox,0.000,0,1.000,2
,,0,0,,0,0,Byron Jones,0.000,0,0.000,1
,,0,0,,0,0,Jack Crawford,0.000,0,1.000,0
,,0,0,,0,0,Demarcus Lawrence,0.000,0,3.000,0
,,0,0,,0,0,Jeremy Mincey,0.000,0,1.000,0
,,0,0,,0,1,Uani Unga,0.000,0,2.000,10
,,0,0,,0,0,Prince Amukamara,0.000,0,2.000,6
,,0,0,,0,0,Dominique Rodgers Cromartie,0.000,0,0.000,6
,,1,0,,0,1,Trumaine McBride,0.000,0,0.000,4
,,0,0,,0,0,Brandon Meriweather,0.000,0,1.000,4
,,0,0,,0,0,JT Thomas,0.000,0,1.000,3
,,1,0,,0,0,Robert Ayers,0.000,0,1.000,2
,,0,0,,0,0,Landon Collins,0.000,0,2.000,2
,,0,0,,0,0,Devon Kennard,0.000,0,3.000,2
,,0,0,,0,0,Kerry Wynn,0.000,0,0.000,2
,,0,0,,0,0,Jonathan Casillas,0.000,0,0.000,1
,,0,0,,0,0,Johnathan Hankins,0.000,0,2.000,1
,,0,0,,0,0,Mark Herzlich,0.000,0,0.000,1
,,0,0,,0,0,Cullen Jenkins,0.000,0,0.000,1
,,0,0,,0,0,Markus Kuhn,0.000,0,0.000,1
,,0,0,,0,0,George Selvie,0.000,0,2.000,1
,,,1,,,,Dominique Rodgers Cromartie,,,,
,,0,0,,0,1,Paul Posluszny,0.000,0,1.000,8
,,0,0,,0,0,Telvin Smith,0.000,0,2.000,7
,,0,0,,0,0,Dan Skuta,1.000,0,0.000,6
,,0,0,,0,0,Sergio Brown,0.000,0,0.000,4
,,0,0,,0,0,Chris Smith,0.000,0,0.000,4
,,0,0,,0,0,Johnathan Cyprien,0.000,0,1.000,3
,,0,0,,0,0,Jared Odrick,0.000,0,0.000,3
,,0,0,,0,0,Tyson Alualu,0.000,0,0.000,2
,,0,0,,0,0,Chris Clemons,1.000,0,0.000,2
,,0,0,,0,0,Dwayne Gratz,0.000,0,0.000,2
,,0,0,,0,0,Davon House,0.000,0,0.000,2
,,0,0,,0,0,Roy Miller,0.000,0,0.000,2
,,0,0,,0,0,Aaron Colvin,0.000,0,1.000,1
,,0,0,,0,0,Ryan Davis,0.000,0,0.000,1
,,0,0,,0,0,Demetrius McCray,0.000,0,0.000,1
