assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
3,5,12,0,19,13,5,0,Ryan Johansen,92,0,-1,3,C,0,21,0,2
0,,,0,59,43,10,5,Brian Elliott,1,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Chad Johnson,31,0,,0,G,0,,0,0
0,,,1,16,14,0,1,Jyrki Jokipakka,3,0,1,1,D,0,25,0,2
0,,,0,27,17,6,2,Mark Giordano,5,4,-1,0,D,0,29,0,3
0,,,0,16,10,3,2,Dennis Wideman,6,0,0,0,D,0,24,0,1
0,,,0,24,18,3,2,TJ Brodie,7,0,-2,0,D,0,31,0,1
1,2,2,0,13,13,0,0,Kris Versteeg,10,0,2,1,RW,0,18,0,1
1,3,13,0,18,12,3,2,Mikael Backlund,11,0,-2,1,C,0,26,0,4
1,,,0,19,13,5,0,Johnny Gaudreau,13,0,0,1,LW,0,23,0,4
0,,,0,10,9,0,1,Lance Bouma,17,0,0,0,C,0,17,0,1
0,3,5,0,9,8,0,1,Matt Stajan,18,0,1,0,C,0,17,0,1
0,,,0,13,9,3,0,Matthew Tkachuk,19,0,-1,0,LW,0,17,0,3
0,12,7,1,19,13,5,0,Sean Monahan,23,2,0,1,C,0,23,0,1
0,,,0,19,13,6,0,Dougie Hamilton,27,2,0,0,D,0,27,0,4
1,,,0,17,15,0,1,Deryk Engelland,29,2,2,1,D,0,27,0,1
0,,,0,18,12,5,0,Troy Brouwer,36,0,-1,0,RW,0,22,0,2
0,,,0,7,7,0,0,Alex Chiasson,39,0,0,0,RW,0,16,0,2
0,,,1,14,11,0,2,Michael Frolik,67,0,0,1,RW,0,20,0,1
0,,,0,9,8,0,0,Micheal Ferland,79,0,1,0,LW,0,16,0,1
0,8,7,0,15,12,3,0,Sam Bennett,93,2,-1,0,C,0,24,0,2
0,,,0,0,0,0,0,Peter Budaj,31,0,,0,G,0,,0,0
0,,,0,58,50,4,4,Jeff Zatkoff,37,0,,0,G,0,,0,0
0,,,0,11,11,0,0,Matt Greene,2,0,-3,0,D,0,17,0,0
0,,,1,20,17,1,1,Brayden McNabb,3,0,0,1,D,0,28,0,1
0,,,0,25,21,2,1,Jake Muzzin,6,2,0,0,D,0,32,0,1
0,,,1,27,23,2,1,Drew Doughty,8,0,0,1,D,0,31,0,4
0,,,0,11,10,1,0,Teddy Purcell,9,0,-2,0,LW,0,15,0,0
0,,,0,14,12,2,0,Devin Setoguchi,10,0,0,0,RW,0,21,0,1
1,13,13,0,20,17,2,1,Anze Kopitar,11,0,1,1,C,0,23,0,3
0,,,0,10,10,0,0,Kyle Clifford,13,0,0,0,LW,0,16,0,0
0,1,2,0,10,10,0,0,Andy Andreoff,15,2,0,0,LW,0,14,0,0
0,5,7,0,12,10,0,1,Nick Shore,21,0,0,0,C,0,19,0,1
0,,,0,15,15,0,0,Trevor Lewis,22,0,-3,0,C,0,19,0,1
0,,,0,16,12,2,0,Dustin Brown,23,0,0,0,RW,0,22,0,1
0,,,0,13,12,0,0,Derek Forbort,24,0,-2,0,D,0,17,0,0
1,,,0,22,18,1,1,Alec Martinez,27,0,1,1,D,0,28,0,2
0,,,0,9,9,0,0,Jordan Nolan,71,2,-1,0,C,0,15,0,1
0,,,0,20,16,1,2,Tyler Toffoli,73,0,1,0,C,0,24,0,3
1,,,0,16,15,0,0,Dwight King,74,0,1,1,LW,0,21,0,3
0,5,19,0,18,14,1,1,Jeff Carter,77,0,-3,0,C,0,23,0,3
0,,,0,0,0,0,0,Darcy Kuemper,35,0,,0,G,0,,0,0
0,,,0,60,47,6,6,Devan Dubnyk,40,0,,0,G,0,,0,0
1,1,0,0,15,12,2,0,Charlie Coyle,3,2,-1,1,C,0,25,0,3
0,,,0,16,14,0,2,Christian Folin,5,0,1,0,D,0,23,0,1
0,,,0,19,16,3,0,Marco Scandella,6,0,-2,0,D,0,28,0,0
1,,,1,12,12,0,0,Chris Stewart,7,7,0,2,RW,0,18,0,2
1,5,12,0,20,14,2,3,Mikko Koivu,9,0,-1,1,C,0,27,0,1
