assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
0,1,2,11,5,1,0,0,25.067,Essence Carson,0,-9,11,2,1,3,1,0
3,1,5,17,11,1,4,3,42.133,Plenette Pierson,5,9,25,10,1,1,0,2
2,0,4,7,4,6,0,0,27.967,Kia Vaughn,4,4,8,8,1,0,0,3
6,1,5,12,6,4,3,3,39.050,Nicole Powell,1,15,17,6,1,5,2,3
11,0,3,15,5,2,2,2,42.217,Cappie Pondexter,0,11,12,3,1,4,0,3
1,0,0,8,4,4,2,2,22.700,Leilani Mitchell,0,10,13,0,0,5,3,1
0,2,4,2,2,2,0,0,12.217,Jessica Breland,0,-5,4,4,0,0,0,1
0,0,1,1,1,2,0,0,7.467,Quanitra Hollingsworth,0,-1,2,1,0,0,0,3
0,0,0,0,0,0,0,0,1.817,Alex Montgomery,0,-5,0,0,1,0,0,0
0,0,0,1,1,0,0,0,4.350,Sidney Spencer,0,1,2,0,0,0,0,0
1,1,2,13,6,5,3,2,25.850,Maya Moore,1,20,16,3,2,6,2,0
1,0,10,9,5,2,0,0,27.133,Rebekkah Brunson,5,20,10,15,1,0,0,3
3,0,2,6,2,2,2,2,27.500,Taj McWilliams Franklin,1,9,6,3,0,0,0,1
2,2,3,15,7,0,2,2,29.783,Seimone Augustus,2,17,17,5,0,2,1,0
7,0,1,7,3,2,4,3,21.650,Lindsay Whalen,1,14,10,2,1,2,1,3
1,0,1,4,2,2,0,0,18.617,Candice Wiggins,0,5,5,1,1,2,1,1
0,0,2,4,0,2,0,0,7.267,Charde Houston,0,-3,0,2,0,2,0,1
1,0,3,5,4,1,2,2,19.033,Monica Wright,0,1,11,3,1,2,1,2
1,1,4,10,3,2,8,5,18.100,Amber Harris,4,8,11,8,0,0,0,0
0,0,1,1,0,1,0,0,4.217,Alexis Hornbuckle,1,-6,0,2,0,0,0,1
0,0,0,0,0,1,0,0,0.867,Jessica Adair,0,0,0,0,0,0,0,0
2,0,2,12,3,3,3,3,30.350,DeLisha Milton Jones,2,-14,9,4,1,1,0,2
0,0,2,12,5,3,1,0,29.783,Tina Thompson,1,-8,11,3,0,4,1,2
3,0,6,10,4,4,4,3,27.583,Candace Parker,1,-13,11,7,1,2,0,3
4,0,5,4,2,0,0,0,31.750,Noelle Quinn,0,-14,4,5,0,1,0,0
5,0,2,3,1,1,2,2,18.500,Ticha Penicheiro,0,-10,5,2,0,1,1,4
2,0,0,5,1,2,2,2,17.517,Jenna OHea,0,-14,5,0,1,5,1,1
0,0,1,1,1,2,2,2,15.717,Ebony Hoffman,1,-1,5,2,0,1,1,1
0,0,1,7,4,3,2,2,10.583,Kristi Toliver,0,-6,13,1,0,4,3,4
0,0,2,5,1,1,0,0,6.400,Natasha Lacy,0,-5,2,2,0,0,0,0
0,0,1,1,0,0,2,2,7.283,Jantel Lavender,0,0,2,1,0,0,0,0
0,0,1,2,1,0,0,0,4.533,LaToya Pringle,0,0,2,1,0,0,0,0
3,1,6,10,2,0,2,2,32.067,Maya Moore,1,15,7,7,3,4,1,1
0,1,10,9,6,2,7,5,30.500,Rebekkah Brunson,5,15,17,15,1,0,0,0
2,1,1,5,1,1,0,0,19.017,Taj McWilliams Franklin,0,14,2,1,0,0,0,0
0,0,4,11,4,1,0,0,18.467,Seimone Augustus,0,14,8,4,1,1,0,2
4,0,2,7,3,3,10,10,27.450,Lindsay Whalen,1,9,16,3,0,1,0,0
1,1,5,9,2,5,4,4,20.983,Amber Harris,3,-4,8,8,0,0,0,1
0,0,1,4,2,1,0,0,14.983,Candice Wiggins,0,4,5,1,0,3,1,2
1,0,3,9,4,3,2,1,16.900,Monica Wright,0,-6,10,3,0,1,1,3
1,0,1,3,1,1,0,0,9.250,Charde Houston,0,-3,2,1,0,0,0,2
0,0,1,0,0,1,0,0,10.133,Alexis Hornbuckle,0,-6,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0.250,Jessica Adair,0,-2,0,0,0,0,0,0
1,0,2,9,3,3,0,0,18.350,Kayla Pedersen,0,-18,7,2,1,6,1,0
3,1,8,9,3,3,0,0,28.783,Tiffany Jackson Jones,1,-19,6,9,0,0,0,2
1,2,11,14,5,5,8,6,32.550,Liz Cambage,4,-3,16,15,2,0,0,2
1,0,4,12,3,2,6,5,29.733,Ivory Latta,1,-10,11,5,1,3,0,1
2,1,1,10,2,2,0,0,26.217,Amber Holt,0,-14,4,1,1,4,0,0
1,0,0,6,2,1,4,4,19.350,Andrea Riley,0,12,10,0,1,5,2,3
0,1,0,3,3,4,0,0,18.600,Jennifer Lacy,1,-4,7,1,0,1,1,1
0,0,2,1,0,0,0,0,5.533,Chastity Reed,0,-10,0,2,0,0,0,1
0,0,0,3,2,3,0,0,11.900,Miranda Ayim,0,8,4,0,1,0,0,1
0,0,0,1,0,1,0,0,8.983,Marion Jones,0,8,0,0,0,1,0,0
5,1,0,14,6,2,7,3,36.383,Iziane Castro Marques,1,-12,16,1,2,2,1,6
3,1,5,10,3,4,4,4,35.000,Sancho Lyttle,3,-7,10,8,6,1,0,5
0,2,12,12,9,3,2,2,38.033,Erika de Souza,3,-5,20,15,1,0,0,3
0,0,1,11,3,4,4,3,21.883,Coco Miller,2,-5,9,3,1,3,0,1
4,0,2,10,5,3,1,0,31.567,Lindsey Harding,0,-9,11,2,0,2,1,4
2,0,1,10,4,3,8,4,26.350,Armintie Price Herrington,1,0,12,2,3,0,0,2
3,0,2,5,3,1,2,1,18.200,Shalee Lehning,0,1,7,2,2,1,0,1
0,0,2,2,1,6,0,0,9.950,Alison Bales,0,0,3,2,0,1,1,1
1,0,1,0,0,2,0,0,2.383,Sandora Irvin,0,-3,0,1,0,0,0,0
0,0,0,4,1,0,0,0,3.233,Angel McCoughtry,1,5,2,1,2,0,0,0
0,0,0,1,0,0,0,0,2.017,Kelly Mazzante,0,-5,0,0,0,1,0,0
1,2,4,3,0,2,0,0,23.433,Marissa Coleman,3,-5,0,7,0,0,0,3
3,1,8,17,11,3,13,8,42.783,Crystal Langhorne,5,6,30,13,2,0,0,5
2,2,9,20,8,5,18,13,43.667,Nicky Anosike,4,13,29,13,2,0,0,5
5,1,4,9,4,4,0,0,40.433,Kelly Miller,1,12,10,5,1,4,2,9
4,0,1,19,9,5,5,5,40.500,Matee Ajavon,0,1,24,1,4,5,1,5
2,0,0,2,0,3,2,2,7.567,Jasmine Thomas,0,2,2,0,0,1,0,0
0,0,1,0,0,0,0,0,2.050,Karima Christmas,0,-4,0,1,0,0,0,0
0,0,1,0,0,0,0,0,3.383,Victoria Dunlap,0,-2,0,1,0,0,0,1
0,1,3,2,0,1,4,3,21.183,Kerri Gardin,2,17,3,5,6,0,0,1
5,1,6,15,6,2,4,4,33.600,Swin Cash,1,-10,18,7,2,8,2,4
1,0,4,9,5,3,0,0,30.650,Camille Little,2,-3,10,6,1,1,0,0
0,0,5,12,4,5,0,0,28.033,Lauren Jackson,2,-15,9,7,1,3,1,3
3,1,0,22,10,3,0,0,34.933,Sue Bird,0,-12,24,0,0,10,4,2
3,0,2,9,4,5,0,0,36.400,Tanisha Wright,0,3,9,2,2,1,1,0
0,0,0,1,0,0,2,2,9.933,Lecoe Willingham,1,-2,2,1,0,0,0,1
1,0,1,4,1,1,2,0,19.500,Katie Smith,0,2,2,1,1,2,0,1
0,1,1,1,0,2,0,0,6.950,Ashley Robinson,1,2,0,2,0,0,0,0
1,0,5,10,7,3,0,0,33.650,Maya Moore,1,13,14,6,0,1,0,2
2,0,11,11,9,4,6,4,33.283,Rebekkah Brunson,3,11,22,14,1,0,0,4
3,0,3,7,4,1,2,1,31.300,Taj McWilliams Franklin,1,24,10,4,1,3,1,3
1,0,4,10,6,2,5,5,34.450,Seimone Augustus,0,14,17,4,2,0,0,1
10,0,1,9,4,1,6,4,32.783,Lindsay Whalen,0,16,13,1,1,1,1,1
0,0,4,4,1,0,0,0,9.817,Candice Wiggins,0,-13,2,4,0,1,0,1
1,0,0,4,1,0,0,0,11.500,Monica Wright,0,-13,2,0,0,1,0,0
0,1,1,1,0,1,2,1,13.217,Amber Harris,0,-17,1,1,0,0,0,1
3,0,6,12,6,3,0,0,32.383,Tamika Catchings,0,-2,13,6,2,2,1,4
2,1,3,7,3,1,2,2,28.000,Tangela Smith,3,-3,8,6,0,2,0,0
1,0,4,2,0,1,4,3,20.450,Tammy Sutton Brown,1,-8,3,5,1,0,0,2
2,1,2,18,10,2,2,1,37.917,Katie Douglas,2,5,27,4,0,11,6,2
2,0,1,8,4,1,2,1,29.783,Briann January,1,1,10,2,0,2,1,3
0,0,3,7,4,0,2,0,18.900,Jessica Davenport,3,6,8,6,0,0,0,0
