name, rushes, rushing touchdowns, rushing yards
J Hubert,10,0,23
D Sams,2,1,17
J Waters,11,0,1
S Ojuri,10,0,127
J Crockett,16,0,50
R Smith,2,0,16
D Lang,1,0,14
C Wahlo Jr,1,0,5
B Jensen,12,1,5
J Langford,20,1,94
C Cook,4,0,35
N Hill,7,0,33
R Bullough,5,0,12
A Maxwell,2,0,5
K Mumphery,1,0,3
T Lippett,1,0,3
B Fields,12,0,24
D Chance,5,0,9
T VanTubbergen,2,0,-1
Z Terrell,7,0,-19
D Johnson,19,1,186
H Waters,1,1,63
E Clements,6,0,23
G Edwards,6,0,19
S Morris,1,0,16
D Crawford,2,1,6
M Hagens,1,0,2
R Williams,1,0,-10
J Wallace,10,0,34
J Johnson,15,0,30
D Juste,7,0,28
G Hankerson,6,0,22
M Jackson,5,0,19
G Gilbert,14,1,53
T Shead,9,0,22
P Line,6,1,20
J Taylor,1,0,7
C LaGasse,1,0,0
J Grant,2,0,16
B Mayfield,12,1,16
D Washington,4,0,9
K Williams,9,0,7
G Howse,14,0,29
K Hill,2,0,28
D Smith,3,0,9
A Wilson,3,0,3
R Bell,3,0,3
F Truss,26,1,78
D Bledsoe,5,0,14
S Robinson,2,0,13
A Summerlin,3,0,0
J Lee,11,2,130
B Hart,18,2,101
A LaCoste,11,0,77
D Rushing,6,1,42
A Clinton Earl,3,0,19
T MacArthur,1,0,15
K Pearson,3,0,15
C Huntsman,3,0,9
D Kohn,2,0,9
G Brown,1,0,1
J Awini,2,0,-3
J Wilkins IV,23,1,90
G McCarney,10,0,35
J DeCicco,5,0,21
E Pavalko,3,0,11
D Oku,16,2,124
S Thornton,9,2,112
M Gordon,4,1,102
F Knighten,3,2,101
M Walker,11,0,34
J McKissic,3,1,22
K Daniels,7,0,21
P Butterfield,1,0,0
J Smith,10,0,36
M Carter,0,0,4
A Taylor,3,0,2
W Young,2,0,-4
B Anderson,16,0,-26
J Williams,18,1,151
A Collins,21,0,131
N Holmes,3,0,9
K Small,4,0,7
B Allen,4,0,-4
A Harris,10,1,56
E McGuire,3,0,12
T Pierce,2,0,10
D Surgent,1,0,6
M Carter,1,0,4
T Broadway,13,0,-1
B Haack,2,0,-2
C Grant,9,1,146
T Mason,15,1,73
C Artis Payne,10,0,52
N Marshall,9,0,27
Q Bray,1,0,4
R Louis,1,0,-5
T Caldwell,7,0,53
M Mason,6,0,43
C Halliday,5,0,14
J Laufasa,5,2,10
L Seastrunk,11,2,111
A Webb,6,0,71
S Linwood,10,1,59
G Martin,8,1,30
S Russell,3,1,7
B Petty,3,0,3
P Tagive,1,0,3
L Hawthorne,1,0,-1
D Johnson,18,0,77
W Gay,4,0,19
J Martin,2,0,16
R Smith,3,0,15
C Flowers,4,0,13
E Jacks,11,0,12
O Harden,2,0,10
M Weimer,4,0,6
L Long,2,0,5
J Lawson,7,0,3
C Lucas,2,0,-1
W Irwin,1,0,-2
A Williams,23,1,114
T Rouse,8,0,14
D Dudeck,4,0,5
C Rettig,2,0,2
J Robertson,13,0,94
J Abdur Rahman,5,1,57
K Monangai,11,0,23
G Underwood,3,0,17
A Medley,3,0,8
P Livers,1,0,-2
B Bigelow,15,0,61
D Lasco,9,0,38
K Muhammad,3,0,8
J Goff,7,0,-18
T Green,15,2,129
V Mark,11,0,29
M Trumpy,5,0,27
T Siemian,6,0,17
K Colter,1,0,6
S Buckley,1,0,4
M Jones,1,0,-3
H Williams,15,1,70
M Legaux,6,1,55
R Abernathy IV,15,1,52
T Green,6,1,29
R Moore,4,0,13
B Kay,1,0,2
D Dawkins,4,0,26
A Hunt,7,0,21
B Knauf,3,0,17
R Henry,6,1,4
R McDowell,22,0,132
T Boyd,13,2,42
Z Brooks,3,0,20
D Howard,4,0,3
S Watkins,2,0,2
T Gurley,12,2,154
K Marshall,16,1,43
Q Hicks,3,1,38
C Barber,1,0,5
J Green,1,0,3
A Murray,7,1,-15
J Duncan,11,1,76
J Snead,8,0,53
S Powell,9,0,47
J Thompson,6,0,30
A Boone,6,1,24
B Connette,5,1,22
E Adams,3,0,7
I Augustus,9,0,50
M Bell,2,0,13
A Clarke,5,0,7
D Wright,3,0,7
J Reid,10,0,4
V Cooper,12,0,38
C Hunter,2,0,7
J Booth,1,1,0
S Carden,5,0,-4
T Heinicke,11,1,52
C Goodwyn,9,1,29
C Boyd,3,0,9
B Hill,28,2,101
D Jackson,7,1,64
T Benz,4,0,6
R Brumfield,1,0,3
G McGhee,14,1,93
W Parker,7,1,82
A Freeman,11,0,29
A Philyaw,2,0,-1
M Brown,25,2,112
K Taylor,5,0,43
M Herndon,4,0,32
V Showers,2,0,31
J Driskel,8,0,19
S Patton,1,0,17
H Joyer,1,0,7
T Burton,2,0,1
D Fluellen,9,0,46
T Owens,4,0,4
Z Rosenbauer,1,0,0
K Hunt,2,0,0
J Thomas,5,1,53
Z Laskey,3,1,51
V Lee,6,1,49
D Sims,7,1,47
D Andrews,2,0,47
B Snoddy,8,0,45
T Byerly,4,0,24
B Bostic,2,0,20
M Connors,5,0,17
D Hill,2,1,10
T Zenon,2,0,6
C Perkins,2,1,6
R Godhigh,1,0,-5
B Bennett,12,0,42
T Coppedge,8,0,32
K Bostick,10,0,12
T Phan,3,0,8
J Loughery,1,0,-5
J Ferguson,9,0,49
J Davis,1,0,15
D Church,1,0,9
D Young,8,1,6
A Bailey,2,1,6
R OToole,1,0,-7
N Scheelhaase,7,0,-27
M McCall,7,1,24
K Malcome,12,0,21
T Willis,3,0,13
K Faulkner,3,0,10
M Weisman,20,0,100
D Bullock,17,0,76
J Rudock,4,1,20
J Canzeri,2,0,6
J Lynch,22,0,56
C Stingily,12,0,42
T Wedel,1,0,42
K Harris Jr,5,0,30
T Lewis,1,0,4
S Richardson,21,0,74
A Wimberly,8,0,35
J White,7,0,34
S Johnson,5,0,22
J Woody,3,0,3
D Johnson,23,2,199
B Carnes,1,0,14
E Williams,4,0,12
C Owens,2,0,10
S Kollmorgen,2,0,-5
C Brown,11,2,105
J Veii,8,0,53
A Reid,9,0,45
S Diggs,1,0,26
B Ross,10,0,21
C Rowe,2,0,2
L Caldwell,21,1,79
A Randolph,8,0,23
S Coleman,4,0,13
E Hilliard,3,0,-6
J Medlock,4,0,-18
D Green,11,1,58
F Toussaint,14,2,57
D Gardner,7,2,52
D Norfleet,1,0,38
T Rawls,3,1,12
D Smith,7,0,12
D Johnson,2,0,9
J Hayes,1,0,7
S Morris,1,0,-3
S Lavallii,10,0,52
A Garland,4,0,16
Z Tipton,4,0,10
M Walker,2,0,-1
C Kater,2,0,-1
A Niznak,7,0,-10
H Josey,13,1,113
R Hansbrough,8,2,104
M Murphy,7,1,56
J Franklin,6,0,44
M Steward,8,1,25
G White,3,0,16
M Miller,11,0,73
D Brady,6,0,33
J Berry,10,0,19
M Holliday,7,0,11
P Frazier,1,0,-5
S Butler,17,0,107
E Taliaferro,19,1,89
R Cato,9,0,59
K Grooms,4,0,51
B Frohnapfel,2,0,4
D Reaves,5,0,3
A Gearing,6,0,27
D Scott,2,0,21
S Treadwell,5,1,15
A Boucher,11,0,8
J Westbrook,4,0,7
G Niemiec,1,0,4
D Kummer,1,0,3
A Green,2,0,2
F Lee,2,0,-13
M Dayes,17,3,84
T Creecy,13,1,47
B Shirreffs,9,0,34
M Hall,5,0,28
R Smith,3,0,28
B Mitchell,5,0,19
J Taylor,1,0,0
P Thomas,2,0,-2
K Dixon,22,1,118
T King,7,1,19
S Young,3,0,7
B Martin,1,0,-1
A Abdullah,19,0,114
I Cross,13,2,105
T Martinez,16,0,80
T Newby,15,0,76
S Wick,12,1,101
B Smith,8,0,92
B Miller,9,0,27
C Gautsche,16,0,118
K Carrier,20,0,54
C Mitchem,3,0,8
J Magnant,1,0,6
C Gongbay,1,0,4
C Wiggins,1,0,3
E Soza,11,0,48
K Jones,4,0,39
D Glasco,8,1,32
A Grubb,2,0,24
E Okotcha,6,0,17
A Carlisle,7,0,68
C McDaniel,12,0,65
G Atkinson III,8,1,34
T Folston,5,0,14
G Bryant,2,0,12
T Rees,1,0,-5
C Reilly,12,0,65
Z Williams,7,0,33
J Gilmore,3,0,17
C Coyer,1,0,14
K Harper,6,1,5
B Byrd,7,2,57
R Pegram,13,1,47
A Jimmerson,11,0,40
R Rollins,4,0,26
B Chancellor,1,0,9
C Caldwell,1,0,6
D Prior,2,0,4
D Thompson,4,0,1
M Lewis,1,1,1
A McNulty,1,0,-4
J Brown,6,0,70
J McCain,2,0,24
C Chalich,17,0,21
J Baker,4,0,14
R Montgomery,6,0,9
A Rehkow,1,0,1
J Hall,21,2,159
B Miller,17,0,77
D Wilson,3,0,11
W Ball,2,0,6
K Guiton,1,0,6
E Elliott,1,0,2
B Oliver,26,0,73
A Taylor,3,0,8
A Zordich,2,0,2
F Lee,1,0,2
J Licata,3,0,-12
T Knight,13,0,103
D Williams,16,0,66
B Clay,8,1,43
R Finch,4,0,42
K Ford,4,0,20
B Bell,2,0,10
S Shepard,1,0,9
A Ross,1,0,8
T Millard,1,0,4
J Edwards,3,0,9
M Washington,7,0,7
B Brown,1,0,6
C Davis,3,0,4
J Manton,1,0,3
D McNeal,1,0,3
N Meadors Jr,2,0,3
K Browning,4,0,3
J Walsh,13,1,125
J Smith,15,2,102
D Roland,10,0,46
J Stewart,2,0,13
L Perkins,16,0,50
J Robinson,8,0,48
D Prescott,6,0,9
T Russell,6,0,2
D Milton,1,0,2
D Thomas,18,2,128
B Marshall,8,1,124
M Mariota,5,2,113
A Forde,3,0,53
J Rodrigues,1,0,28
K Bassett,4,0,18
C Lyerla,3,1,17
L Roseberry,2,0,11
J Lockie,1,1,8
K Henderson,16,0,46
M Washington,13,0,40
D Hillard Jr,4,0,13
B Hebert,4,0,-12
S Woods,16,2,68
B Cooks,2,0,14
T Ward,3,1,9
V Bolden,2,0,7
T Anderson,1,0,7
V Adams,16,2,107
J Wilson,13,0,40
M Brown,4,0,31
J Moore,1,0,8
A Vitto,2,0,-8
C Lockett,1,1,48
C Price,6,0,25
D Pumphrey,7,0,25
D Garrett,3,0,24
A Muema,10,0,17
C Young,0,0,3
A Dingwell,8,0,-20
T Duncan,20,2,92
S Little,10,0,62
J Garoppolo,4,0,20
M Shaw,12,1,145
B Eveld,4,0,21
M Pierre,2,0,6
M Floyd,2,0,-9
M Wiltz,13,0,79
D Long,13,2,56
K Bennett,7,1,33
D Spencer,1,0,6
T Bolfing,1,0,3
D Eaglin,5,0,3
R Young,1,0,2
D Mitchell,1,0,-2
K Hardy,8,0,27
T Bracken,8,0,22
J Hester,2,0,3
J Richard,3,0,-3
A Bridgford,3,0,-26
C Nutall,10,0,37
J Moore,9,0,25
R Lowe,7,0,15
T Franks,7,0,13
T Arndt,5,1,10
J Smith,16,2,73
P Gulley,12,0,24
G Morris II,1,0,4
A Broyld,1,0,3
D McFarlane,1,0,-1
A Flemming,1,0,-3
D Allen,4,0,-12
R Dixon,1,0,-17
Z Zwinak,24,0,61
B Belton,6,0,19
R Keiser,1,0,5
T Ferguson,1,0,-9
C Hackenberg,3,0,-12
B Catalon,8,1,52
W James,6,1,33
C Pachall,2,0,16
T Boykin,10,0,13
T Magee,13,2,95
A Blue,19,0,89
O Beckham Jr,2,0,18
K Hilliard,4,0,8
J Copeland,3,1,2
A Jennings,1,0,2
C Neighbors,1,0,1
Z Mettenberger,3,0,-11
R Neal,16,1,141
D Summerhill,9,0,67
M Lane Jr,6,2,38
T Smith,9,0,29
J Worley,4,0,21
A Hill,3,0,9
A Howard,1,0,7
D Young,1,0,6
N Peterman,3,0,-3
T Phillips,8,0,38
J Sexton,7,0,25
T Oliver,5,0,18
T Mitchell,1,0,7
J Franklin,2,0,-1
O Williams,2,0,-3
A Spivey,2,0,-5
J Overstreet,9,2,92
D Ash,8,1,91
J Bergeron,9,0,79
D Johnson,6,1,62
J Gray,6,0,28
C McCoy,1,0,4
M Brown,3,0,3
A McDonald,14,0,50
G Morrison,12,0,25
B Betancourt,8,0,19
D Cazares,1,0,18
J Bergstrom,1,0,1
K Davis III,1,0,0
J Chunn,10,1,65
D Anthony,12,1,61
B Burks,9,1,41
C Worthy,2,0,13
K Franklin,1,0,2
C Robinson,4,0,-3
D Reaves,22,0,104
G Franklin,4,0,14
J Perry,1,0,4
A Brown,2,0,-8
B Malena,12,1,82
T Carson,14,2,76
J Manziel,6,0,19
T Williams,3,0,17
B Dolezal,3,0,8
M Joeckel,1,0,0
C Ross,19,2,107
T McHargue,9,0,78
D Jackson,10,0,55
D Dillard,9,0,41
T Petersen,4,0,25
J James,21,1,155
B Hundley,7,2,63
P Perkins,5,1,55
S Manfro,5,0,32
R Davis,2,0,30
M Jones,2,1,14
M Emesibe,1,0,2
J Neuheisel,1,0,-2
C Fajardo,22,2,106
D Jackson,12,0,35
K Brock,12,0,32
D Combs,1,0,5
C Solomon,2,0,-1
N McLaurin,2,0,-6
K Parks,20,1,65
K Shepherd,5,0,18
T Mizzell,7,0,16
D Watford,10,0,10
J Williams,33,0,144
T Hill,11,1,42
M Alisa,2,0,9
A Hine,2,0,5
P Lasike,3,0,5
T Edmunds,20,1,132
C Mangus,5,0,15
S Rogers,1,0,3
L Thomas,5,0,2
D Coles,2,0,1
T Yeldon,17,1,75
A Tenpenny,6,0,24
D Hart,5,0,15
B Sims,2,0,7
J Fowler,3,0,1
D Henry,1,0,-3
A McCarron,4,0,-23
B Sankey,25,2,161
D Washington,13,1,52
K Price,6,0,25
D Cooper,6,0,8
J Mickens,1,0,8
C Miles,1,0,7
K Williams,1,0,7
J Callier,1,0,0
J Ajayi,23,0,93
A Baltazar,10,0,49
J Southwick,5,0,22
J Fields,4,0,7
M Gordon,13,1,144
J White,11,1,143
C Clement,16,1,101
J Stave,3,1,5
J Lewis,1,0,0
S Bedell,19,0,70
L Woodley,7,0,22
M Wegzyn,2,0,7
A Doyle,1,0,1
A Andrews,20,1,99
L Allen,10,1,92
K Simpson,8,2,34
B Doughty,1,0,-5
R Sanders III,14,0,98
J Whitlow,7,1,75
R Timmons,1,0,33
J George,7,1,12
J Kemp,1,0,9
M Smith,2,0,-11
C Sims,23,1,120
D Smith,12,0,40
W Smallwood,4,1,22
M Alford,1,0,7
D Garrison,1,0,3
C Trickett,1,0,-4
P Millard,1,0,-14
J Cooper,10,0,45
K Anderson,11,0,31
K McBride,8,0,28
M Graham,2,1,-2
K Bibbs,15,2,70
D Alexander,2,0,18
C Nwoke,6,0,6
G Grayson,5,0,0
C Powell,15,0,42
D Goodson,1,0,31
T Jones,13,0,27
C Wood,4,0,8
D Abron,2,0,5
S Perry,13,0,58
M Dyer,4,1,48
D Brown,7,0,40
B Radcliff,6,0,34
C Lamb,4,0,13
R Clark,1,0,5
B Butler,1,0,3
T Bridgewater,2,0,1
W Gardner,1,0,-1
M Harris,1,0,-2
R Boykin,7,1,39
B Blankenship,12,0,22
T Edmond,3,0,20
D Patterson,4,0,2
D Vick,2,0,-2
T Boyd,3,0,54
I Bennett,9,0,35
J Conner,9,0,34
R Ibrahim,1,0,0
T Savage,5,0,-27
J Wilder Jr,10,0,58
D Freeman,9,0,52
J Winston,8,1,25
C Abram,2,0,13
R Green,5,0,8
M Grice,14,1,59
D Lewis,8,0,53
T Kelly,6,0,25
M Eubank,7,1,18
R Robinson,3,0,6
D Foster,1,0,5
R Smith,1,0,2
D Nelson,1,0,0
M Bercovici,2,0,-6
E Graham,11,0,21
D Warren,8,0,18
D Coleman,2,0,8
G Safron,5,0,4
J Vercher,4,0,1
V Cooper,20,1,95
C Hunter,3,0,11
C Hairston,5,1,8
S Carden,6,0,-4
J Wallace,10,0,44
J Johnson,12,0,39
G Hankerson,5,0,12
M Jackson,4,0,8
J Warren,2,0,7
D Juste,1,0,-1
A Williams,35,1,204
T Rouse,3,0,6
C Rettig,6,0,-14
J Harris,10,0,18
J Williams,2,0,13
J Wilhite,5,0,11
M Campanaro,4,0,10
D Martin,5,0,8
D Gibson,1,0,7
O Reynolds,4,0,1
T Price,8,0,-13
L Caldwell,10,0,27
A Randolph,10,0,20
J Medlock,6,0,17
E Hilliard,2,0,-4
S Johnson,18,3,89
W Stanback,9,0,55
B Bortles,4,1,22
J Holman,3,0,3
D Wilson,2,0,1
M Reed,2,0,-5
J Awini,11,1,48
B Hart,7,0,24
T MacArthur,4,0,20
J Lee,7,0,19
A Clinton Earl,2,0,15
K Roberts,3,0,13
A LaCoste,7,0,10
P Solano,2,0,8
D Rushing,2,0,5
S Gagliano,2,0,2
D Baska,1,0,0
C Keeton,8,0,77
R Marshall,13,0,49
J DeMartino,10,1,41
J Hill,9,1,33
K Lee,5,0,19
J Chisholm,11,0,87
C Hundley,5,0,11
D Jones,2,0,8
K Pohl,3,0,-8
F Bickley,1,0,-9
N Hirschman,3,1,-20
D Scott,27,1,107
J Crawley Lambert,6,0,40
R Davis,1,0,21
J Latney,4,0,15
D Smith,2,0,4
M Birdsong,11,0,1
A Collins,24,1,172
J Williams,17,1,126
K Small,5,0,25
B Allen,4,0,7
N Holmes,1,0,5
F Truss,16,1,103
D Bledsoe,3,0,11
S Robinson,2,0,8
K Pope,1,1,2
A Summerlin,3,0,-10
C Artis Payne,19,1,102
T Mason,14,1,99
N Marshall,8,0,53
C Grant,7,1,40
J Wallace,2,0,7
A Kennedy,12,0,74
D Oku,16,0,48
F Knighten,4,0,24
S Thornton,2,0,-1
M Gordon,4,0,-7
T Williamson,13,0,58
H Banks,17,2,51
K Wenning,3,0,8
L Dixon,13,2,113
R Maples,12,0,84
A Schurr,5,0,41
A Santiago,15,0,37
T Baggett,5,0,32
H Tippett,6,0,27
T Turrentine,6,0,26
T Giovannelli,1,0,9
X Moss,1,0,-6
L Seastrunk,17,3,150
S Linwood,12,2,76
D Chafin,7,0,35
A Webb,8,0,28
S Russell,4,0,18
B Petty,2,1,8
G Martin,1,0,7
A Goodley,1,0,5
A Frerking,2,0,3
A Taylor,19,0,39
B Oliver,13,1,32
A Zordich,6,0,30
J Potts,5,0,8
C Way,1,0,-2
J Licata,4,0,-6
J Ajayi,15,2,80
G Hedrick,1,1,50
C Bertoli,1,0,36
J Fields,9,0,32
S Williams Rhodes,2,0,26
A Baltazar,7,0,10
D Demas,2,0,3
J Southwick,7,0,-5
D McNeil,19,1,87
T Garland,6,0,24
A Toure,7,0,24
D Favre,11,0,18
J Butler,1,0,5
N Ray,2,0,5
J Neal,1,0,-2
T Hill,17,3,259
J Williams,30,0,182
P Lasike,15,1,87
M Alisa,8,0,23
A Hine,1,0,2
J Gray,13,0,90
D Ash,16,0,34
M Brown,3,0,15
D Johnson,2,0,4
J Bergeron,2,1,3
J Overstreet,1,0,-3
C McCoy,2,0,-11
B Bigelow,18,0,75
K Muhammad,13,1,68
J Coprich,1,0,2
D Ervin,1,0,2
J Goff,8,1,-1
D Adams,21,2,139
K McDonagh,11,1,60
S Richard,6,0,45
J Lilley,1,0,1
C Davidson,13,0,63
R McDowell,8,0,43
Z Brooks,6,0,31
D Howard,5,1,22
T Boyd,6,1,10
C Kelly,2,0,6
D Rodriguez,1,0,5
N Schuessler,1,0,5
H Williams,1,0,1
C Stoudt,1,0,-3
J Taylor,16,0,45
J Pendergrass,11,0,29
C Brown,7,0,9
T Wiley,2,0,7
X Quick,5,0,6
R Cue,5,0,-10
S Lavallii,20,0,93
A Garland,2,0,5
M Walker,1,0,4
A Niznak,2,0,1
C Rush,3,0,1
N Steriti,16,1,56
A Vailas,17,0,50
S Goldrich,2,0,23
R Harris,1,1,16
J Allison,4,0,11
C Setian,2,0,3
T Jones,12,0,58
C Powell,6,0,22
D Abron,8,0,9
D Goodson,1,0,9
C Wood,6,0,3
W Matthews,13,0,32
W Smothers,10,1,18
J Wilson,2,0,9
B Veasley,1,0,1
J Quezada,18,0,65
M Waller,11,0,48
T Thomas,6,0,25
D Carr,1,0,11
D James,2,0,5
D Root,1,0,4
B Burrell,1,0,4
K Ivory,20,0,97
C Brown,10,2,39
K Garcia,1,0,12
B Howe,4,0,11
V Moraga,8,0,6
A Umoh,3,0,4
C Stanford,3,0,3
T Gurley,30,1,132
K Marshall,7,0,58
B Douglas,5,0,31
Q Hicks,4,0,28
J Green,1,0,4
A Murray,4,0,-11
C Barber,1,0,-14
M Davis,16,1,149
C Shaw,16,0,75
B Wilds,3,1,9
D Young,14,1,64
J Ferguson,9,0,47
R Lankford,3,1,46
N Scheelhaase,8,0,24
M Barr,1,0,24
A Bailey,3,0,4
D Church,1,0,1
M Legaux,11,0,52
R Abernathy IV,12,1,47
H Williams,5,0,43
B Kay,3,0,3
M Morrison,1,0,3
N Sudfeld,6,0,35
T Coleman,8,1,34
S Houston,7,0,30
T Roberson,3,0,18
D Roberts,1,0,3
K Reynolds,32,3,127
D Staten,9,0,106
G Whiteside,9,0,97
D Sanders,5,0,68
C Swain,10,1,29
M Thomas,2,0,16
N Copeland,2,1,7
M Weisman,30,2,180
D Bullock,10,0,40
J Rudock,7,2,33
L Daniels Jr,6,0,30
J Canzeri,3,0,13
D Powell,1,0,2
P Johnson,7,0,26
K Harris,6,0,18
V Scott,6,0,18
C Miller,1,0,4
M Cooper Falls,3,0,4
J Sims,16,2,94
D Miller,14,0,72
T Pierson,5,0,47
T Cox,6,0,44
B Bourbon,2,1,32
C Matthews,4,0,6
J Heaps,3,0,-15
J Vander Maten,19,1,78
J Roberts,13,0,73
T Bouma,10,0,52
T Terry,1,0,16
D Sams,8,1,63
J Hubert,18,2,56
R Rose,6,0,17
J Waters,4,1,13
G Gronkowski,1,0,0
A Harris,13,0,74
T Broadway,13,1,42
T Pierce,6,0,42
E McGuire,7,0,17
D Surgent,1,0,2
C Reardon,12,0,58
E Calhoun,1,0,29
A Meray,3,0,27
T Durham,11,1,24
J Boyle,1,0,0
T Greene,24,1,145
F Coppet,4,0,36
A Givens,6,1,21
M Johnson,8,0,17
R Moore,1,0,5
W Houston,2,1,-3
J Kemp,12,0,78
J Whitlow,7,1,48
R Sanders III,6,1,39
R Timmons,4,0,37
J George,6,0,27
J Blue,1,0,21
D Mobley,2,0,12
A Boucher,19,0,28
A Gearing,9,0,28
D Scott,5,0,18
G Niemiec,4,0,8
S Treadwell,3,0,7
R Williams III,1,0,5
F Lee,1,0,5
S McInnis,1,0,0
J Edwards,8,1,123
D McNeal,9,1,94
N Meadors Jr,7,0,66
M Washington,6,0,39
B Brown,4,0,31
K Browning,2,0,25
C Davis,1,0,2
K Jackson,1,0,-13
C Skinner,22,0,109
J Runner,4,0,-1
D Williams,3,0,-2
J Kelly,4,0,-2
S Perry,13,1,36
M Dyer,7,0,22
D Brown,6,0,13
W Gardner,1,0,8
T Bridgewater,1,0,-1
J McClain,11,0,27
T Owens,5,0,26
J Sanders,10,0,19
C Watkins,5,0,14
J Jude,7,0,10
B De La Cruz,3,0,9
