fumbles, fumbles lost, longest rush, name, rushes, rushing conversions, rushing touchdowns, rushing yards
,,11,James Fenderson,1,0,0,11
,,-1,Terrelle Smith,1,0,0,-1
,,14,Ahman Green,17,0,0,81
,,13,Brett Favre,3,0,0,15
,,-1,Rondell Mealey,1,0,0,-1
,,14,Matt Turk,1,0,0,14
,,9,Chad Pennington,1,0,0,9
,,5,Curtis Martin,4,0,0,5
,,3,LaMont Jordan,1,0,0,3
,,1,Richie Anderson,1,0,0,1
,,0,Jerald Sowell,1,0,0,0
,,18,Antowain Smith,15,0,0,66
,,25,Kevin Faulk,10,0,1,48
,,13,Patrick Pass,4,0,0,27
,,9,Marc Edwards,7,0,0,21
,,4,Tom Brady,2,0,0,5
,,-2,Rohan Davey,2,0,0,-4
,,8,Jerome Bettis,10,0,0,41
,,5,Amos Zereoue,3,0,0,12
,,10,Antwaan Randle El,1,0,0,10
,,11,Kordell Stewart,3,0,0,10
,,-1,Hines Ward,1,0,0,-1
,,36,Charlie Garner,6,0,1,56
,,13,Terry Kirby,7,0,0,23
,,12,Tyrone Wheatley,3,0,0,13
,,3,Zack Crockett,1,0,0,3
,,10,LaDainian Tomlinson,27,0,0,84
,,20,Tim Dwight,1,0,0,20
,,4,Terrell Fletcher,3,0,0,10
,,6,Drew Brees,3,0,0,7
,,3,Curtis Conway,1,0,1,3
,,17,James Allen,13,0,0,51
,,16,David Carr,3,0,0,27
,,6,Jarrod Baxter,2,0,0,7
,,7,Jonathan Wells,6,0,0,3
,,1,Jermaine Lewis,1,0,0,1
,,13,Shaun Alexander,17,0,0,37
,,9,Maurice Morris,7,0,0,35
,,6,Koren Robinson,1,0,0,6
,,2,Mack Strong,1,0,0,2
,,1,Matt Hasselbeck,1,0,0,1
,,1,Trent Dilfer,2,0,0,0
,,58,Thomas Jones,24,0,1,173
,,17,Marcel Shipp,8,0,0,39
,,23,Jake Plummer,2,0,0,27
,,10,MarTay Jenkins,1,0,0,10
,,31,Kevan Barlow,7,0,0,47
,,8,Jeff Garcia,5,0,1,13
,,3,Fred Beasley,3,0,0,6
,,4,Garrison Hearst,5,0,0,5
,,32,Mike Anderson,10,0,0,95
,,26,Olandis Gary,12,0,1,61
,,17,Ed McCaffrey,2,0,0,22
,,11,Brian Griese,4,0,0,14
,,6,Clinton Portis,4,0,0,12
,,1,Rod Smith,3,0,0,-3
,,44,Marshall Faulk,14,0,2,87
,,5,Kurt Warner,2,0,0,5
,,0,Trung Canidate,1,0,0,0
,,15,Tiki Barber,19,0,0,80
,,7,Ron Dayne,11,0,0,18
,,4,Kerry Collins,7,0,0,3
,,2,Amani Toomer,1,0,0,2
,,11,Stephen Davis,12,0,0,53
,,9,Shane Matthews,2,0,0,16
,,16,Kenny Watson,3,0,0,16
,,4,Champ Bailey,1,0,0,4
,,47,Dorsey Levens,6,0,1,65
,,9,Duce Staley,15,0,0,55
,,15,Donovan McNabb,5,0,1,36
,,10,Brian Westbrook,2,0,0,12
,,27,Thomas Jones,17,0,0,73
,,12,Jake Plummer,3,0,0,17
,,7,David Boston,1,0,0,7
,,17,LaDainian Tomlinson,26,0,2,91
,,14,Drew Brees,3,0,0,21
,,6,Reche Caldwell,1,0,0,6
,,3,Terrell Fletcher,2,0,0,4
,,2,Tim Dwight,2,0,0,3
,,11,TJ Duckett,18,0,0,67
,,21,Michael Vick,5,0,0,56
,,7,Warrick Dunn,8,0,1,18
,,2,Travis Jervey,2,0,0,4
,,0,Bob Christian,1,0,0,0
,,-1,Doug Johnson,2,0,0,-2
,,9,Corey Dillon,18,0,0,66
,,3,Lorenzo Neal,1,0,0,3
,,-3,Jon Kitna,1,0,0,-3
,,24,Anthony Thomas,27,0,0,111
,,7,Leon Johnson,1,0,0,7
,,5,Jim Miller,2,0,0,7
,,10,Deuce McAllister,17,0,0,45
,,14,Aaron Brooks,7,1,1,28
,,24,Clinton Portis,18,0,1,103
,,7,Mike Anderson,7,0,0,28
,,28,Scottie Montgomery,1,0,0,28
,,5,Brian Griese,5,0,0,4
,,0,Tom Rouen,1,0,0,0
,,8,Travis Henry,12,0,1,35
,,4,Shawn Bryson,2,0,0,4
,,16,James Stewart,14,0,0,88
,,6,Cory Schlesinger,5,0,1,12
,,0,Lamont Warren,1,0,0,0
,,-5,Az Zahir Hakim,1,0,0,-5
,,14,Najeh Davenport,22,0,0,84
,,6,Rondell Mealey,5,0,0,7
,,3,Tony Fisher,3,0,0,5
,,-1,Brett Favre,1,0,0,-1
,,53,Ricky Williams,24,0,1,151
,,9,Travis Minor,4,0,1,21
,,13,Robert Edwards,2,0,0,16
,,9,James McKnight,2,0,0,12
,,6,Chris Chambers,1,0,0,6
,,4,Jay Fiedler,2,0,0,5
,,10,Curtis Martin,16,0,0,43
,,13,LaMont Jordan,4,0,0,11
,,5,Santana Moss,1,0,0,5
,,-1,Vinny Testaverde,1,0,0,-1
,,17,Daunte Culpepper,4,0,0,32
,,9,Michael Bennett,9,0,1,23
,,7,Moe Williams,4,0,0,16
,,2,Doug Chapman,1,0,0,2
,,26,Lamar Smith,30,0,2,154
,,7,Nick Goings,3,0,0,10
,,42,Antowain Smith,16,1,1,92
,,3,Marc Edwards,2,0,0,4
,,2,Tom Brady,1,0,0,2
,,0,Ken Walter,0,0,0,0
,,-1,Kevin Faulk,1,0,0,-1
,,25,Priest Holmes,30,0,2,180
,,21,Dante Hall,2,0,0,34
,,4,Trent Green,2,0,0,7
,,11,Tiki Barber,21,0,0,50
,,12,Ron Dayne,11,0,0,48
,,-1,Kerry Collins,3,0,0,-4
,,9,Shaun Alexander,14,0,0,37
,,4,Darrell Jackson,2,0,0,2
,,2,Trent Dilfer,2,0,0,1
,,26,Donovan McNabb,6,0,1,67
,,8,Duce Staley,11,0,0,41
,,32,James Thrash,2,0,0,33
,,10,David Akers,1,0,0,10
,,3,Koy Detmer,1,0,0,3
,,3,Brian Westbrook,4,0,0,0
,,-1,Dorsey Levens,1,0,0,-1
,,19,Emmitt Smith,11,0,0,52
,,24,Antonio Bryant,1,0,0,24
,,14,Robert Thomas,3,0,0,20
,,8,Michael Wiley,4,0,0,20
,,4,Troy Hambrick,5,0,0,11
,,2,Quincy Carter,3,0,0,-6
,,17,Garrison Hearst,19,0,0,97
,,15,Kevan Barlow,15,0,1,94
,,38,Terrell Owens,1,0,1,38
,,9,Jeff Garcia,3,0,0,21
,,5,Tim Rattay,3,0,0,2
,,18,Stephen Davis,13,0,0,59
,,2,Ladell Betts,1,0,0,2
,,1,Jacquez Green,1,0,0,1
,,-5,Derrius Thompson,1,0,0,-5
,,8,Eddie George,23,0,1,59
,,12,Steve McNair,5,0,0,17
,,7,Mike Green,4,0,0,9
,,1,John Simon,1,0,0,1
,,0,Greg Comella,1,0,0,0
,,12,Jamel White,9,0,0,43
,,14,William Green,8,0,0,26
,,10,Tim Couch,3,0,0,23
,,37,Jonathan Wells,14,0,0,93
,,8,James Allen,11,0,0,27
,,7,David Carr,4,0,0,17
,,-11,Corey Bradford,1,0,0,-11
,,20,Edgerrin James,25,0,0,88
,,1,Peyton Manning,2,0,0,0
,,14,Michael Pittman,11,0,0,53
,,7,Mike Alstott,5,0,1,10
,,21,Lamar Gordon,4,0,1,44
,,9,Kurt Warner,3,0,0,19
,,8,Trung Canidate,6,0,0,15
,,6,Marshall Faulk,6,0,1,9
,,2,Terrence Wilkins,1,0,0,2
,,25,Marcel Shipp,17,0,1,92
,,4,Thomas Jones,11,0,0,10
,,7,Jake Plummer,7,0,0,9
,,-9,MarTay Jenkins,1,0,0,-9
,,13,Tiki Barber,13,0,1,55
,,10,Matt Allen,1,0,0,10
,,3,Ron Dayne,3,0,0,2
,,16,Travis Henry,12,0,0,68
,,10,Shawn Bryson,11,0,0,31
,,3,Drew Bledsoe,2,0,0,4
,,5,Anthony Thomas,23,0,0,48
,,5,Leon Johnson,1,0,0,5
,,0,Dez White,1,0,0,0
,,-1,Jim Miller,1,0,0,-1
,,9,Corey Dillon,21,0,0,59
,,8,Lorenzo Neal,2,0,0,10
,,3,Akili Smith,4,0,0,5
,,2,Brandon Bennett,2,0,0,0
,,17,Michael Pittman,19,0,0,54
,,14,Mike Alstott,7,0,1,29
,,14,Aaron Stecker,1,0,0,14
,,4,Rob Johnson,1,0,0,4
,,37,James Stewart,18,0,0,65
,,5,Cory Schlesinger,6,0,0,19
,,3,Richard Huntley,3,0,0,4
,,0,John Jett,1,0,0,0
,,-1,Joey Harrington,2,0,0,-3
,,22,Deuce McAllister,12,0,1,61
,,21,Aaron Brooks,4,1,0,49
,,15,Ahman Green,17,0,0,73
,,15,Donald Driver,1,0,0,15
,,7,Najeh Davenport,3,0,0,12
,,-1,Brett Favre,1,0,0,-1
,,18,Lamar Smith,22,0,2,66
,,21,Dee Brown,9,0,0,52
,,11,Brad Hoover,3,0,0,22
,,-1,Rodney Peete,1,0,0,-1
,,25,Fred Taylor,21,0,1,142
,,22,Stacey Mack,15,0,3,70
,,10,Mark Brunell,2,0,0,13
,,-1,David Garrard,2,0,0,-2
,,12,Curtis Martin,8,0,0,44
,,11,LaMont Jordan,12,0,0,34
,,1,Chad Morton,1,0,0,1
,,-1,Laveranues Coles,1,0,0,-1
,,25,Priest Holmes,23,0,1,52
,,24,Trent Green,3,0,0,48
,,5,Mike Cloud,3,0,0,8
,,5,Dante Hall,1,0,0,5
,,3,Tony Richardson,2,0,0,5
,,4,Eddie Kennison,1,0,0,4
,,30,Ricky Williams,14,0,1,66
,,19,James McKnight,1,0,0,19
,,12,Jay Fiedler,3,0,1,15
,,5,Robert Edwards,1,0,0,5
,,16,Duce Staley,12,0,2,33
,,11,Donovan McNabb,7,0,0,23
,,7,Dorsey Levens,5,0,0,20
,,19,James Thrash,1,0,0,19
,,4,Brian Westbrook,4,0,0,7
,,8,James Allen,14,0,0,41
,,9,Jonathan Wells,8,0,0,33
,,9,David Carr,2,0,0,17
,,9,Kordell Stewart,7,0,0,30
,,5,Jerome Bettis,14,0,0,24
,,7,Chris Fuamatu Maafala,5,0,0,20
,,5,Amos Zereoue,4,0,0,10
,,8,Antwaan Randle El,2,0,0,8
,,2,Tommy Maddox,2,0,0,1
,,54,Jamel White,16,0,1,105
,,7,William Green,7,0,0,16
,,2,Tim Couch,1,0,0,2
,,17,Charlie Garner,11,0,0,57
,,9,Terry Kirby,2,0,0,16
,,5,Tyrone Wheatley,4,0,0,15
,,7,Jerry Rice,1,0,0,7
,,-2,Tim Brown,1,0,0,-2
,,-1,Marques Tuiasosopo,2,0,0,-3
,,5,Eddie George,11,0,1,26
,,4,John Simon,4,0,1,11
,,6,Steve McNair,1,0,0,6
,,58,LaDainian Tomlinson,27,0,2,217
,,8,Terrell Fletcher,2,0,0,12
,,5,Curtis Conway,1,0,0,5
,,10,Drew Brees,4,0,0,4
,,11,Antowain Smith,16,0,0,78
,,4,Deion Branch,1,0,0,4
,,3,Tom Brady,1,0,0,3
,,2,Marc Edwards,3,0,0,3
,,3,Kevin Faulk,1,0,0,3
,,-4,JR Redmond,1,0,0,-4
,,43,Shaun Alexander,24,0,4,139
,,11,Koren Robinson,1,0,0,11
,,9,Mack Strong,1,0,0,9
,,4,Trent Dilfer,3,0,0,5
,,3,Maurice Morris,1,0,0,3
,,-8,Jeff Feagles,1,0,0,-8
,,22,Michael Bennett,15,0,0,91
,,20,Daunte Culpepper,9,0,1,63
,,9,Moe Williams,6,0,2,19
,,11,Randy Moss,1,0,0,11
,,10,Doug Chapman,1,0,0,10
,,15,Marshall Faulk,18,0,0,73
,,13,Isaac Bruce,1,0,0,13
,,5,Jamie Martin,1,0,0,5
,,2,Ernie Conwell,1,0,0,2
,,30,Emmitt Smith,13,0,0,58
,,15,Troy Hambrick,6,0,0,40
,,10,Quincy Carter,4,0,0,26
,,3,Robert Thomas,1,0,0,3
,,2,Michael Wiley,2,0,0,2
,,-7,Joey Galloway,1,0,0,-7
,,15,Jamal Lewis,25,0,1,78
,,6,Brandon Stokley,1,0,0,6
,,3,Chris Redman,4,0,0,0
,,24,Clinton Portis,8,0,0,55
,,9,Mike Anderson,5,0,0,19
,,5,Olandis Gary,5,0,0,18
,,3,Brian Griese,2,0,1,4
,,1,Reuben Droughns,1,0,1,1
,,12,TJ Duckett,11,0,0,52
,,5,Warrick Dunn,9,0,0,14
,,3,Doug Johnson,1,0,0,3
,,1,Michael Vick,1,0,0,1
,,11,Michael Pittman,19,0,0,62
,,7,Mike Alstott,4,0,0,9
,,3,Keenan McCardell,1,0,0,3
,,2,Brad Johnson,1,0,0,2
,,-2,Aaron Stecker,1,0,0,-2
,,29,Travis Henry,15,0,1,58
,,11,Drew Bledsoe,2,0,0,17
,,5,Larry Centers,1,0,1,5
,,36,Charlie Garner,8,0,1,94
,,24,Rich Gannon,11,0,1,29
,,5,Terry Kirby,2,0,0,10
,,3,Tyrone Wheatley,3,0,0,5
,,2,Zack Crockett,3,0,1,4
,,9,Lamar Smith,18,0,0,49
,,7,Rodney Peete,2,0,0,6
,,2,Karl Hankton,1,0,0,2
,,1,Brad Hoover,1,0,0,1
,,0,Dee Brown,1,0,0,0
,,0,Isaac Byrd,1,0,0,0
,,14,Damien Anderson,23,0,0,61
,,7,Jake Plummer,3,0,0,15
,,6,Joel Makovicka,2,0,0,10
,,5,Frank Sanders,1,0,0,5
,,11,Jamel White,7,0,0,34
,,14,Tim Couch,2,0,0,14
,,7,Kelly Holcomb,2,0,0,9
,,7,Dennis Northcutt,1,0,0,7
,,3,William Green,4,0,0,2
,,-4,Quincy Morgan,1,1,0,-4
,,75,Jamal Lewis,26,0,0,187
,,9,Brandon Stokley,1,0,0,9
,,4,Chester Taylor,3,0,0,7
,,1,Chris Redman,2,0,0,2
,,1,Travis Taylor,2,0,0,-4
,,30,Emmitt Smith,13,0,1,70
,,8,Quincy Carter,5,0,0,18
,,10,Troy Hambrick,3,0,0,10
,,4,Robert Thomas,1,0,0,4
,,3,Antonio Bryant,1,0,0,3
,,-10,Micah Knorr,1,0,0,-10
,,23,Tiki Barber,17,0,0,94
,,6,Ron Dayne,5,0,0,13
,,1,Delvin Joyce,1,0,0,1
,,0,Kerry Collins,5,0,0,-4
,,16,Clinton Portis,20,0,0,102
,,3,Olandis Gary,4,0,0,8
,,4,Scottie Montgomery,1,0,0,4
,,3,Brian Griese,5,0,0,2
,,1,Reuben Droughns,1,0,0,1
,,17,LaDainian Tomlinson,14,0,0,48
,,14,Terrell Fletcher,1,0,0,14
,,8,Curtis Conway,1,0,0,8
,,7,Drew Brees,1,0,0,7
,,2,Fred McCrary,1,0,0,2
,,14,Edgerrin James,22,0,1,60
,,17,Troy Walters,1,0,0,17
,,11,Peyton Manning,2,0,1,10
,,67,Corey Dillon,23,0,2,164
,,9,Lorenzo Neal,1,0,0,9
,,10,Fred Taylor,21,0,0,48
,,9,Mark Brunell,3,0,0,20
,,1,Stacey Mack,3,0,1,2
,,26,Donovan McNabb,12,0,1,100
,,14,Duce Staley,13,1,0,82
,,5,Dorsey Levens,3,0,0,12
,,4,James Thrash,1,0,0,4
,,1,Brian Westbrook,1,0,0,1
,,12,Ricky Williams,36,0,0,105
,,11,Jay Fiedler,3,0,1,18
,,9,Robert Edwards,4,0,0,13
,,1,Rob Konrad,1,0,0,1
,,10,Kevin Faulk,2,0,0,17
,,4,Antowain Smith,9,0,0,14
,,5,JR Redmond,3,0,0,6
,,1,Marc Edwards,1,0,0,1
,,0,Tom Brady,1,0,0,0
,,-1,David Patten,1,0,0,-1
,,52,Deuce McAllister,23,0,2,123
,,2,Joe Horn,1,0,0,2
,,2,Aaron Brooks,3,0,0,0
,,-4,James Fenderson,1,0,0,-4
,,13,Jerome Bettis,19,0,1,84
,,15,Amos Zereoue,5,0,0,35
,,11,Hines Ward,1,0,0,11
,,-10,Antwaan Randle El,1,0,0,-10
,,35,Curtis Martin,21,1,1,119
,,16,Richie Anderson,1,0,0,16
,,8,Santana Moss,1,0,0,8
,,4,Chad Pennington,3,0,0,3
,,1,LaMont Jordan,1,0,0,1
,,27,Priest Holmes,23,0,1,152
,,36,Johnnie Morton,2,0,0,51
,,7,Mike Cloud,1,0,0,7
,,4,Tony Richardson,1,0,0,4
,,1,Dante Hall,1,0,0,1
,,40,Garrison Hearst,13,0,1,116
,,15,Kevan Barlow,10,0,0,50
,,6,Jeff Garcia,2,0,1,12
,,2,Terrell Owens,1,0,0,2
,,-1,Tim Rattay,1,0,0,-1
,,24,Marshall Faulk,18,0,0,73
,,6,Lamar Gordon,6,0,0,15
,,6,Eddie George,10,0,0,26
,,11,Steve McNair,3,0,1,26
,,13,John Simon,2,0,0,7
,,23,Stephen Davis,18,0,1,90
,,24,Kenny Watson,8,0,0,62
,,3,Danny Wuerffel,1,0,0,3
,,2,Patrick Ramsey,2,0,0,1
,,0,Bryan Johnson,1,0,0,0
,,8,Anthony Thomas,15,0,0,45
,,0,Leon Johnson,1,0,0,0
,,43,Ahman Green,27,0,0,107
,,13,Donald Driver,1,0,0,13
,,3,Najeh Davenport,1,0,0,3
,,1,Brett Favre,1,0,0,1
,,11,Corey Dillon,17,0,1,57
,,7,Peter Warrick,3,0,0,17
,,5,Jon Kitna,4,0,0,4
,,41,Jerome Bettis,21,0,2,109
,,15,Amos Zereoue,10,0,0,51
,,24,Antwaan Randle El,1,0,0,24
,,20,Hines Ward,1,0,0,20
,,6,Verron Haynes,2,0,0,7
,,18,Emmitt Smith,13,0,0,59
,,16,Quincy Carter,4,0,0,27
,,23,Reggie Swinton,1,0,0,23
,,12,Troy Hambrick,3,0,0,15
,,10,Michael Wiley,3,0,0,13
,,9,Lamar Smith,25,0,0,81
,,5,Dee Brown,2,0,0,9
,,5,Nick Goings,2,0,0,9
,,7,Rodney Peete,2,0,0,9
,,7,Brad Hoover,1,0,0,7
,,1,Chris Weinke,2,0,0,-5
,,15,Clinton Portis,18,0,0,75
,,11,Brian Griese,3,0,0,19
,,9,Mike Anderson,5,0,0,17
,,10,Ricky Williams,20,0,2,49
,,16,James McKnight,1,0,0,16
,,2,Robert Edwards,1,0,0,2
,,-9,Jay Fiedler,1,0,0,-9
,,12,Edgerrin James,17,0,0,43
,,9,Peyton Manning,2,0,0,17
,,17,Jamal Lewis,21,0,2,75
,,14,Todd Heap,1,0,0,14
,,9,Javin Hunter,1,0,0,9
,,6,Chris Redman,1,0,0,6
,,1,Chester Taylor,2,0,0,1
,,14,Michael Bennett,16,0,0,68
,,22,Daunte Culpepper,7,0,1,39
,,2,Moe Williams,2,0,1,4
,,27,James Stewart,10,0,0,42
,,10,Az Zahir Hakim,1,0,0,10
,,1,Aveion Cason,2,0,0,2
,,0,Joey Harrington,1,0,0,0
,,1,Cory Schlesinger,3,0,0,-1
,,13,Antowain Smith,13,0,0,75
,,12,Tom Brady,5,0,0,26
,,9,Kevin Faulk,3,0,0,20
,,2,Marc Edwards,1,0,0,2
,,38,Ahman Green,31,0,1,136
,,7,Tony Fisher,3,0,0,12
,,5,Donald Driver,1,0,0,5
,,5,Brett Favre,1,0,0,5
,,12,Tiki Barber,14,0,0,57
,,18,Ron Dayne,9,0,0,43
,,9,Tim Carter,1,0,0,9
,,7,Ike Hilliard,1,0,0,7
,,-1,Kerry Collins,2,0,0,-3
,,8,TJ Duckett,16,0,0,36
,,15,Doug Johnson,1,0,1,15
,,8,Bob Christian,1,0,0,8
,,4,Warrick Dunn,6,0,0,8
,,11,LaDainian Tomlinson,20,0,1,78
,,19,Tim Dwight,2,0,1,37
,,10,Drew Brees,5,0,0,27
,,11,Curtis Conway,1,0,1,11
,,18,Priest Holmes,23,0,1,63
,,9,Trent Green,4,0,0,25
,,0,Dante Hall,1,0,0,0
,,0,Tony Richardson,1,0,0,0
,,40,Marshall Faulk,26,0,0,158
,,1,Ernie Conwell,1,0,0,1
,,0,Lamar Gordon,1,0,0,0
,,1,Marc Bulger,4,0,1,-1
,,16,Charlie Garner,10,0,0,61
,,3,Rich Gannon,3,0,0,3
,,3,Terry Kirby,2,0,0,3
,,0,Zack Crockett,1,0,0,0
