deflections, interceptions, name, sacks, tackles
0,0,R Foley,1.000,2
0,1,R Myles,0.000,3
0,1,B Miles,0.000,3
0,0,D Marsh,0.000,4
0,0,C Wake,2.000,3
0,2,J Glatt,0.000,6
0,0,O Floyd,0.000,6
0,0,T Crawford,0.000,1
0,0,G Simon,0.000,1
0,0,J Johnson,0.000,2
0,0,C Rodgers,0.000,1
0,0,A Hunt,0.000,2
0,0,T Williams,0.000,2
0,0,J Dennis,0.000,2
0,0,K Banks,0.000,2
0,0,J Pottinger,0.000,1
0,0,B Johnson,0.000,1
0,0,L Glover,0.000,1
0,0,K Dickerson,0.000,1
0,0,M Hage,0.000,1
0,0,J Bradley,0.000,0
0,0,N McKay Loescher,0.000,2
0,0,M Knowlton,0.000,2
0,0,S Mitchell,0.000,1
0,0,S Glavic,0.000,1
0,0,R Mariuz,0.000,3
0,0,Z Moreno,0.000,4
0,0,D Adams,0.000,2
0,0,D Lewis,0.000,2
0,0,L Gordon,0.000,5
0,0,R Robinson,0.000,7
0,0,R Glasper,0.000,4
0,1,C Thompson,0.000,4
0,0,J Chick,1.000,3
0,1,L Frazier,0.000,3
0,0,J Johnson,0.000,4
0,0,K Jones,0.000,4
0,1,S Gordon,0.000,1
0,0,T Clovis,0.000,1
0,0,O Morgan,0.000,3
0,0,S Schultz,0.000,2
0,0,A McKenzie,0.000,5
0,0,M Lloyd,0.000,5
0,0,S Lucas,0.000,7
0,0,C Hughes,1.000,6
0,0,D Anderson,0.000,4
0,1,B Browner,0.000,3
0,1,C Bannister,0.000,3
0,0,B Smith,1.000,7
0,0,M Grootegoed,0.000,1
0,0,H Hodges,0.000,1
0,0,R Karikari,0.000,1
0,0,M Robede,0.000,2
0,0,S James,0.000,2
0,0,E Freeman,0.000,2
0,0,W Lysack,0.000,2
0,0,M Labinjo,0.000,2
0,1,J Armour,0.000,2
0,0,D Carpenter,0.000,3
0,0,Z Moreno,0.000,7
0,0,S Beveridge,0.000,1
0,0,D Lewis,0.000,1
0,0,T Caulley,0.000,1
0,0,R Glasper,0.000,4
0,0,M Knowlton,0.000,3
0,0,L Gordon,0.000,3
0,0,J Bradley,0.000,3
0,0,C Thompson,0.000,7
0,0,R Mariuz,1.000,6
0,0,T Patrick,1.000,6
0,1,R Robinson,0.000,4
0,0,B Johnson,0.000,4
0,0,D Marsh,0.000,3
0,2,K Banks,2.000,5
0,0,C Wake,1.000,4
0,1,R Myles,0.000,6
0,0,P Jackson,0.000,1
0,0,R Foley,0.000,0
0,0,R Phillips,0.000,1
0,0,J Glatt,0.000,1
0,0,C Coleman,0.000,1
0,0,J Johnson,0.000,1
0,0,O Floyd,0.000,2
0,0,A Hunt,1.000,1
0,0,T Williams,0.000,3
0,0,T Crawford,0.000,2
0,0,I Charlton,0.000,3
0,0,J Haywood,1.000,3
0,0,D Brown,2.000,3
0,0,K Malveaux,0.000,4
0,0,W Amos,0.000,5
0,0,B Simpson,0.000,8
0,0,N McKinlay,0.000,1
0,0,A Maggiacomo,0.000,1
0,0,J Lobendahn,0.000,1
0,0,T Edwards,0.000,1
0,0,I Logan,0.000,1
0,1,C Hall,0.000,1
0,0,G Walls,0.000,1
0,0,J Johnson,0.000,3
0,1,J Nugent,0.000,2
0,0,A Malbrough,0.000,3
0,0,T Canada,0.000,3
0,0,M McCullough,0.000,1
0,0,S Lucas,0.000,1
0,0,T Kornegay,0.000,1
0,0,L Mullinder,0.000,1
0,0,J Johnson,0.000,2
0,0,J Verdon,0.000,2
0,0,G Makowsky,0.000,2
0,0,M Lloyd,0.000,2
0,0,K Jones,0.000,2
0,0,O Morgan,0.000,5
0,0,E Davis,0.000,5
0,1,A McKenzie,0.000,5
0,1,L Frazier,0.000,5
0,0,E Wilson,0.000,1
0,0,K Carter,0.000,1
0,0,A Stewart,0.000,1
0,0,A Kashama,0.000,1
0,0,R Drew,0.000,2
0,0,E DeSlauriers,0.000,1
0,0,W Spencer,0.000,1
0,0,D Sanchez,0.000,1
0,0,J Bowman,0.000,2
0,0,T Hill,0.000,3
0,0,D Claybrooks,0.000,4
0,0,K Williams,0.000,4
0,0,P Masson,0.000,5
0,0,M Estelle,0.000,5
0,0,C Cox,0.000,7
0,0,D Ferri,0.000,7
0,2,R Hunt,0.000,8
0,0,R Johnson,0.000,2
0,0,A Belli,0.000,2
0,0,A Wagner,0.000,1
0,0,M Fletcher,0.000,2
0,0,W Pile,0.000,3
0,0,M OShea,0.000,4
0,0,K Wheaton,0.000,2
0,0,K Eiben,0.000,2
0,0,J Brown,0.000,6
0,0,C Winters,0.000,5
0,0,W Middlebrooks,0.000,5
0,0,R Flemons,0.000,0
0,0,O Steinauer,0.000,1
0,0,A Mayes,0.000,1
0,0,J Davis,0.000,1
0,0,J Goss,0.000,2
0,0,T Jackson,0.000,2
0,0,M Murphy,0.000,2
0,0,A Harris,0.000,2
0,0,K Williams,0.000,4
0,0,S Shabazz,0.000,3
0,0,A Barrenechea,0.000,3
0,0,F Perry,0.000,2
0,0,J Buhl,0.000,8
0,0,S Garrett,0.000,4
0,0,J Romeo,0.000,4
0,0,J Younger,0.000,4
0,0,J Nugent,0.000,1
0,0,A Malbrough,0.000,3
0,0,I Charlton,0.000,3
0,0,W Amos,0.000,4
0,0,J Lobendahn,0.000,6
0,1,K Malveaux,0.000,6
0,0,G Walls,0.000,4
0,0,J Haywood,0.000,4
0,0,C Hall,0.000,4
0,0,J Johnson,0.000,4
0,0,C Jackson,0.000,1
0,0,J Phillips,0.000,1
0,0,M Parker,0.000,3
0,0,E Freeman,0.000,3
0,0,B Browner,0.000,4
0,0,S James,0.000,4
0,0,K Rambo,0.000,1
0,0,M Robede,0.000,1
0,0,M Labinjo,0.000,3
0,0,D Anderson,0.000,2
0,0,C Hughes,0.000,7
0,0,W Lysack,0.000,4
0,0,D Carpenter,0.000,4
0,0,C Bannister,0.000,6
0,0,B Smith,0.000,5
0,0,Z Moreno,0.000,2
0,0,D Lewis,1.000,2
0,0,T Patrick,0.000,1
0,0,N McKay Loescher,1.000,1
0,0,C Wayne,0.000,1
0,0,C Thompson,0.000,6
0,0,L Gordon,0.000,6
0,1,J Bradley,0.000,5
0,0,M Knowlton,0.000,5
0,0,R Robinson,0.000,5
0,0,R Glasper,0.000,3
0,0,R Mariuz,0.000,3
0,0,J Davis,0.000,1
0,0,S Shabazz,1.000,3
0,0,A Barrenechea,0.000,3
0,0,J Buhl,0.000,3
0,0,J Romeo,2.000,2
0,0,B Guillory,1.000,2
0,0,T Clutts,0.000,2
0,0,S Garrett,1.000,1
0,0,M Bertrand,0.000,1
0,0,J Goss,1.000,3
0,0,K Williams,0.000,4
0,0,J Younger,0.000,5
0,0,M Murphy,2.000,5
0,2,B Miles,0.000,0
0,0,B Anderson,0.000,1
0,0,R Phillips,0.000,1
0,0,B Johnson,1.000,1
0,0,G Simon,0.000,1
0,0,C Wake,0.000,2
0,0,R Foley,0.000,2
0,0,T Crawford,0.000,2
0,0,D Marsh,0.000,2
0,0,K Banks,0.000,3
0,0,L Glover,0.000,3
0,0,J Glatt,0.000,3
0,0,O Floyd,0.000,4
0,0,R Myles,0.000,4
0,0,T Williams,0.000,5
0,1,M Proulx,0.000,3
0,0,D Ferri,1.000,4
0,0,R Drew,0.000,3
0,0,T Hill,0.000,3
0,1,D Sanchez,0.000,2
0,0,K Ellis,1.000,2
0,0,A Stewart,0.000,2
0,0,M Estelle,0.000,2
0,0,C Cox,0.000,10
0,0,D Claybrooks,0.000,5
0,0,R Hunt,0.000,6
0,0,J Richardson,0.000,1
0,0,W Spencer,0.000,1
0,0,P Lambert,0.000,1
0,0,E Wilson,0.000,1
0,0,P Woldu,0.000,1
0,0,K Williams,1.000,1
0,0,B Cahoon,0.000,2
0,0,J Bowman,0.000,2
0,0,A McKenzie,0.000,5
0,0,D Bake,0.000,4
0,0,O Morgan,0.000,4
0,0,J Patrick,0.000,3
0,0,S Lucas,0.000,5
0,0,M Lloyd,0.000,2
0,0,K Jones,1.000,2
0,0,L Frazier,0.000,3
0,0,E Davis,0.000,3
0,0,M McCullough,0.000,1
0,0,A Fantuz,0.000,1
0,0,J Johnson,0.000,1
0,0,R Williams,0.000,2
0,0,S Gordon,0.000,1
0,0,S Schultz,0.000,1
0,0,R Johnson,1.000,2
0,0,O Steinauer,0.000,2
0,0,A Mayes,0.000,2
0,0,J Brown,0.000,2
0,0,M Fletcher,0.000,6
0,1,K Wheaton,1.000,5
0,0,W Middlebrooks,0.000,4
0,0,W Pile,0.000,3
0,0,C Winters,0.000,1
0,0,B Parker,0.000,1
0,0,R Flemons,0.000,1
0,0,A Belli,0.000,7
0,0,M OShea,0.000,9
0,0,R Hunt,0.000,2
0,0,D Claybrooks,1.000,2
0,0,A Kashama,0.000,2
0,0,D Sanchez,0.000,2
0,0,J Wright,0.000,1
0,0,K Ellis,0.000,1
0,0,A Cobourne,0.000,1
0,0,A Stewart,0.000,1
0,0,B Bratton,0.000,1
0,0,K Carter,0.000,1
0,0,C Smith,0.000,7
0,1,T Hill,1.000,5
0,1,D Ferri,0.000,9
0,0,K Williams,2.000,2
0,0,J Bowman,1.000,2
0,0,C Cox,0.000,4
0,0,R Kizer,0.000,3
0,0,L Gordon,0.000,2
0,0,J Reid,0.000,1
0,0,Z Moreno,0.000,3
0,0,C Anthony,1.000,2
0,0,T Patrick,0.000,1
0,0,C Bauman,0.000,1
0,0,S Mitchell,0.000,1
0,0,D Lewis,0.000,1
0,1,S Manning,0.000,0
0,0,R Glasper,0.000,5
0,0,R Robinson,0.000,9
0,0,D Adams,0.000,4
0,0,C Thompson,0.000,4
0,0,M Knowlton,0.000,4
0,0,R Mariuz,0.000,5
0,0,K Williams,0.000,8
0,0,M Murphy,1.000,4
0,1,T Young,0.000,4
0,0,T Clutts,0.000,4
0,1,B Robinson,0.000,3
0,0,S Garrett,0.000,2
0,0,S Shabazz,0.000,2
0,0,B Guillory,0.000,1
0,0,A Barrenechea,0.000,3
0,0,J Buhl,0.000,3
0,0,J Goss,0.000,2
0,0,J Davis,0.000,2
0,0,D Marsh,0.000,3
0,0,R Phillips,0.000,3
0,0,B Johnson,2.000,2
0,0,K Banks,0.000,2
0,0,C Wake,0.000,2
0,0,L Glover,0.000,2
0,0,R Myles,0.000,1
0,0,O Floyd,0.000,1
0,0,P Jackson,0.000,1
0,0,M Kirk,0.000,1
0,0,R Skillern,0.000,0
0,0,J Pottinger,0.000,6
0,0,J Glatt,0.000,6
0,0,T Williams,1.000,4
0,0,B Miles,0.000,5
0,0,A Hunt,0.000,3
0,0,J Johnson,0.000,3
0,0,K Heatly,0.000,1
0,0,K Wheaton,0.000,1
0,0,A Bruce,0.000,1
0,1,W Pile,0.000,1
0,1,B Parker,0.000,1
0,0,R Flemons,1.000,2
0,0,W Middlebrooks,0.000,3
0,0,C Winters,0.000,2
0,0,M OShea,0.000,2
0,0,A Belli,0.000,4
