completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
12,0,34,A Calvillo,23,2,197
21,0,44,K Glenn,28,2,292
2,0,50,B Mitchell,2,0,58
14,1,34,M Nichols,26,1,167
20,3,19,J Elliott,30,0,173
8,1,57,B Pierce,13,1,120
17,0,21,J Jackson,28,1,155
26,1,53,D Durant,34,3,371
19,2,44,T Lulay,36,2,232
24,2,48,K Joseph,39,3,359
20,3,44,H Burris,35,2,274
23,0,29,T Lulay,33,2,268
18,2,34,K Glenn,33,1,242
0,0,0,B Mitchell,1,0,0
21,2,45,A Calvillo,39,1,336
17,0,50,J Elliott,25,3,335
16,1,22,J Jackson,31,1,162
1,0,3,T Harris,5,0,3
21,0,78,D Durant,29,1,276
22,0,26,H Burris,31,1,225
27,0,26,T Lulay,34,2,343
3,0,13,M Reilly,4,0,30
22,4,50,J Elliott,33,0,284
5,0,27,A Brink,7,1,61
21,0,43,K Glenn,29,2,286
0,0,0,R Paredes,1,0,0
0,1,0,B Mitchell,1,0,0
19,0,35,K Joseph,29,3,280
1,0,14,H Charles,1,0,14
17,2,35,D Durant,27,2,204
6,0,21,D Willy,7,0,74
20,1,32,J Jackson,40,1,239
0,0,0,N Prefontaine,1,0,0
16,1,75,A Calvillo,31,1,255
20,0,46,R Ray,33,4,383
13,0,55,B Pierce,22,0,200
1,0,4,A Brink,1,1,4
19,1,47,M Reilly,28,2,276
6,1,46,K Joseph,24,1,146
4,0,28,M Nichols,5,0,72
24,0,22,D Durant,40,1,219
1,0,1,D Willy,1,1,1
16,0,51,A Calvillo,28,1,262
22,4,56,K Glenn,34,2,283
24,2,51,H Burris,33,2,354
10,0,53,K Glenn,17,1,173
5,1,44,D Tate,7,1,68
1,0,1,B Mitchell,1,1,1
19,0,56,M Reilly,26,2,261
3,0,16,T DeMarco,6,0,35
15,0,27,H Burris,27,2,171
14,1,18,J Elliott,29,0,126
3,1,41,A Brink,4,1,49
2,0,11,B Pierce,7,0,16
24,1,42,D Durant,38,1,252
24,1,60,R Ray,30,4,305
21,2,55,A Calvillo,35,2,321
1,0,0,A McPherson,1,0,0
9,1,95,M Nichols,15,3,230
10,1,20,K Joseph,19,0,116
7,0,21,Z Collaros,11,1,101
4,0,46,J Jackson,5,1,92
7,0,21,T Harris,14,0,77
1,0,49,C Owens,1,0,49
37,2,93,H Burris,55,4,497
18,1,48,M Nichols,30,2,341
11,0,40,D Tate,15,1,139
8,0,57,K Glenn,12,1,137
3,0,10,B Mitchell,4,0,28
17,1,29,A Brink,26,0,173
3,0,15,J Goltz,5,0,30
17,0,20,A McPherson,26,0,193
10,0,21,M Reilly,13,0,103
9,0,15,T Lulay,14,0,88
6,0,19,T DeMarco,7,0,56
9,0,26,J OSullivan,14,0,83
8,1,21,D Willy,12,0,67
23,0,28,R Ray,30,2,239
12,1,46,K Joseph,25,2,192
3,0,30,M Nichols,7,0,51
22,0,68,D Tate,36,2,363
24,2,58,D Durant,37,4,435
20,2,49,A Calvillo,34,0,303
28,0,70,R Ray,37,1,399
33,0,19,T Lulay,46,1,274
1,0,26,M Reilly,1,0,26
15,1,68,K Glenn,24,3,303
1,0,42,B Mitchell,2,0,42
18,1,62,R Ray,30,2,231
1,0,1,J Jackson,1,1,1
14,1,61,K Glenn,27,0,222
6,0,29,B Mitchell,9,1,80
