longest rush, name, rushes, rushing touchdowns, rushing yards
1,Q Porter,2,1,1
23,W Cates,14,1,74
8,D Durant,6,0,27
1,C Szarka,1,0,1
27,H Burris,6,0,46
22,D Tate,4,0,25
10,J Reynolds,7,0,25
4,R Bryant,1,0,4
55,J Robertson,18,1,140
12,T Lulay,3,0,22
13,C Printers,1,0,13
17,J Johnson,5,1,37
8,A Alridge,5,0,16
13,C Lemon,2,0,14
4,B Crawford,1,0,4
46,C McCarty,10,2,84
21,B Lester,12,0,65
11,R Ray,3,0,24
20,H Burris,6,0,56
26,J Reynolds,10,0,52
10,J Cornish,5,0,24
1,D Tate,1,1,1
21,A Cobourne,11,0,76
9,B Bratton,2,0,11
7,S Emry,1,0,7
3,A McPherson,2,0,4
49,C Boyd,20,0,145
12,D Bell,2,1,20
5,J Johnson,3,0,9
4,J Boreham,1,0,4
12,D Durant,7,1,47
4,W Cates,7,0,18
1,C Szarka,1,0,1
12,T Lulay,9,1,57
9,J Robertson,7,0,30
2,E Arceneaux,1,0,2
1,J Jackson,1,0,1
18,F Reid,13,0,72
16,S Jyles,2,0,20
6,D Stephenson,1,0,6
2,A Brink,1,0,2
9,C McCarty,15,0,44
11,D Porter,6,0,25
1,R Ray,3,1,3
19,D Cobb,15,1,101
1,Q Porter,1,0,1
9,D Cobb,16,1,49
8,K Glenn,1,0,8
2,Q Porter,1,0,2
15,D Porter,5,0,31
5,F Stamps,1,0,5
2,M Bertrand,1,1,2
10,W Cates,9,1,47
12,D Durant,1,0,12
40,C Boyd,21,0,131
30,B Crawford,1,0,30
11,C Lemon,2,0,17
9,B Parker,1,0,9
3,A Durie,2,0,5
27,A Cobourne,10,1,60
13,D Diedrick,4,0,25
15,A Hawkins,1,0,15
9,A Calvillo,2,0,10
6,A McPherson,1,0,6
38,J Cornish,2,0,41
18,H Burris,2,0,31
10,J Reynolds,8,0,21
18,D Murphy,1,0,18
13,D Tate,2,0,16
17,J Robertson,19,0,112
18,T Lulay,4,0,37
11,C Printers,1,0,11
4,J Messam,2,0,5
1,J Jackson,1,0,1
14,C Lemon,5,0,39
10,C Boyd,11,0,26
11,D Wright,3,0,15
5,D Bell,1,0,5
1,J Johnson,1,0,1
25,M Thigpen,4,0,60
16,D Cobb,16,1,50
1,Q Porter,1,0,1
15,T Lulay,9,0,63
13,S Black,1,0,13
4,J Robertson,7,1,6
2,Y Davis,2,1,3
3,E Arceneaux,1,0,3
25,D Porter,21,0,171
45,R Ray,12,1,135
10,C McCarty,7,0,39
1,M Bertrand,1,1,1
23,A Cobourne,17,0,99
22,M Proulx,1,0,22
13,A Hawkins,1,0,13
7,D Diedrick,1,0,7
7,A Calvillo,1,0,7
2,A McPherson,2,0,3
15,F Reid,10,0,47
10,S Jyles,6,0,23
2,A Brink,3,0,3
35,D Durant,4,0,62
9,W Cates,10,0,45
9,H Charles,3,0,10
21,J Reynolds,17,2,124
17,J Cornish,6,0,53
14,H Burris,6,0,36
2,D Tate,3,0,5
3,K Rambo,1,0,3
31,M Thigpen,5,0,42
13,D Cobb,9,1,30
14,Q Porter,3,1,18
7,K Glenn,2,0,13
9,B Whitaker,9,0,37
15,A McPherson,6,0,32
12,A Hawkins,1,0,12
1,B Bratton,1,0,1
18,J Cornish,5,0,42
10,H Burris,4,0,25
19,D Tate,2,0,20
5,J Reynolds,4,0,8
1,A Franklin,1,0,1
16,T Lulay,7,1,59
13,J Robertson,11,0,39
3,J Jackson,1,0,3
2,Y Davis,1,0,2
27,F Reid,15,0,105
9,A Brink,4,0,27
16,S Jyles,1,0,16
13,Y Bernard,2,0,13
5,J Elliott,2,0,5
41,C Boyd,11,0,86
12,C Lemon,3,1,21
11,D Wright,3,0,20
6,A Durie,1,0,6
18,D Porter,19,1,121
11,J Zabransky,8,0,37
2,C McCarty,3,0,2
28,W Cates,11,0,92
9,R Grice Mullen,1,0,9
6,H Charles,1,0,6
2,C Szarka,1,1,2
33,C Boyd,8,1,68
15,C Lemon,2,0,19
11,A Cobourne,15,0,81
7,A Calvillo,4,0,17
13,B Bratton,2,0,13
2,A McPherson,3,0,5
2,K Watkins,1,0,2
13,J Lumsden,4,1,40
8,J Reynolds,12,1,34
13,J Cornish,3,0,17
5,D Tate,5,1,10
4,H Burris,2,0,6
44,D Cobb,5,0,77
30,M Thigpen,5,1,56
3,Q Porter,2,0,2
24,D Porter,16,1,102
22,J Zabransky,12,0,97
37,C McCarty,2,0,46
5,K Campbell,1,0,5
55,F Reid,12,0,93
12,J Elliott,5,0,24
11,C Garrett,5,0,20
37,J Robertson,8,0,57
6,T Lulay,2,0,6
1,J Jackson,1,0,1
12,W Cates,14,0,52
13,D Durant,4,0,29
23,C Garrett,13,0,82
49,F Reid,3,0,48
30,J Elliott,2,0,37
9,J Reynolds,13,0,55
8,J Cornish,9,0,30
8,D Tate,4,0,24
17,N Lewis,1,0,17
15,H Burris,1,0,15
7,R Thelwell,1,0,7
13,D Cobb,10,0,36
17,K Glenn,3,0,32
19,M Thigpen,3,0,31
0,Q Porter,1,0,0
8,T Lulay,5,0,34
12,J Robertson,9,0,27
2,J Jackson,2,0,3
2,R Lumbala,1,0,2
11,W Cates,11,1,42
8,D Durant,5,1,16
11,W Dressler,1,0,11
34,D Porter,19,0,153
12,R Ray,5,1,37
5,C McCarty,2,0,9
17,A McPherson,8,0,69
5,D Diedrick,12,0,31
6,C Leak,1,0,6
3,K Carter,1,0,3
25,D Wright,13,1,73
9,A Durie,1,0,9
2,D Brannagan,1,0,2
1,D Bell,1,0,1
0,A Alridge,1,0,0
10,M Thigpen,2,0,13
3,D Cobb,6,0,8
3,Q Porter,3,1,6
13,C Boyd,19,0,93
10,C Lemon,4,0,29
13,D Wright,1,0,13
5,C Owens,1,0,5
21,W Cates,15,1,65
12,D Durant,3,0,14
